element,tipo,concentracion,unidad
Li2O,mayor,6.8,wt_pct
Al2O3,mayor,24.6,wt_pct
SiO2,mayor,67.2,wt_pct
Ca,mayor,0.07,wt_pct
Fe,mayor,0.172,wt_pct
K,mayor,0.33,wt_pct
Mg,mayor,0.01,wt_pct
Na,mayor,0.222,wt_pct
P,mayor,0.053,wt_pct
S,mayor,0.01,wt_pct
Ti,mayor,0.016,wt_pct
As,menor,21,ppm
Ba,menor,11,ppm
Be,menor,41.7,ppm
Bi,menor,8.05,ppm
Cr,menor,26.3,ppm
Cs,menor,359,ppm
Cu,menor,0.8,ppm
Ga,menor,97.9,ppm
Mn,menor,322,ppm
Mo,menor,0.37,ppm
Nb,menor,18.25,ppm
Ni,menor,1.33,ppm
Pb,menor,2.64,ppm
Rb,menor,785,ppm
Sb,menor,64,ppm
Sc,menor,0.7,ppm
Sn,menor,53.5,ppm
Sr,menor,2.48,ppm
Ta,menor,89,ppm
Tl,menor,4.81,ppm
U,menor,1.665,ppm
V,menor,1.2,ppm
W,menor,2.8,ppm
Zn,menor,12.7,ppm
Zr,menor,5.7,ppm
