source_id,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot
505566785171652992,27.69370185495879,56.40500518275155,131.1141939073495,-5.521172058500192,-0.1903288991662543,0.43389344,-0.9643024725181544,0.29209876,0.0937059249326315,0.3858137,19.968758,20.333015,19.575867,0.75714874,1.0263579,
505567575445639552,27.69521692680144,56.41555464142925,131.1125873324321,-5.510710871888587,0.1438723122924905,0.17501825,-0.7139273236793786,0.12072058,0.6573691696815468,0.16236643,18.717852,18.860271,18.406092,0.45417976,0.97483,6944.286
505567579742744704,27.694190793938827,56.41618998318664,131.1118861005164,-5.510222347833504,0.0769538506231299,0.0643706,-0.5523853039174816,0.04438793,0.2529180291124001,0.06465873,16.982447,17.095901,16.781399,0.31450272,0.9686328,4498.2617
505567579742740352,27.6942617979791,56.42383629131123,131.1101659851871,-5.502770098624229,0.0332110299272668,0.069881104,-0.8494843400258288,0.051386565,0.2685942133089948,0.0643713,13.595059,13.622234,13.491393,0.13084126,5.1437635,6577.883
505567575440084352,27.685983867899107,56.422449219026056,131.10600761199575,-5.505168108457521,0.0211386291212717,0.17410082,-0.3824102185738861,0.12035598,0.2530777578987036,0.16488762,18.686832,18.87574,18.429375,0.44636536,1.0335464,6966.2793
505567678519324288,27.70185867156526,56.42904104698659,131.1130771255602,-5.496741662407525,0.1882195676016309,0.15678711,-0.5957800403337502,0.109280445,0.6630506977257014,0.14329703,18.530972,18.796062,18.119902,0.6761608,1.0020403,4173.476
505567614102482432,27.666000315580224,56.4187303492249,131.09605199934683,-5.511315645100871,0.0752267643532043,0.049883287,-0.5082190942274796,0.032996062,0.2970140203902205,0.045464743,16.37464,16.462997,16.203865,0.2591324,1.0276166,6808.2197
505567579736814592,27.680144703909143,56.425129315383984,131.10223343316713,-5.503297792301865,0.3443393655977803,0.30297104,-0.6672024695283199,0.23122613,0.5404870516855573,0.26815686,19.460003,19.643097,19.138075,0.50502205,0.99729854,
505566956964831232,27.72751465497494,56.4315966716136,131.12636108667013,-5.491002177611735,0.3118287978505559,0.17973682,-0.5557505361217706,0.124812186,0.441443145272154,0.16601795,18.744019,18.961138,18.398617,0.562521,0.97762614,6534.1396
505567575440099456,27.680836305166302,56.42635752149825,131.10232527919976,-5.502014665859077,0.1359204182729289,0.14428759,-0.6042298612607375,0.09769487,0.4225403484935741,0.123077884,18.292974,18.428919,18.038328,0.39059067,0.9978245,6621.3013
505567579742739456,27.67862651501891,56.425921644553846,131.10123026828535,-5.502718472929383,0.3329734057998098,0.3772591,-0.3173735973038725,0.30515024,0.267272681567849,0.33488622,19.721176,19.940453,19.332945,0.6075077,1.0322633,
505567579742738688,27.675836763264133,56.42760119801241,131.09933562069327,-5.501436187131675,-0.0301809602136344,0.058087092,-0.5161422778534832,0.040318795,0.3867967522945432,0.052939087,16.788887,16.904514,16.573017,0.3314972,1.0227375,3912.2966
505567609805376384,27.65852645894225,56.4227592258334,131.09108427655443,-5.508337610678997,0.1032656990904266,0.25995448,-0.3020541233374179,0.18444782,0.1578507033635619,0.23242304,19.230986,19.384829,18.86031,0.52451897,1.0049304,
505566132331018880,27.63761313213701,56.40738161793899,131.083294467301,-5.525949676703113,0.003537246807554,0.23609094,-0.3486115285562905,0.17507473,0.2518855681154706,0.21546473,19.129328,19.378185,18.874985,0.50320053,0.99604213,
505567609799852160,27.654847887101816,56.43089306626073,131.08722858782286,-5.500883214818151,-0.2144643092106685,0.28719112,-0.564431638522836,0.22033308,0.2171915216623546,0.2455925,19.405197,19.660597,19.167261,0.49333572,0.9386204,
505567815958261504,27.63998505630119,56.42539378655658,131.08045035529318,-5.508113044282807,0.0285113356092412,0.23872676,-0.2897445324238222,0.20202878,0.3375052220245009,0.21647145,19.106653,19.361074,18.708708,0.65236664,1.0246108,
505567815958298752,27.63799002257156,56.43311520984078,131.07760195193717,-5.500846776341507,0.1773829377149091,0.15688133,-0.5063796968229421,0.09988004,0.2979746558953851,0.13208969,18.4413,18.664978,18.11202,0.55295753,0.99317783,5324.5317
505567850318059648,27.650812868905778,56.441368259569536,131.0826441813766,-5.491193928730874,-0.0044783524998869,0.2262511,-0.5490661110370998,0.16270824,0.7154919244039387,0.20400321,19.084146,19.352575,18.858084,0.49449158,1.0392015,
505567751541417472,27.67989369290917,56.45191063275891,131.09594457144496,-5.477258005886792,0.1676524189005523,0.070970714,-0.5476371565686131,0.049453475,0.4927998645527054,0.06601151,17.09537,17.220942,16.89458,0.3263607,1.0703752,5383.779
505567747244344960,27.66278512101893,56.44869227243365,131.08743636651062,-5.482552317382694,-0.2829339394569159,0.18219812,-0.2380585928449249,0.12598547,0.3095082682344456,0.16244356,18.697237,18.812012,18.369902,0.44211006,1.0640136,
