source_id,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot
505566716452234112,27.72208467507453,56.3835346953346,131.1344993100237,-5.538471751299505,0.244834500437519,0.7936948,9.428822963090006,0.7237705,1.3307184291407612,0.79379344,20.594585,21.342884,19.245785,2.0970993,1.1096942,
505566720749296256,27.719914382910524,56.386355887837794,131.13267431580172,-5.536001300486643,0.3586081190323993,0.05776269,0.4950010500762465,0.04026506,-0.8674008494114558,0.055059787,16.823233,17.366146,16.121141,1.2450047,1.0445759,1221.3776
505566716446509184,27.72501506949104,56.387125956596094,131.1352581286216,-5.534604128608374,0.3073933316603916,0.2443929,1.9825485170487125,0.19320069,-0.36647732504754,0.23369786,19.241413,20.05912,18.392735,1.6663857,1.0027845,
505566720749297152,27.727682457190035,56.38446740290611,131.13731491539158,-5.536853001454847,1.0915512765600486,0.2209661,-1.728170756947049,0.1735946,-2.4260787406915747,0.20913966,19.1103,20.038198,18.250528,1.7876701,1.0295433,
505566720749297664,27.71648992225201,56.38309138054552,131.1315723929448,-5.539613536023131,0.2363891184601323,0.030080259,-1.4622880357665875,0.020614156,-0.5005671190080432,0.027790224,15.427825,15.841863,14.831703,1.0101595,1.0299119,2461.0203
505566716446511104,27.72147807295056,56.387888341503405,131.13316773058995,-5.534311173625229,0.0586733678665312,0.2712767,-0.8704544768261038,0.21899273,-0.0707265528405558,0.26449725,19.338701,19.942488,18.617567,1.3249207,1.0177486,
505566716452171136,27.724157604905,56.388122183247845,131.1345643592746,-5.533743351185651,2.1878859351733637,0.538067,-5.080556050203027,0.37652236,-5.233285271458274,0.5350754,20.111217,21.53687,18.962685,2.5741844,1.0824922,
505566720749298176,27.7162330976343,56.382060071864544,131.13167089780842,-5.540649973534294,0.5050256626994832,0.10090388,-0.7131246092130352,0.06994269,-1.0616128459089136,0.09075257,17.745693,18.383345,16.909103,1.4742413,0.99284,927.6565
505566716446488960,27.72706238139702,56.38069550744196,131.13784866576327,-5.540603043584384,0.3847415246069611,0.18840379,3.768245377045664,0.1322957,-1.316938803004332,0.16110267,18.753586,19.46812,17.999315,1.4688053,0.9710275,949.2894
505566716446481152,27.72012596546666,56.37896670533217,131.1344913362572,-5.543166699508475,-0.0593098091256673,0.4661217,-1.2325105019444986,0.37584707,0.2045719475705512,0.42089182,20.09176,20.807266,19.456902,1.3503647,1.0129224,
505566716446514816,27.727708718798084,56.38938544350392,131.1361954639854,-5.532062821957325,-0.4529313572895098,0.47538027,-0.6237071974117362,0.33710524,-1.0242665636367083,0.42365375,20.122465,20.608973,19.421484,1.1874886,1.0306182,
505566716446481024,27.725247278578184,56.37889922740269,131.1372799143495,-5.542581976754605,,,,,,,20.398418,20.768774,19.360735,1.4080391,,
505565243280549376,27.71648873234283,56.37906262938179,131.13249976267218,-5.543535122656558,0.7208977709962499,0.19382544,-2.119447420911009,0.14092396,-1.309953942582078,0.17996334,18.863863,19.68912,17.982214,1.7069054,1.0165308,643.1368
505566716446510848,27.732109635101303,56.38729456101861,131.13905977178732,-5.533538880721377,0.5800731560130485,0.10175818,-0.6064427603556211,0.07142926,-1.3713341865502275,0.093008496,17.08001,17.788395,16.210337,1.5780582,1.4360683,1109.049
505566716446516480,27.71683683733276,56.3906523205086,131.1300185668153,-5.532209970105164,0.214406800225237,0.49953696,-1.2396106054865232,0.36193758,-2.3847772881254192,0.5051141,20.093592,20.95266,19.231617,1.7210426,1.0298704,
505566716452235776,27.712756911658182,56.38961489340439,131.1280489730825,-5.533737486644854,1.9656581174015604,1.3693548,-2.856415932576862,1.5126964,1.2580093779089985,1.6861321,20.794147,21.342422,19.81083,1.5315933,1.0987204,
505566510293781632,27.733720620650207,56.38189827793365,131.14117623955502,-5.538586409899574,,,,,,,21.092169,21.35224,19.969837,1.3824024,,
505566510293781504,27.734756728478867,56.38350716558024,131.1413661435311,-5.536888809373793,0.3597713611790279,1.0302225,-1.5868841475315727,0.8832244,0.0520136223963149,0.99610597,20.652935,21.531042,19.712336,1.8187065,1.062478,
505566510288055808,27.731840373307584,56.37957217046773,131.1406946209088,-5.541089357043568,1.4103271734952183,0.101377025,-1.0794684443457032,0.07048862,-4.771749450663208,0.089784615,17.770123,18.92882,16.733768,2.1950512,0.99990547,506.9216
505565238979945600,27.70900918613593,56.38089559317073,131.1280276713196,-5.542700208774401,1.0470929654270051,0.39732572,4.2975043881351525,0.3013793,-1.2096642515697584,0.36953688,19.885315,20.979023,18.836496,2.1425266,1.0098134,
505565238983459840,27.718273184498862,56.37548702627316,131.1342897417821,-5.546788913046316,-0.1488682291939581,0.92598516,2.958040623829898,0.6123345,-3.2719114228875608,0.8548182,20.588608,21.574423,19.331594,2.2428284,1.0748079,
