estuary,country,period_h,period_m,mouth_h,mouth_m,mouth_chg_pct,maxtr_h,maxtr_m,maxtr_chg_m,maxtr_chg_pct,maxchg_tr_h,maxchg_tr_m,maxchg_tr_chg_m,maxchg_tr_chg_pct,loc_max_tr_km,loc_max_chg_km,wave_h,wave_m,wave_chg_pct,asym_h,asym_m,depth_m,intertidal_h,intertidal_m,intertidal_chg_pct,supratidal_h,supratidal_m
Passur,Bangladesh,1960-1965,2011-2014,2.71,2.72,0.4,2.89,3.63,0.74,25.6,1.54,3.01,1.47,95.5,102,147,7.0,11.4,62.9,0.78,0.83,9.73,0,0,,1165,0
Lingdingyang Bay,China,1955-1970,2012-2019,0.8,0.78,-2.5,1.4,1.52,0.12,8.6,1.4,1.52,0.12,8.6,95,95,5.3,6.3,18.9,0.95,0.8,5.3,297,136,-54.2,,
Qiantang,China,1976-1984,2010-2018,1.92,2.13,10.9,5.71,6.41,0.7,12.3,2.4,3.16,0.76,31.7,131,179,,,,,,,,,,,
Yangtze,China,1958-1987,2002-2014,2.37,2.37,0.0,2.37,2.37,0.0,0.0,1.65,1.8,0.15,9.1,0,160,9.2,10.0,8.7,0.95,0.95,7.85,451,252,-44.1,,
Gironde,France,1825,1994-2024,3.17,3.19,0.6,4.03,4.52,0.49,12.2,4.03,4.52,0.49,12.2,52,94,6.4,9.7,51.6,0.66,0.67,8.5,65,86,32.3,68,23
Loire,France,1821-1892,1994-2024,3.53,3.68,4.2,3.53,4.0,0.47,13.3,1.26,3.87,2.61,207.1,0,48,5.3,12.6,137.7,0.53,0.41,8.6,34,43,26.5,95,36
Seine,France,1834,1994-2023,5.52,5.28,-4.3,5.56,5.28,-0.28,-5.0,0.77,3.24,2.47,320.8,13,63,5.4,6.2,14.8,0.61,0.98,5.9,277,52,-81.2,22,
Elbe,Germany,1898-1910,1987-2023,2.85,2.93,2.8,2.85,3.83,0.98,34.4,0.85,3.6,2.75,323.5,0,116,5.5,7.9,43.6,0.74,0.85,9.3,184,205,11.4,162,63
Weser,Germany,1898-1910,1987-2023,2.72,2.87,5.5,3.32,4.27,0.95,28.6,1.39,4.27,2.88,207.2,48,115,9.7,17.5,80.4,0.78,0.75,9.5,111,120,8.1,56,25
Ems,NL/Germany,1898-1937,1987-2023,2.49,2.4,-3.6,3.02,3.7,0.68,22.5,0.55,3.19,2.64,480.0,44,97,5.8,9.2,58.6,0.74,0.64,7.4,178,191,7.3,34,28
