iso,pais,status_code,prop_hablantes,poblacion,total_hablantes,cc_pct,rsf_score,situacion_prensa,above_cc_thres,above_excl_thres
mar,India,2.0,0.997351779169794,99000000.0,99262870.0,1.99026315789474,31.28,Situation très grave,yes,yes
kan,India,2.0,0.996479276893315,58500000.0,58706690.0,1.15289473684211,31.28,Situation très grave,yes,yes
ind,Indonesia,1.0,0.994963274800012,198000000.0,199002320.0,84.3005263157895,51.15,Situation difficile,yes,yes
hin,India,1.0,0.988752285771091,602000000.0,608848150.0,14.9421052631579,31.28,Situation très grave,yes,yes
jpn,Japan,1.0,0.988120523490055,122000000.0,123466720.0,478.906842105263,62.12,Situation problématique,yes,yes
tha,Thailand,1.0,0.985261663894186,60200000.0,61100520.0,38.7181578947368,58.12,Situation problématique,yes,yes
tel,India,2.0,0.980055607457566,93900000.0,95810890.0,1.81052631578947,31.28,Situation très grave,yes,yes
cym,United Kingdom,2.0,0.97777293131963,538000.0,550230.0,1.10447368421053,77.51,Situation plutôt bonne,yes,yes
nor,Norway,1.0,0.974865817474839,5280000.0,5416130.0,33.408421052631596,91.89,Bonne situation,yes,yes
mya,Myanmar,1.0,0.972994987454156,42000000.0,43165690.0,1.165,24.41,Situation très grave,yes,yes
dan,Denmark,1.0,0.97027250206441,5640000.0,5812800.0,43.9073684210526,89.6,Bonne situation,yes,yes
afr,South Africa,1.0,0.969435693362074,17540000.0,18093000.0,1.03684210526316,73.73,Situation plutôt bonne,yes,yes
guj,India,2.0,0.960531719725141,60200000.0,62673620.0,1.095,31.28,Situation très grave,yes,yes
vie,Vietnam,1.0,0.951531026170001,82100000.0,86282000.0,92.9489473684211,22.31,Situation très grave,yes,yes
cat,Spain,2.0,0.947355630421622,8810000.0,9299570.0,23.1792105263158,76.01,Situation plutôt bonne,yes,yes
fin,Finland,1.0,0.944697750193396,5300000.0,5610260.0,38.6102631578947,86.55,Bonne situation,yes,yes
mal,India,2.0,0.940674445028575,35500000.0,37738880.0,2.13973684210526,31.28,Situation très grave,yes,yes
tur,Türkiye,1.0,0.926131675412603,83440000.0,90095180.0,97.625,31.6,Situation très grave,yes,yes
isl,Iceland,1.0,0.919342976219662,300000.0,326320.0,3.99421052631579,80.13,Situation plutôt bonne,yes,yes
eus,Spain,2.0,0.908120641112931,987000.0,1086860.0,3.3207894736842105,76.01,Situation plutôt bonne,yes,yes
pol,Poland,1.0,0.902118147574185,37710000.0,41801620.0,168.605263157895,69.17,Situation problématique,yes,yes
slv,Slovenia,1.0,0.89454542244507,2026700.0,2265620.0,15.7684210526316,72.6,Situation plutôt bonne,yes,yes
heb,Israel,1.0,0.88715211345286,8300000.0,9355780.0,22.9636842105263,53.23,Situation difficile,yes,yes
tam,India,2.0,0.886714241749205,76900000.0,86724670.0,4.32184210526316,31.28,Situation très grave,yes,yes
kat,Georgia,1.0,0.874560357180258,3424000.0,3915110.0,3.99184210526316,53.05,Situation difficile,yes,yes
ita,Italy,1.0,0.863912129505968,57700000.0,66789200.0,248.274736842105,69.8,Situation problématique,yes,yes
lit,Lithuania,1.0,0.862756939801135,2400000.0,2781780.0,17.065,81.73,Situation plutôt bonne,yes,yes
nep,Nepal,1.0,0.834494234907356,27100000.0,32474760.0,3.1678947368421,60.52,Situation problématique,yes,yes
kaz,Kazakhstan,1.0,0.832359231768619,13800000.0,16579380.0,2.35868421052632,41.11,Situation difficile,yes,yes
lav,Latvia,1.0,0.830234992600079,1840000.0,2216240.0,9.43263157894737,82.9,Situation plutôt bonne,yes,yes
est,Estonia,1.0,0.823291325545028,895000.0,1087100.0,13.974736842105301,86.44,Bonne situation,yes,yes
msa,Indonesia,1.0,0.805114326925683,198000000.0,245927806.0,8.91894736842105,51.15,Situation difficile,yes,yes
ukr,Ukraine,1.0,0.791370769795639,30800000.0,38919810.0,41.6815789473684,65.0,Situation problématique,yes,yes
bul,Bulgaria,1.0,0.786577436645628,6200000.0,7882250.0,28.692105263157902,65.32,Situation problématique,yes,yes
ell,Greece,1.0,0.78635908936593,10400000.0,13225510.0,55.725789473684195,57.15,Situation problématique,yes,yes
hye,Armenia,1.0,0.777300309974759,2960000.0,3808052.0,3.33815789473684,71.6,Situation plutôt bonne,yes,yes
hun,Hungary,1.0,0.76272311461363,9480000.0,12429150.0,56.325526315789496,62.98,Situation problématique,yes,yes
glg,Spain,2.0,0.760737649113459,2570000.0,3378300.0,3.82447368421053,76.01,Situation plutôt bonne,yes,yes
ces,Czechia,1.0,0.760639580041246,9372000.0,12321210.0,105.225263157895,80.14,Situation plutôt bonne,yes,yes
srp,Serbia,1.0,0.760500887613179,7700000.0,10124906.0,22.0552631578947,54.48,Situation difficile,yes,yes
uzb,Uzbekistan,1.0,0.757327589919287,25500000.0,33671030.0,1.84578947368421,37.27,Situation très grave,yes,yes
swe,Sweden,1.0,0.71718302586313,9500000.0,13246270.0,70.3923684210526,88.32,Bonne situation,yes,yes
urd,Pakistan,1.0,0.713384090240019,169700000.0,237880270.0,2.65789473684211,33.9,Situation très grave,yes,yes
zho,China,1.0,0.710406472620931,1103000000.0,1552632250.0,529.507368421053,23.36,Situation très grave,yes,yes
ron,Romania,1.0,0.705601884353437,17800000.0,25226690.0,57.6563157894737,68.45,Situation problématique,yes,yes
