ssp,warming_2090s_C,deforestacion_2090_pct,transitioned_con_defor_pct,std_pct
SSP1-2.6,1.8,20,10,3
SSP2-4.5,2.8,20,16,3
SSP3-7.0,4.0,25,46,8
SSP5-8.5,4.9,22,33,7
