ssp,decade,warming_C,transitioned_pct
SSP2-4.5,2020,1.4,5
SSP2-4.5,2030,1.6,5
SSP2-4.5,2040,1.9,10
SSP2-4.5,2050,2.1,18
SSP2-4.5,2060,2.3,5
SSP2-4.5,2070,2.5,12
SSP2-4.5,2080,2.7,5
SSP2-4.5,2090,2.8,1
SSP3-7.0,2020,1.4,5
SSP3-7.0,2030,1.7,2
SSP3-7.0,2040,2.0,12
SSP3-7.0,2050,2.4,5
SSP3-7.0,2060,2.8,1
SSP3-7.0,2070,3.1,1
SSP3-7.0,2080,3.6,5
SSP3-7.0,2090,4.0,15
