ssp,decade,warming_C,transitioned_pct
SSP2-4.5,2020,1.4,0
SSP2-4.5,2030,1.6,0
SSP2-4.5,2040,1.9,0
SSP2-4.5,2050,2.1,0
SSP2-4.5,2060,2.3,0
SSP2-4.5,2070,2.5,10
SSP2-4.5,2080,2.7,5
SSP2-4.5,2090,2.8,10
SSP3-7.0,2020,1.4,0
SSP3-7.0,2030,1.7,0
SSP3-7.0,2040,2.0,0
SSP3-7.0,2050,2.4,0
SSP3-7.0,2060,2.8,8
SSP3-7.0,2070,3.1,18
SSP3-7.0,2080,3.6,2
SSP3-7.0,2090,4.0,45
