ssp,warming_2090s_C,transitioned_pct_sin_deforestacion,std_sin_deforestacion,transitioned_pct_con_deforestacion,std_con_deforestacion
SSP1-2.6,1.8,0,0,62,5
SSP2-4.5,2.8,0,0,61,5
SSP3-7.0,4.0,35,8,78,4
SSP5-8.5,4.9,28,7,75,4
