,year,CLASS-CTEM_GFDL-ESM2M_S2,CLASS-CTEM_HadGEM2-ES_S2,CLASS-CTEM_IPsL-CM5A-LR_S2,CLASS-CTEM_MIROC5_S2,ELM_GFDL-ESM2M_S2,ELM_HadGEM2-ES_S2,ELM_IPsL-CM5A-LR_S2,ELM_MIROC5_S2,JULES-ES-cs_GFDL-ESM2M_S2,JULES-ES-cs_HadGEM2-ES_S2,JULES-ES-cs_IPsL-CM5A-LR_S2,JULES-ES-cs_MIROC5_S2,JULES-ES-npp_GFDL-ESM2M_S2,JULES-ES-npp_HadGEM2-ES_S2,JULES-ES-npp_IPsL-CM5A-LR_S2,JULES-ES-npp_MIROC5_S2,JULES-ES-resps_GFDL-ESM2M_S2,JULES-ES-resps_HadGEM2-ES_S2,JULES-ES-resps_IPsL-CM5A-LR_S2,JULES-ES-resps_MIROC5_S2,LPJ_GFDL-ESM2M_S2,LPJ_HadGEM2-ES_S2,LPJ_IPsL-CM5A-LR_S2,LPJ_MIROC5_S2,VISIT_GFDL-ESM2M_S2,VISIT_HadGEM2-ES_S2,VISIT_IPsL-CM5A-LR_S2,VISIT_MIROC5_S2
1,2006,45.03247461,68.87170524,62.31746287,70.48212703,196.7421522,204.5246184,210.1411575,209.5709987,166.8499933,192.4261234,181.402847,188.5197481,155.4508698,192.7163227,182.3934245,197.6483591,155.4604522,191.6237327,180.9643536,194.5906761,95.42007599,124.9196119,114.6180753,127.6731425,130.9767913,144.5586579,148.2592984,147.6517886
2,2007,59.59801156,71.81990896,58.70654443,68.44038716,211.8530923,203.2288566,213.4606967,201.7289793,190.2550279,195.0175119,187.1413131,184.7044762,175.367942,196.2260406,189.0552712,193.1529292,187.130629,198.3105866,185.6577978,187.9764548,113.6261149,133.2797623,112.3589589,119.1263588,135.7743361,144.3762447,144.6554083,141.2773388
3,2008,68.82845057,69.22515458,57.69209142,65.20805572,206.4254843,205.5691513,213.8533941,200.1124659,199.7611439,190.6644022,181.4963146,184.2097347,205.9529063,188.0877057,178.6540267,184.23582,201.3798388,190.2706337,179.3322158,183.7775418,107.2276728,126.9870079,109.8149331,119.7491088,149.1029577,141.2642763,142.6428454,139.8679391
4,2009,57.10324868,73.24672241,57.5906823,63.40188959,202.0927166,210.0094068,220.9781407,208.3980018,188.7605638,188.8177259,176.5481872,186.4284975,186.9673471,189.1421287,172.1709068,180.6192867,182.2261772,190.8336208,173.0853319,184.1023051,99.60944771,131.7870116,108.1726317,123.4289135,141.1661319,144.7965618,134.8719188,128.2363647
5,2010,56.45301565,71.28759885,62.48445407,72.47547179,204.3539722,207.0775198,214.6824229,218.6868016,180.6075177,189.3792768,186.424184,193.7092416,165.2899559,184.0348516,178.6912741,193.3053198,170.5335775,185.6828501,183.6651973,197.6608271,101.1988773,124.420139,117.5577523,130.5819315,131.4172333,139.4511702,140.3877705,140.0544057
6,2011,65.55361906,80.0045095,72.68648843,74.78465194,215.9273292,214.2554412,227.8447533,207.8845368,190.1020973,186.2379562,199.3672415,196.9819228,185.9104258,185.3274156,202.4827093,201.9183235,189.5340426,188.0275868,203.2522589,199.9059038,117.0088427,130.9633724,129.0357898,126.5971926,140.3325915,143.1038559,153.3352219,142.354278
7,2012,64.57764407,82.88823775,65.97202877,72.49408601,213.2219606,207.4036461,221.2001159,205.680457,196.1794695,203.0400512,198.2885081,188.2364884,200.170533,209.0511467,197.909244,187.9355406,191.7252377,208.1072689,195.3133725,186.5310812,100.6195808,134.866466,118.4180121,121.1550222,146.0083976,156.235967,157.4548127,142.0400112
8,2013,52.86943939,83.8012221,68.4320081,67.59620292,205.5290548,204.566274,224.5698079,213.0404169,179.2387802,203.4499808,194.4529475,186.0386721,168.3170265,209.3796111,192.8650119,171.2714673,169.1884287,203.6414016,193.1537447,178.478648,98.20801364,125.892327,119.4838268,120.7317953,133.5934361,146.9284327,149.224918,130.7588738
9,2014,49.38171551,82.77988172,73.22318206,84.38572015,200.5880032,208.0814229,223.7718386,229.4252376,164.9305688,197.2896089,197.1158157,196.5096333,151.6326881,193.6059806,198.8282647,188.2752686,152.9844733,193.3617785,196.1459423,198.3965009,92.15664352,124.4871882,112.5708526,146.1273025,125.9549745,144.0486905,142.4677981,142.6236222
10,2015,61.86578485,81.59660939,65.61415898,86.02578576,222.4541908,218.0745163,223.7592751,222.3347863,178.1807472,196.6298922,192.197718,202.4189181,157.5114266,190.6981692,189.3222339,215.9216967,170.2640009,195.2579767,185.9530395,207.5396145,113.1586801,130.4540837,111.7935913,125.1933992,128.2428661,145.2402057,145.3476128,148.3123017
11,2016,64.74112501,77.05459322,63.67783953,82.79470704,215.2114132,217.644225,219.2914085,206.0586823,198.4501217,191.3610835,193.484289,201.6531785,201.3531443,190.0081602,185.0962769,218.6635092,198.4317077,189.8134571,186.6213804,206.2527951,110.1104512,127.7272068,114.0190288,120.1367813,142.9751001,146.4949012,140.1060058,146.6824545
12,2017,55.70533588,76.15434333,63.56393061,72.26275078,219.8471762,219.0017333,228.0280231,211.3649871,183.5199705,194.4277661,189.9484096,199.1246605,175.6011255,191.4137176,181.379578,201.6644633,175.0914084,193.3704143,186.4314472,197.1920003,111.3556345,127.621943,122.6966614,119.6682434,140.3379364,141.2257638,141.9459377,142.9160421
13,2018,64.96500447,69.29279624,68.00575883,68.82467198,227.9713264,215.2341852,230.8543354,218.7248869,194.7863492,193.1677523,195.0060667,195.4896536,191.9624952,189.7684488,194.5064112,184.6604958,194.9121552,191.1517536,194.7710584,189.6058648,120.8156864,128.7034555,120.0079107,128.1625436,147.0568574,143.3700978,151.8809381,138.2450512
14,2019,62.64466054,69.82786438,64.29094221,72.75520662,217.1797133,219.9047586,231.0260723,228.2367728,204.8928654,198.5152176,195.5659694,196.6164303,212.7249449,199.0668325,190.7764583,187.1337071,203.1450099,196.5818801,191.4400317,196.1323303,102.2810028,129.0295381,120.5399605,137.5168376,151.2510267,143.7143459,149.5904285,140.3216623
15,2020,52.24882922,69.61710744,64.27788783,81.8074075,213.6756396,214.4384658,226.5760634,220.7623956,187.0211254,193.9067353,200.0107132,200.0726618,181.5157519,192.6259825,194.2877511,210.1257367,178.0164696,189.7532646,194.9854575,207.0286693,103.9610223,126.9543372,123.0541728,133.5040039,136.6288084,142.6857515,146.1941576,152.4495528
16,2021,52.85496864,79.33134055,66.03178625,76.77796972,224.6918711,215.998346,231.1741438,215.7430691,184.5684228,201.3945785,192.4779569,200.4200802,166.9312579,198.9890175,194.563351,211.1260192,172.6770804,197.3121308,192.2498477,203.9166563,104.9918815,132.7821002,117.587913,120.1365484,131.2661855,151.3707172,150.5466783,141.852956
17,2022,60.62464323,73.70380155,60.92058867,69.23186462,230.0829911,219.3476772,234.9449941,218.4029168,187.8589014,204.1568693,192.5024626,196.8301203,176.3939361,197.6697895,187.936995,197.5361114,183.044125,199.7600074,186.863868,194.1124616,115.348753,131.5105549,115.2892759,123.3815592,141.6106138,147.3967687,152.3223545,144.0640653
18,2023,58.46739629,66.78385205,63.75229259,65.13216994,228.372213,224.1069396,231.9805207,226.3608985,191.7684123,188.4920185,188.5881397,199.4182604,196.2000332,180.788669,184.6794702,191.4959317,191.6040725,183.4132694,187.0378436,193.4963397,109.3838646,133.3433336,122.9017746,127.0095173,148.6978554,141.7562408,146.3586408,139.6297262
19,2024,56.27645484,74.05057204,67.97806899,67.99446978,217.1837133,234.5353611,233.887442,222.5675464,192.2714302,199.483917,196.984049,197.9363259,191.6758343,199.7562263,197.5235119,188.6649443,186.5060264,199.1326317,194.0645015,193.8170654,108.3157944,136.319982,113.8292161,129.9621698,145.9492143,149.5094518,153.5909407,135.3794489
20,2025,45.25406014,74.32371148,61.54145375,81.05734741,223.0251124,225.3166195,233.3705635,231.4263249,177.2521785,202.98307,193.4924896,206.3228698,156.5033777,201.2342618,191.5619215,212.5495512,159.8706196,197.728884,191.1139637,211.1930622,101.8210927,130.9163423,118.0667647,134.8046798,130.6799713,150.3873465,150.7892972,149.4175388
21,2026,73.90902353,77.18481481,58.57776609,82.04143489,246.1981715,229.5306375,245.0805357,229.7893149,205.6219592,207.9151749,198.8581126,207.8648594,191.9484904,206.0949084,191.5409781,217.6847286,201.1536268,204.6584626,192.0299225,212.6241462,130.0657073,140.7618162,116.6403437,128.5485459,140.7750509,152.4932958,149.4111611,149.0446156
22,2027,71.13821203,72.00726488,60.70895183,74.0684624,229.8026289,229.0085689,236.5261795,221.7126288,214.8960422,205.7347096,202.3240549,203.6058571,222.0490761,202.1788168,193.1508155,203.6514531,213.2255359,202.3247064,192.8226899,200.045384,107.4402918,136.7996387,115.59426,124.6942145,150.5903368,150.0463677,135.4675989,145.9360033
23,2028,51.18956637,78.90595924,70.49892728,67.47227346,221.6092923,232.9673642,243.2903679,228.8569813,193.7057749,209.0512609,211.6790562,203.3483906,186.5584663,213.0249568,212.0807152,191.9736912,182.5305055,209.0353825,209.3703019,196.8367953,106.3967781,134.9388091,122.6820143,131.4908945,140.0930417,156.6688569,154.3362571,141.2514883
24,2029,57.09407057,79.7389864,65.05758601,70.71365775,232.2195842,229.8367178,235.8539139,241.791049,192.5077247,209.6384794,210.1850871,210.5329298,178.9773444,214.1090555,208.01132,193.5884295,182.183195,208.2646729,205.2996693,204.3468643,116.1192445,132.8191184,117.4056478,138.8617128,144.2752192,154.8231183,151.7671824,141.6709512
25,2030,64.05906232,79.2839526,62.43347717,84.33047325,228.1567106,229.616117,240.4255399,251.0052819,205.8358078,213.5355683,207.057174,212.9587613,206.1919545,215.5775473,199.6010723,223.3687706,204.0009368,214.5750082,200.3928756,217.9839683,113.4414357,130.8634328,114.7063105,139.4268173,149.4807244,147.4376027,147.3348601,153.179893
26,2031,57.13392154,79.14355577,53.60923981,86.71076851,242.1285918,234.2041948,242.4415553,231.0800478,204.3519579,217.2448187,190.5385892,213.2967614,199.622043,215.6746698,174.9150457,231.0149782,196.6563405,214.8241786,177.3742804,217.2919006,108.8405805,139.1766086,110.6260088,126.9517899,145.6843485,155.3641541,137.2262859,150.2644409
27,2032,55.32062618,74.53216695,66.63606019,74.0303002,233.8463295,238.1893506,251.333487,228.8390499,189.9985102,205.1523982,195.1200776,212.0832746,176.6659422,199.3399577,182.6944569,217.6941402,182.9076893,197.8573697,189.9598003,209.3098877,113.281553,136.0926327,134.555324,123.7964361,129.9745864,156.1644667,147.28707,139.0073875
28,2033,61.90935721,73.62919675,62.74643524,69.54465729,237.6088363,238.5524113,247.8222695,240.97009,209.6574554,211.1488488,197.5012438,210.0814522,212.6690147,207.4566084,197.9260289,201.479031,206.2686393,207.8084706,192.8798224,203.3394893,110.4743907,138.6782702,120.4554454,132.588937,148.5884006,148.3347562,154.0660507,138.8093345
