,year,CLASS-CTEM_GFDL-ESM2M_S2,CLASS-CTEM_HadGEM2-ES_S2,CLASS-CTEM_IPsL-CM5A-LR_S2,CLASS-CTEM_MIROC5_S2,ELM_GFDL-ESM2M_S2,ELM_HadGEM2-ES_S2,ELM_IPsL-CM5A-LR_S2,ELM_MIROC5_S2,JULES-ES-cs_GFDL-ESM2M_S2,JULES-ES-cs_HadGEM2-ES_S2,JULES-ES-cs_IPsL-CM5A-LR_S2,JULES-ES-cs_MIROC5_S2,JULES-ES-npp_GFDL-ESM2M_S2,JULES-ES-npp_HadGEM2-ES_S2,JULES-ES-npp_IPsL-CM5A-LR_S2,JULES-ES-npp_MIROC5_S2,JULES-ES-resps_GFDL-ESM2M_S2,JULES-ES-resps_HadGEM2-ES_S2,JULES-ES-resps_IPsL-CM5A-LR_S2,JULES-ES-resps_MIROC5_S2,LPJ_GFDL-ESM2M_S2,LPJ_HadGEM2-ES_S2,LPJ_IPsL-CM5A-LR_S2,LPJ_MIROC5_S2,VISIT_GFDL-ESM2M_S2,VISIT_HadGEM2-ES_S2,VISIT_IPsL-CM5A-LR_S2,VISIT_MIROC5_S2
1,2006,8.188710199,8.15177613,8.859824543,7.652714937,7.431771235,6.224424297,7.202692569,6.716346587,4.020785652,4.119954682,3.766987764,4.440842447,7.780207995,7.424441684,6.91096838,8.107319702,6.482766559,5.937493653,5.66999408,6.722729352,3.683873357,4.684787744,4.336114394,4.392467877,11.50246947,10.63299429,11.72976942,10.83744573
2,2007,7.479706884,9.156784444,8.925065273,7.947748171,7.230635652,7.574238622,8.297653768,8.022690696,4.282967089,4.425287435,4.584149732,3.9909288,8.050180429,8.234084351,8.268346439,7.104997226,6.614112365,6.932377143,6.808995921,5.322703954,3.794016468,5.003921868,5.250088004,4.401628625,11.85888383,12.19098721,14.02474566,10.94138903
3,2008,7.225417806,8.118266959,9.604001746,6.699755619,7.531184116,6.773139279,6.913627249,7.424566209,4.076307108,4.471713866,4.253852467,4.274349558,7.660254497,8.149276452,7.83105234,7.740024678,6.396704281,6.683926592,6.160056994,6.09610895,3.354109043,4.768590769,5.18617197,4.275922335,10.55507917,12.18325759,14.680823,10.91123374
4,2009,9.04512105,8.764204365,9.513798475,7.935368614,6.523974618,7.739752435,6.686310046,7.349884269,3.611609264,4.804428605,3.954165015,4.411677046,7.014643462,9.093852903,7.413447746,7.711724884,5.98482386,7.459905892,5.686128642,5.690161039,3.452960258,4.784199637,4.623571986,4.794556533,10.77008852,11.22475949,12.85006112,12.44084579
5,2010,8.741046377,8.965879491,9.639292073,9.138023286,8.782848675,6.808178127,8.54642849,6.640488179,4.742422546,4.825350969,4.78289301,4.410510434,8.746388614,9.193399273,8.713046327,7.82692886,7.728995211,7.19362847,7.316385667,6.251481312,4.570931202,4.993852759,5.122836122,5.572409009,12.18005049,12.9844495,14.11597084,11.60280854
6,2011,8.279634358,8.862362239,9.3273026,9.291994113,6.961316938,7.270227819,7.483818113,6.872797798,4.514213834,4.710521948,4.52631302,4.26465273,8.864849938,8.579595967,8.579468741,7.800771177,6.872449049,7.220869634,6.683196199,5.794963647,4.118855849,5.024552203,4.883431158,4.711259444,11.95349049,12.30492362,13.60198708,11.65258153
7,2012,9.332444696,9.568752606,8.518464966,8.919620625,6.704473125,7.703395951,6.594002333,6.350781201,4.233256628,4.851129921,4.227606531,4.201584643,8.200749953,9.099841888,7.929560573,7.539933259,6.81426582,7.530943389,5.82763596,5.919261746,4.317725357,5.190882014,4.362301513,4.558297738,12.23542032,12.3741312,13.93256265,11.11057791
8,2013,9.400744812,9.705187501,9.457983906,8.343924131,6.615248338,7.909925037,6.428451989,7.374374085,4.23408627,4.660961649,4.225174214,4.678386603,7.918912088,8.585327984,7.61723723,8.590059759,6.755542609,7.114273591,6.195135716,6.754001557,3.787538723,4.942639027,4.521120551,4.860973078,11.73544052,12.11640248,13.87760708,12.60156511
9,2014,9.952975537,10.47392199,8.314080479,7.367683532,8.732557727,7.699792182,7.000071019,6.414515668,4.841995529,5.373465084,4.195970935,4.424643503,8.728115773,9.779948533,7.620268429,7.900504508,7.828651935,8.188950269,6.237767996,5.736740834,4.757005659,5.955826848,4.115871031,4.774198509,12.01631991,13.89494381,11.7354813,11.82861722
10,2015,9.464351683,9.869014091,9.635349314,9.562522739,7.827674313,6.784947836,7.314497037,6.387490452,4.729072958,4.640524671,4.966806118,4.795913657,8.941447433,9.114458633,9.185337272,8.27455146,7.194459014,7.14060015,7.142834371,6.745738575,4.361027542,5.482642477,5.546869057,4.729062706,12.2000649,13.36656932,15.14938291,11.29261333
11,2016,9.844556779,9.627428165,10.43456552,9.015883516,6.548487481,7.362565521,6.585435845,6.964696525,4.291168503,4.783687068,4.995704484,4.590922424,8.443631144,9.108335243,8.812105116,7.865886732,6.804880382,7.081532214,6.779899514,6.308285864,4.62841084,5.372529725,5.818766151,4.726746285,12.87085461,13.33762456,14.59598159,10.69974967
12,2017,10.01184752,9.15418398,10.91865276,7.649469512,6.496235082,6.628274621,6.724963227,7.557110821,4.624027276,4.554853075,5.239974476,4.560577983,8.862274279,8.808852294,9.399418995,8.030436623,7.402637445,6.593277281,7.569018227,6.780874992,4.664279821,4.861671181,6.156873537,4.254877023,12.65695422,13.08846357,15.26361618,11.44152426
13,2018,8.783577174,9.967270472,9.449180902,9.968582573,6.464146961,6.466855878,6.967641479,7.053744235,4.226817073,4.946718388,4.373278274,4.728471572,8.136855307,8.912246648,8.041217174,8.316111166,6.742198817,7.398550734,6.421502496,6.945061203,3.920498641,5.395100314,4.873507697,5.187326531,11.81106985,12.90475604,13.10958967,12.899494
14,2019,9.799787273,10.42637559,9.62884006,9.376476653,7.086586844,7.302739553,7.914468723,6.940966322,4.328665542,5.506916844,4.709522368,5.156758758,8.284538593,10.19135917,8.777699765,8.594315515,6.975541424,8.335748643,6.832979176,7.056678461,4.165975242,5.773025996,5.17433199,5.590898176,11.74593555,13.97657478,14.48443839,12.97880905
15,2020,9.340970359,10.29530738,10.38746411,9.042042222,8.031536639,7.776762569,7.125226327,7.141219927,4.481296023,5.661900488,4.478628624,4.924677723,8.604309836,10.07691411,8.269932095,8.622053425,7.186808867,8.004748534,6.527388988,6.833695317,3.899223367,5.734110084,5.114723884,5.003827986,11.84286676,14.30555208,15.38254277,11.87886878
16,2021,11.02518463,10.42956438,9.42501641,9.135241642,6.690012086,6.993404133,8.020241551,7.73175963,4.807302554,5.68497917,4.978751364,5.018035847,8.558621174,10.5045872,8.82812555,8.774754868,7.52267328,8.577214911,7.319808728,7.109636181,4.888475599,5.84863404,4.723863744,5.384050126,13.0376917,14.16109061,14.34639694,12.05138942
