,year,CLASS-CTEM_GFDL-ESM2M_S2,CLASS-CTEM_HadGEM2-ES_S2,CLASS-CTEM_IPsL-CM5A-LR_S2,CLASS-CTEM_MIROC5_S2,ELM_GFDL-ESM2M_S2,ELM_HadGEM2-ES_S2,ELM_IPsL-CM5A-LR_S2,ELM_MIROC5_S2,JULES-ES-cs_GFDL-ESM2M_S2,JULES-ES-cs_HadGEM2-ES_S2,JULES-ES-cs_IPsL-CM5A-LR_S2,JULES-ES-cs_MIROC5_S2,JULES-ES-npp_GFDL-ESM2M_S2,JULES-ES-npp_HadGEM2-ES_S2,JULES-ES-npp_IPsL-CM5A-LR_S2,JULES-ES-npp_MIROC5_S2,JULES-ES-resps_GFDL-ESM2M_S2,JULES-ES-resps_HadGEM2-ES_S2,JULES-ES-resps_IPsL-CM5A-LR_S2,JULES-ES-resps_MIROC5_S2,LPJ_GFDL-ESM2M_S2,LPJ_HadGEM2-ES_S2,LPJ_IPsL-CM5A-LR_S2,LPJ_MIROC5_S2,VISIT_GFDL-ESM2M_S2,VISIT_HadGEM2-ES_S2,VISIT_IPsL-CM5A-LR_S2,VISIT_MIROC5_S2
1,2006,1.072297839,0.738261912,1.030797127,0.94270175,0.647697356,0.940258134,0.432731402,0.68455621,3.855331589,3.479960171,4.276982826,4.252552429,3.080272593,2.747068387,3.467911344,3.252385775,3.418325274,3.059813774,3.672727925,3.598382009,1.709454547,1.5964843,1.498239595,1.785364965,1.553917716,0.912800074,1.306463659,1.48974154
2,2007,1.387821967,0.945252369,1.762319476,0.862756254,0.596638207,0.606313747,0.690080112,1.03061059,4.35703395,3.909205678,5.035603054,3.447819805,3.932319647,3.108872684,4.305354998,2.706886366,4.300996923,3.527244983,4.937724919,3.041426021,1.921331847,1.741638062,1.62735694,1.694225861,1.595136977,1.114348038,1.773751097,1.116768577
3,2008,1.532621227,1.525396854,1.280944109,1.210172837,0.698365068,0.774054653,1.219509781,1.006869575,5.237745441,3.990549484,4.844510769,3.917377488,4.44900779,3.276350911,3.92441941,3.372312438,4.947837282,3.843242459,4.329308585,3.748898965,1.907122039,1.879208747,1.479729113,1.919108325,2.077683641,1.196108123,1.571140674,1.435558501
4,2009,0.83857287,1.523934379,1.014849983,0.884200169,0.648918387,0.529731838,0.384541831,0.65228878,4.347695999,4.663074212,4.480842982,3.744063455,3.194949878,3.989976675,3.725286109,2.911917081,3.569229849,4.713955417,4.160349621,3.186190913,1.508903347,1.953695054,1.518545047,1.697652266,1.484547157,1.236812735,1.333423931,1.316554026
5,2010,2.258745532,1.484267518,1.336383463,1.261750385,0.678896014,0.659342088,0.477684712,0.695230521,4.862222646,4.646634911,4.700021948,4.033326118,4.30185823,4.074689143,3.818872191,3.250909239,5.112052792,4.745429997,4.247926558,3.836064032,2.012934183,1.809782316,1.50802472,1.982783365,1.733675887,1.220290747,1.715903642,1.451718895
6,2011,1.518395096,2.334840345,1.127941113,1.072707703,0.425277295,0.553918071,0.635625152,0.909553656,4.951019345,5.238782086,4.033926887,4.244809776,4.281450763,4.651312664,3.070901174,3.446111469,4.921861816,5.720522176,3.427406247,3.792802235,1.86192493,2.044601479,1.507647996,1.927490082,1.954024768,1.461235051,1.714405823,1.505551679
7,2012,1.211242003,1.121834306,0.53143983,1.434281304,0.482616115,0.869141944,0.749847053,1.083062885,4.364675555,4.034999632,3.763646966,3.834172991,3.496467522,3.049946083,2.882516039,3.206333686,3.747239413,3.315251074,3.07159456,3.719778674,1.662688167,1.603041797,1.351017703,1.819014025,1.571371361,1.062323794,1.534812977,1.248897101
8,2013,2.254548543,1.006535272,1.425905283,2.755774018,0.681425404,0.694123971,0.499921013,0.75645479,4.511465198,3.784097237,3.848969108,4.630278089,3.774517016,2.903012117,3.043741743,4.190169618,4.436174914,3.243987825,3.395622728,5.097391347,1.805585426,1.681864339,1.485493484,2.159004668,1.651041757,1.029085271,1.113288809,1.800320083
9,2014,1.478695713,0.742503444,0.844256265,2.732233383,1.367466427,0.678884759,0.760298165,0.459946236,4.22137559,3.385860161,4.8380302,5.065121586,3.346932754,2.726133958,3.683398231,4.73053185,3.755565873,3.046218208,4.077693948,5.593897997,1.607308322,1.493991636,1.583064075,2.140673406,1.677080265,0.916201569,1.582613358,1.616109302
10,2015,1.922972218,2.649004686,1.610418377,0.60522393,1.808617282,0.306364215,0.46853431,0.901323551,4.310099185,4.723526238,4.916239484,4.004883041,3.692796202,4.168260257,3.909462089,3.044505362,4.429480438,5.236800486,4.302064638,3.509386511,1.996396976,2.043112557,1.761599906,1.752426595,1.68919073,1.212642155,1.781880844,1.208963909
