,year,CLASS-CTEM_GFDL-ESM2M_S2,CLASS-CTEM_HadGEM2-ES_S2,CLASS-CTEM_IPsL-CM5A-LR_S2,CLASS-CTEM_MIROC5_S2,ELM_GFDL-ESM2M_S2,ELM_HadGEM2-ES_S2,ELM_IPsL-CM5A-LR_S2,ELM_MIROC5_S2,JULES-ES-cs_GFDL-ESM2M_S2,JULES-ES-cs_HadGEM2-ES_S2,JULES-ES-cs_IPsL-CM5A-LR_S2,JULES-ES-cs_MIROC5_S2,JULES-ES-npp_GFDL-ESM2M_S2,JULES-ES-npp_HadGEM2-ES_S2,JULES-ES-npp_IPsL-CM5A-LR_S2,JULES-ES-npp_MIROC5_S2,JULES-ES-resps_GFDL-ESM2M_S2,JULES-ES-resps_HadGEM2-ES_S2,JULES-ES-resps_IPsL-CM5A-LR_S2,JULES-ES-resps_MIROC5_S2,LPJ_GFDL-ESM2M_S2,LPJ_HadGEM2-ES_S2,LPJ_IPsL-CM5A-LR_S2,LPJ_MIROC5_S2,VISIT_GFDL-ESM2M_S2,VISIT_HadGEM2-ES_S2,VISIT_IPsL-CM5A-LR_S2,VISIT_MIROC5_S2
1,2006,23.26319808,19.64005919,22.2712193,21.3945281,57.81390441,52.88431969,64.10233346,56.73099515,29.33860595,26.26243256,26.6506977,28.3311952,28.4361261,24.15513014,26.37816249,25.97769798,29.02520819,24.22672259,27.68973172,26.61067805,16.90986173,16.4338446,17.65557685,17.1498756,43.79325501,45.23207291,48.39630148,43.5167523
2,2007,23.66439888,21.28143469,22.5423927,21.77968269,57.40903042,55.05763347,64.06844024,51.34394984,31.29589472,27.17368989,26.49320578,28.18773913,32.36988157,25.59926075,26.39398258,25.80289584,34.47071949,26.46343605,27.23774515,26.5731394,16.91794768,16.9211111,18.03805579,19.04396147,44.02778711,45.14949502,47.89746924,47.13884121
3,2008,24.97128971,22.71808001,23.39168118,22.87030281,54.16087681,50.04995475,64.98792343,53.34383852,28.86842174,28.02544224,28.59675714,29.7096861,28.81942962,26.14085116,28.57770469,28.07051362,30.15774887,26.97648165,29.19930026,29.54099176,17.57329218,18.3376054,17.43477675,17.48689288,43.81000755,46.69497207,49.10195296,46.1943995
4,2009,24.20975979,23.51765777,24.44031293,21.34798345,57.85530985,51.14797582,63.13970708,51.41235175,28.08885037,29.29015699,29.99457952,29.5010841,28.40611092,26.35566532,29.57027104,27.48500191,30.26083381,28.06636438,30.97097066,28.38546136,17.90852653,20.30994714,17.67485342,17.75200932,44.40807875,47.69909601,49.63364711,45.40634795
5,2010,23.0146723,22.96336958,25.07983129,22.78487864,60.32519164,51.26429389,59.70760277,59.69760629,30.24995844,30.65103842,30.29425788,29.39320608,30.93818255,28.33946887,29.0172147,26.82834288,31.97534603,29.15621199,29.77848291,28.43629975,17.21807484,18.62304233,19.91275032,18.6071847,46.05398958,48.24422645,54.04341845,45.9282832
6,2011,24.55901503,23.35464573,20.86891342,21.44495333,56.74877394,54.17663669,61.78578568,55.77194408,29.85322104,30.93091069,30.24578312,28.80897868,30.12379614,29.49999961,27.52117875,26.47401149,31.38393751,30.62026976,27.3159277,27.70192404,16.86652354,19.27882879,18.26642808,17.61500685,42.54113205,49.58103198,51.95526953,45.58484485
7,2012,21.99703932,21.2451093,24.09595149,23.06247087,58.07621207,50.20487954,59.37524551,51.50868086,28.82703485,29.72335737,28.77827362,28.70805734,27.20917681,28.4580473,26.10751982,27.48855528,28.22543917,30.51057522,26.35495208,28.12188034,17.24004034,17.75789868,18.25040163,17.34192908,43.49647329,47.69747736,52.63000341,45.1577277
8,2013,23.79036615,21.44056293,22.70241438,21.39593511,57.55324817,57.83376425,62.06267053,61.04904029,28.04562906,28.76934074,28.60178189,29.94649525,28.53413036,25.57112683,26.5810436,27.26035641,29.85605793,26.14703746,26.80307876,27.80094749,16.79827236,17.85758456,18.1561946,18.20170391,42.86697178,47.87846069,48.52456932,46.84618695
9,2014,22.94142117,21.04245293,23.36151787,24.11330394,57.69440992,49.4615256,66.08040585,54.6568264,28.75558666,28.78412939,29.97001836,32.07996092,29.17785274,25.4473924,28.36231385,29.9907962,29.8288628,26.36144097,30.00707026,31.63079426,17.20507067,18.77841882,18.37529574,20.56339247,43.24864744,49.3979454,54.02629429,47.45192934
10,2015,23.57632297,25.21207838,24.46973604,22.37856085,56.21744607,51.43997614,67.32746085,50.24985046,32.04001929,31.30062828,31.69536537,29.14877597,32.62834843,30.24117835,30.63386524,27.30383404,34.41609442,32.85854119,32.82564949,27.91831233,18.47512744,19.8687082,18.8186275,18.45628947,46.49524019,50.3571915,52.52302781,47.8586289
