time_s,disp_mm
400,4.86875
401,4.86789
402,4.86818
403,4.86955
404,4.8717
405,4.87413
406,4.87624
407,4.87755
408,4.87773
409,4.87678
410,4.87491
411,4.87259
412,4.87038
413,4.8688
414,4.86821
415,4.86872
416,4.87015
417,4.87212
418,4.8741
419,4.87558
420,4.87618
421,4.87571
422,4.87431
423,4.8723
424,4.87019
425,4.86849
426,4.86762
427,4.8678
428,4.86896
429,4.87082
430,4.87292
431,4.87474
432,4.87583
433,4.87593
434,4.87504
435,4.87337
436,4.87137
437,4.86954
438,4.86835
439,4.86811
440,4.86891
441,4.87053
442,4.87263
443,4.87468
444,4.87621
445,4.87685
446,4.87647
447,4.87517
448,4.87329
449,4.8713
450,4.86969
451,4.86886
452,4.86901
453,4.87009
454,4.87183
455,4.87381
456,4.87552
457,4.87655
458,4.87666
459,4.87583
460,4.87427
461,4.87239
462,4.87064
463,4.86948
464,4.86918
465,4.86984
466,4.87129
467,4.87318
468,4.87505
469,4.87646
470,4.87707
471,4.87675
472,4.87558
473,4.87388
474,4.87205
475,4.87057
476,4.86977
477,4.86987
478,4.87081
479,4.87236
480,4.87412
481,4.87564
482,4.87656
483,4.87666
484,4.8759
485,4.87449
486,4.87279
487,4.87121
488,4.87018
489,4.86993
490,4.87054
491,4.87186
492,4.87355
493,4.87521
494,4.87642
495,4.87687
496,4.87647
497,4.8753
498,4.87363
499,4.87188
500,4.87046
501,4.86972
502,4.86982
503,4.87072
504,4.87218
505,4.87385
506,4.8753
507,4.87617
508,4.87626
509,4.87555
510,4.87422
511,4.8726
512,4.87111
513,4.87009
514,4.86981
515,4.87032
516,4.8715
517,4.87304
518,4.87457
519,4.87569
520,4.87615
521,4.87581
522,4.87477
523,4.87328
524,4.87172
525,4.87047
526,4.86982
527,4.86994
528,4.87079
529,4.87216
530,4.87371
531,4.87505
532,4.87585
533,4.87594
534,4.87529
535,4.87406
536,4.87259
537,4.87124
538,4.87034
539,4.87012
540,4.87065
541,4.8718
542,4.87327
543,4.87473
544,4.8758
545,4.87624
546,4.87594
547,4.87499
548,4.87361
549,4.87217
550,4.87102
551,4.87043
552,4.87056
553,4.87137
554,4.87264
555,4.87407
556,4.87529
557,4.87601
558,4.87603
559,4.87536
560,4.87414
561,4.8727
562,4.87136
563,4.87046
564,4.87022
565,4.87068
566,4.87174
567,4.87312
568,4.87449
569,4.87552
570,4.87597
571,4.87572
572,4.87485
573,4.87359
574,4.87226
575,4.87117
576,4.87062
577,4.87072
578,4.87145
579,4.87262
580,4.87395
581,4.87508
582,4.87575
583,4.87578
584,4.87516
585,4.87405
586,4.87273
587,4.87151
588,4.8707
589,4.8705
590,4.87096
591,4.87196
592,4.87326
593,4.87455
594,4.87552
595,4.87592
596,4.87567
597,4.87485
598,4.87366
599,4.87241
600,4.87141
601,4.8709
602,4.87102
603,4.87173
604,4.87286
605,4.87412
606,4.8752
607,4.87583
608,4.87584
609,4.87525
610,4.87417
611,4.87287
612,4.87167
613,4.87086
614,4.87062
615,4.871
616,4.87191
617,4.87311
618,4.8743
619,4.8752
620,4.87559
621,4.87535
622,4.87459
623,4.87346
624,4.87228
625,4.87131
626,4.87081
627,4.8709
628,4.87155
629,4.87259
630,4.87377
631,4.87479
632,4.87541
633,4.87546
634,4.87495
635,4.874
636,4.87285
637,4.87179
638,4.87109
639,4.87092
640,4.87133
641,4.87222
642,4.87338
643,4.87452
644,4.87537
645,4.87571
646,4.87549
647,4.87475
648,4.87367
649,4.87254
650,4.87163
651,4.87115
652,4.87124
653,4.87186
654,4.87285
655,4.87397
656,4.87493
657,4.87551
658,4.87556
659,4.87506
660,4.87413
661,4.87302
662,4.87198
663,4.87128
664,4.87108
665,4.87143
666,4.87224
667,4.87331
668,4.87438
669,4.87518
670,4.87552
671,4.87533
672,4.87465
673,4.87367
674,4.87263
675,4.87179
676,4.87135
677,4.87144
678,4.87201
679,4.87294
680,4.87397
681,4.87486
682,4.87539
683,4.8754
684,4.87491
685,4.87402
686,4.87296
687,4.87197
688,4.87133
689,4.87115
690,4.8715
691,4.87229
692,4.87332
693,4.87433
694,4.8751
695,4.87541
696,4.87521
697,4.87455
698,4.87358
699,4.87256
700,4.87173
701,4.87129
702,4.87136
703,4.8719
704,4.87278
705,4.87379
706,4.87466
707,4.8752
708,4.87526
709,4.87483
710,4.87403
711,4.87305
712,4.87214
713,4.87153
714,4.87136
715,4.87167
716,4.87239
717,4.87333
718,4.87427
719,4.87496
720,4.87523
721,4.87502
722,4.87439
723,4.87347
724,4.8725
725,4.87173
726,4.87133
727,4.8714
728,4.87193
729,4.87278
730,4.87374
731,4.87458
732,4.87508
733,4.87513
734,4.87472
735,4.87395
736,4.873
737,4.87213
738,4.87154
739,4.87137
740,4.87167
741,4.87236
742,4.87328
743,4.87418
744,4.87486
745,4.87515
746,4.87498
747,4.87439
748,4.87354
749,4.87264
750,4.8719
751,4.87153
752,4.87159
753,4.87209
754,4.87289
755,4.87379
756,4.87458
757,4.87505
758,4.8751
759,4.87471
760,4.87398
761,4.8731
762,4.87229
763,4.87174
764,4.87159
765,4.87189
766,4.87255
767,4.87342
768,4.87427
769,4.87491
770,4.87516
771,4.87499
772,4.87442
773,4.8736
774,4.87274
775,4.87204
776,4.87169
777,4.87178
778,4.87228
779,4.87307
780,4.87396
781,4.87473
782,4.87521
783,4.87527
784,4.8749
785,4.87421
786,4.87335
787,4.87256
788,4.87203
789,4.87189
790,4.87217
791,4.87282
792,4.87366
793,4.8745
794,4.87515
795,4.87543
796,4.8753
797,4.87478
798,4.87401
799,4.8732
800,4.87254
801,4.87219
802,4.87225
803,4.8727
