station,lat,lon,step_mm,p2p_mm,rise_time_s,dist_km
0122,43.2329,144.325,0.0338,0.1705,,435.2
0123,43.232,143.298,0.0577,0.2114,,431.1
0124,43.1206,144.127,0.0195,0.1798,,420.7
0125,43.0576,144.843,-0.0148,0.1514,,424.7
0126,43.0568,140.499,0.0641,0.3019,,484.7
0127,42.9853,140.544,0.0796,0.329,,476.0
0128,42.9714,141.29,0.0576,0.2969,,444.6
0129,42.8579,140.883,0.0803,0.3191,,449.3
0130,42.8027,140.604,0.0779,0.3517,,456.4
0131,42.7864,140.233,0.0865,0.3235,,472.6
0132,42.7294,141.864,0.0393,0.2923,,401.0
0133,42.7272,142.296,0.0373,0.2819,,389.3
0134,42.6993,143.103,0.023,0.2463,,373.4
0135,42.6679,141.075,0.0668,0.3383,,423.2
0136,42.6555,141.602,0.0931,0.3442,,401.9
0137,42.6463,140.826,0.0523,0.3698,,431.9
0138,42.5516,143.461,0.0132,0.2303,,355.0
0139,42.5498,141.361,0.0534,0.3306,,400.2
0140,42.4944,140.354,0.0944,0.3796,,440.9
0141,42.4813,142.06,0.0122,0.3195,,369.5
0142,42.2477,142.567,0.0219,0.2994,,332.0
0143,42.2437,140.25,0.1111,0.4473,,425.3
0144,42.1309,142.935,0.0205,0.2586,,312.7
0145,42.1308,140.004,0.0908,0.4234,,430.2
0146,42.0986,140.569,0.1356,0.4717,,395.8
0147,42.043,140.806,0.1556,0.438,,378.5
0149,41.599,140.316,0.2077,0.5079,125.0,371.1
0150,41.4553,140.881,0.1879,0.5377,,325.7
0151,41.0432,140.636,0.3077,0.6823,120.0,311.6
0152,40.9682,141.368,0.3104,0.7635,113.0,258.8
0153,40.6251,141.198,0.3798,0.8867,115.0,246.2
0154,40.5776,139.928,0.4132,0.672,117.0,338.6
0155,40.5237,140.578,0.4948,0.8535,112.0,286.0
0156,40.5154,141.511,0.5345,1.0413,110.0,217.5
0157,40.2911,141.076,0.6507,1.1058,109.0,236.8
0158,40.4052,141.713,0.5746,1.1245,107.0,196.5
0159,40.2911,141.294,0.6419,1.1499,107.0,220.2
0160,40.0486,141.462,1.0827,1.5801,101.0,195.9
0161,39.9806,141.225,0.9089,1.3744,102.0,212.2
0162,39.8694,141.951,1.4838,1.987,103.0,149.8
0163,39.8512,141.165,1.2443,1.6372,99.0,213.1
0164,39.8492,141.804,1.1766,1.7008,104.0,160.8
0165,39.7011,140.965,1.2417,1.5769,100.0,226.6
0166,39.5966,141.172,1.5973,1.9744,98.0,207.5
0167,39.4582,141.955,2.7529,3.0193,92.0,139.2
0169,39.3381,141.534,2.2629,2.5621,93.0,175.1
0170,39.2535,141.798,3.7679,4.0648,92.0,152.9
0171,39.0238,141.74,4.4236,4.7218,89.0,162.1
0172,38.9029,141.573,3.9292,4.2202,87.0,179.6
0173,38.8153,140.991,2.6084,2.9809,90.0,230.7
0174,38.7489,140.802,2.2696,2.7386,91.0,248.5
0175,38.6827,141.449,3.1038,3.5376,86.0,198.1
0176,38.5395,141.148,2.7994,3.2175,87.0,228.4
0177,38.4118,140.851,2.493,2.9268,88.0,257.9
0178,38.2057,140.643,1.8605,2.3083,92.0,284.3
0179,38.0297,140.844,2.6036,3.1009,83.0,279.0
0180,37.9899,140.443,2.0136,2.4495,93.0,311.3
0181,40.325,140.577,0.6699,1.0491,110.0,277.1
0182,40.2712,140.264,0.5737,0.8508,111.0,300.0
0183,40.2154,140.787,0.5528,0.9655,109.0,256.1
0184,40.2473,140.049,0.5771,0.8731,113.0,316.5
0185,40.0069,140.402,0.7335,1.035,107.0,280.5
0186,39.9361,140.132,0.6527,0.9532,109.0,301.2
0187,39.7492,140.597,0.7191,1.0924,103.0,258.5
0188,39.6583,140.234,0.8537,1.1971,105.0,288.1
0189,39.5493,140.387,0.8689,1.245,103.0,274.1
0190,39.327,140.56,1.1006,1.4604,101.0,258.9
0191,39.2061,139.908,0.9892,1.2836,102.0,315.6
0192,39.1642,140.162,0.9353,1.3428,103.0,294.2
0193,39.0519,140.63,1.4505,1.8819,99.0,255.6
0194,39.1856,139.548,0.8092,1.1673,106.0,346.7
0195,38.7597,139.957,0.9844,1.4341,103.0,319.0
0196,38.594,139.832,1.0644,1.4526,102.0,334.1
0197,38.1462,139.742,0.9555,1.4227,102.0,358.3
0198,37.9636,140.094,1.2192,1.6851,99.0,339.4
0199,38.1975,140.078,1.0201,1.5544,100.0,329.1
0200,37.6833,140.466,1.5358,1.9537,94.0,328.1
0201,37.5606,140.755,2.1566,2.5309,89.0,316.4
0202,37.5669,140.073,1.1761,1.4941,100.0,363.9
0203,37.5337,141.007,2.7649,3.1292,94.0,301.7
0204,37.4735,139.529,0.5568,0.9881,108.0,409.8
0205,37.3255,140.662,1.7486,2.1573,94.0,339.8
0206,37.3028,139.364,0.6601,1.0823,109.0,432.3
0207,37.2815,139.504,0.612,1.0536,108.0,423.3
0209,37.2611,139.871,0.8472,1.2981,107.0,398.2
0210,37.1263,140.26,1.1793,1.5673,101.0,381.1
0211,37.0893,140.562,2.0065,2.3267,97.0,364.4
0212,36.8621,140.413,1.0387,1.5006,103.0,391.7
0213,36.6506,140.293,0.8678,1.3108,106.0,416.1
0214,36.8003,140.754,1.3761,1.7366,109.0,376.5
0215,36.3649,140.078,0.569,0.9382,116.0,452.6
0216,36.3444,140.476,0.6814,1.1422,110.0,431.5
0217,36.8542,140.039,0.8217,1.282,109.0,416.0
0218,36.666,139.619,0.521,1.0345,112.0,457.7
0219,36.5989,139.923,0.6547,1.122,115.0,443.1
0220,36.7697,139.225,0.4349,0.8603,113.0,477.0
0221,36.508,138.553,0.2767,0.6355,124.0,542.2
0222,36.4216,139.33,0.3826,0.7966,118.0,495.1
0223,35.9869,139.076,0.2512,0.5883,127.0,544.9
0224,35.896,139.796,0.3171,0.6333,128.0,508.6
0225,35.6572,140.048,0.2196,0.5658,130.0,515.7
0226,35.2432,140.385,0.0711,0.4381,,537.4
0227,35.0028,139.975,0.0554,0.4185,,579.7
0228,35.6637,139.631,0.2263,0.5177,129.0,538.1
0229,35.3362,139.163,0.1326,0.3584,,593.1
0230,35.2686,139.142,0.1287,0.3613,,600.1
0231,38.4654,139.253,0.6484,1.053,109.0,386.5
0232,38.3193,138.513,0.4745,0.7947,117.0,452.9
0233,38.0633,138.472,0.6179,0.9934,115.0,465.2
0234,37.9294,139.351,0.9188,1.3135,105.0,399.4
0235,37.8159,138.273,0.3822,0.7737,120.0,491.3
0236,37.6859,139.478,0.7184,1.0771,107.0,401.7
0237,37.6675,138.781,0.5304,0.9204,115.0,457.1
0238,37.6623,139.059,0.6222,0.9931,111.0,435.5
0239,37.4677,138.998,0.4899,0.8607,113.0,450.4
0240,37.3113,138.79,0.5172,0.9041,116.0,475.0
0241,37.2311,138.334,0.4007,0.7881,120.0,514.5
0242,37.166,138.934,0.463,0.8463,115.0,472.5
0243,37.1608,138.1,0.3222,0.6926,125.0,536.4
0244,37.0791,138.609,0.4279,0.7998,120.0,502.0
0245,37.0452,137.874,0.2688,0.6293,128.0,560.2
0246,36.9935,138.831,0.4363,0.8306,118.0,490.6
0247,36.8654,138.199,0.2991,0.7019,125.0,545.5
0248,36.7406,136.996,0.2101,0.5187,140.0,644.9
0249,36.6343,137.195,0.1992,0.5138,,635.3
0250,36.5787,137.44,0.1912,0.5134,,619.8
0251,36.4019,136.921,0.1306,0.4513,,669.6
0252,37.8505,136.919,0.2055,0.5332,137.0,601.6
0253,37.446,137.27,0.2726,0.5886,133.0,588.6
0255,36.3945,136.389,0.1608,0.4346,,711.0
0256,36.1653,136.634,0.1102,0.4275,,705.3
0257,36.1456,136.279,0.1269,0.3905,,733.6
0258,35.9849,136.505,0.1072,0.3842,,725.9
0259,35.945,135.99,0.0964,0.3473,,767.4
0260,35.7928,136.197,0.1121,0.366,,760.9
0261,35.5344,135.908,0.09,0.348,,798.6
0262,35.4627,135.609,0.075,0.3268,,825.5
0263,35.856,138.316,0.1845,0.4247,,604.8
