dband,mean,max,count
<200,2.1857238095238096,4.4236,21
200-400,1.0532989010989011,4.7928,182
400-600,0.22052198581560284,1.046,282
600-800,0.09765822222222222,0.2464,225
>800,0.03352035225048924,0.0946,511
