dataset,ecosystem,contribucion_xenobioticos_pct
South Africa 2018/19,Coastal,1.58894342522557
South Africa 2018/19,Coastal,1.07867412549107
South Africa 2018/19,Coastal,9.25937346956831
South Africa 2018/19,Coastal,0.995631482727143
South Africa 2018/19,Coastal,2.99551896136316
South Africa 2018/19,Coastal,1.31515239605353
South Africa 2018/19,Coastal,4.09637859423519
South Africa 2018/19,Coastal,3.17714794475703
South Africa 2018/19,Coastal,4.71224496180727
South Africa 2018/19,Coastal,1.03649537454821
South Africa 2018/19,Coastal,3.67464121887792
South Africa 2018/19,Coastal,2.19994987397746
South Africa 2018/19,Coastal,1.88500605935452
South Africa 2018/19,Coastal,0.103763697089278
South Africa 2018/19,Coastal,1.89146899424402
South Africa 2018/19,Coastal,4.21973192448082
South Africa 2018/19,Coastal,0.871962532818701
South Africa 2018/19,Coastal,1.88756457008537
South Africa 2018/19,Coastal,1.56544460908561
South Africa 2018/19,Coastal,4.30407969552618
South Africa 2018/19,Coastal,1.01848435805784
South Africa 2018/19,Coastal,4.74658396496191
South Africa 2018/19,Coastal,4.43576068271599
South Africa 2018/19,Coastal,7.52175233466769
South Africa 2018/19,Coastal,1.12401930025502
South Africa 2018/19,Coastal,7.26624358004172
South Africa 2018/19,Coastal,1.09015095583151
South Africa 2018/19,Coastal,6.00337553369917
South Africa 2018/19,Coastal,1.02806149206943
South Africa 2018/19,Coastal,4.8868262480281
South Africa 2018/19,Coastal,3.00108277102062
South Africa 2018/19,Coastal,3.34384974852896
South Africa 2018/19,Coastal,2.86951878082111
South Africa 2018/19,Coastal,0.478228572102647
South Africa 2018/19,Coastal,5.54899235944912
South Africa 2018/19,Coastal,2.86699484397259
South Africa 2018/19,Coastal,7.26241545183214
South Africa 2018/19,Coastal,9.23685321491262
South Africa 2018/19,Coastal,0.463645568494716
South Africa 2018/19,Coastal,2.1703312804037
South Africa 2018/19,Coastal,2.31808000138666
South Africa 2018/19,Coastal,1.19254037523267
South Africa 2018/19,Coastal,0.817673892467512
South Africa 2018/19,Coastal,1.61551181764774
South Africa 2018/19,Coastal,2.8929657200658
South Africa 2018/19,Coastal,3.80413751021503
South Africa 2018/19,Coastal,7.6968229580104
South Africa 2018/19,Coastal,7.68166361522092
South Africa 2018/19,Coastal,8.00664519097167
South Africa 2018/19,Coastal,2.25840248469724
South Africa 2018/19,Coastal,1.29943441785741
South Africa 2018/19,Coastal,5.60008816381681
Southern San Diego Coast 2019,Coastal,6.3714092934976
Southern San Diego Coast 2019,Coastal,1.21113152906233
Southern San Diego Coast 2019,Coastal,4.43509507789098
Southern San Diego Coast 2019,Coastal,3.23775561194861
Southern San Diego Coast 2019,Coastal,0.805102990107242
Southern San Diego Coast 2019,Coastal,0.377024799136538
Southern San Diego Coast 2019,Coastal,5.9844428315144
Southern San Diego Coast 2019,Coastal,10.3490753646411
Southern San Diego Coast 2019,Coastal,2.26306962107768
Southern San Diego Coast 2019,Coastal,10.940910691205
Southern San Diego Coast 2019,Coastal,0.94967378449546
Southern San Diego Coast 2019,Coastal,0.877438125506229
Southern San Diego Coast 2019,Coastal,2.17088285098129
Southern San Diego Coast 2019,Coastal,16.9752731218595
Southern San Diego Coast 2019,Coastal,2.41757331506936
Southern San Diego Coast 2019,Coastal,9.02457194523484
Southern San Diego Coast 2019,Coastal,4.05866442465968
Southern San Diego Coast 2019,Coastal,1.07993294525898
Southern San Diego Coast 2019,Coastal,4.10593334295872
Southern San Diego Coast 2019,Coastal,2.55407871919903
Southern San Diego Coast 2019,Coastal,0.852807374071325
