Class,count
glycol,29
surfactant,23
organophosphate,16
triazine,11
phthalate,10
guanidino,9
sulfonamide,9
fluorinated,9
azepine,7
benzenoid,6
alkaloid,6
benzothiazole,5
phenol,5
carbamate,4
pyrimidine,4
