etapas,pv_output_w,pv_sd,wpr_kg_m2_h,wpr_sd,ac_u_g_m2,ac_u_sd,ac_li_g_m2,ac_li_sd
1,124.6,2.6,1.26,0.05,1.44,0.04,2.21,0.08
2,123.7,3.1,2.27,0.08,2.41,0.07,3.65,0.11
3,123.1,2.8,3.03,0.12,3.27,0.09,4.85,0.14
4,122.4,4.5,3.54,0.13,4.13,0.15,5.73,0.15
5,122.3,4.1,3.84,0.15,4.62,0.18,6.52,0.17
6,122.1,3.2,4.01,0.17,5.06,0.21,7.17,0.22
