campo,flujo_solar_sun,delta_ac_u_g_m2,delta_ac_u_sd,ratio_u,delta_ac_li_g_m2,delta_ac_li_sd,ratio_li
temperatura,0.5,0.06,0.007,0.14269,0.16,0.026,0.19678
temperatura,1.0,0.22,0.004,0.22394,0.59,0.022,0.39251
temperatura,1.5,0.3,0.002,0.21951,0.74,0.023,0.41222
flujo,0.5,0.11,0.031,0.26997,0.47,0.021,0.57499
flujo,1.0,0.28,0.028,0.28159,0.54,0.027,0.3591
flujo,1.5,0.4,0.029,0.2912,0.59,0.022,0.32516
concentracion,0.5,0.25,0.029,0.58735,0.19,0.023,0.22822
concentracion,1.0,0.49,0.025,0.49448,0.37,0.024,0.24839
concentracion,1.5,0.68,0.021,0.4893,0.47,0.028,0.26262
