hora,wpr_kg_m2_h,wpa_acum_kg_m2,pv_output_w
10:00,1.93,3.86,106.2
12:00,2.55,8.96,154.7
14:00,2.62,14.2,151.7
16:00,2.11,18.42,112.6
18:00,0.81,19.82,35.4
