vida_util_mecha_anios,gwp_total_kgco2e_m3,reduccion_ratio
1,15.4,0
2,13.71,0.109
3,13.14,0.147
4,12.86,0.165
5,12.69,0.176
6,12.58,0.183
7,12.49,0.189
8,12.43,0.193
9,12.39,0.196
10,12.35,0.198
12,12.29,0.202
15,12.24,0.205
18,12.2,0.208
20,12.18,0.21
