camara,adsorbente,temperatura_pct,concentracion_pct,flujo_pct
1,uranio (SAU),18.8,15.4,65.8
1,litio (SALi),12.5,20.3,67.2
2,uranio (SAU),16.2,16.5,67.3
2,litio (SALi),11.4,19.1,69.5
3,uranio (SAU),13.6,17.2,69.2
3,litio (SALi),10.2,18.6,71.2
4,uranio (SAU),11.6,18.5,69.9
4,litio (SALi),9.1,16.6,74.3
5,uranio (SAU),10.4,19.2,70.4
5,litio (SALi),7.2,16,76.8
6,uranio (SAU),7.5,21.8,70.7
6,litio (SALi),6.3,15.5,78.2
