vida_util_mecha_anios,ingreso_neto_usd_m2_anio
1,4.1625
2,12.5625
3,15.3625
4,16.7625
5,17.6025
6,18.1625
7,18.5625
8,18.8625
9,19.0958
10,19.2825
11,19.4352
12,19.5625
13,19.6702
14,19.7625
15,19.8425
16,19.9125
17,19.9743
18,20.0292
19,20.0783
20,20.1225
