flujo_solar_sun,ac_u_g_m2,ac_u_sd,ac_li_g_m2,ac_li_sd
0.0,0.44,0.08,0.71,0.03
0.5,0.87,0.03,1.53,0.02
1.0,1.44,0.03,2.2,0.05
1.5,1.83,0.01,2.51,0.04
