forecast_hours,aod,tsaod,suaod,susmc,duaod,dusmc,bcaod,bcsmc,ocaod,ocsmc,ssaod,sssmc
3,4.288061362639147,4.676300939862968,2.970676899929394,6.430659676579441,0.1772754056625711,1.947919041443453,1.754214910914764,12.28084272562025,4.558934622618692,12.27837138261723,5.640006770345022,2.958245081840364
6,5.105091832800501,5.618933044921938,4.005438101474419,5.876540450805373,0.514211868502008,2.850744461414662,1.247623973456242,5.286208759592279,4.715116182284899,-1.227474697691578,7.705111120985134,4.145754545199934
9,4.688623353895232,5.177744177129825,5.193650193961409,8.26783297673616,0.9917642397173205,3.681605217656323,1.133545724485628,-3.878812159560093,4.247226184281808,-11.91315989304394,8.858816786572483,4.607231299577331
12,5.276920925376073,5.835752576815143,5.676487130071856,9.599179448479793,2.116284857806333,4.649686591701598,1.188964824955945,-8.861035140432438,4.717457544321826,-17.53608260315042,9.590659486730067,4.94874926054335
15,5.442936714850715,6.009514386815912,6.044403859484618,10.38494949312157,2.367827952176098,5.886736659647393,1.295024054558914,-10.62495662871894,4.194768397115955,-21.1787974598363,10.0564106340497,4.960256940335847
18,5.444919911477877,6.033396662329468,6.541519419186646,11.17810651717874,2.282784552800127,6.389746345463805,1.604690445073609,-1.783220334319464,3.864480054998904,-14.67716405995274,10.95522807189593,5.224163564686781
21,6.236338610023139,6.800454868996043,7.026780872544079,12.42280872759275,2.195482764781932,6.286431177124899,3.185808677690738,11.1531576648572,4.853317014298162,-4.767812400270443,11.41490808279162,5.237545373437387
24,6.432713580045426,7.060270185748364,7.459418493397606,13.36842203216486,2.325738889396446,5.293903135474194,1.913696058493042,7.769684650866614,4.968743767248368,-6.49269682778683,11.31962942572603,5.123415127195322
27,5.756938196074602,6.370817838332386,7.510375210997963,13.2613159651323,2.23395736229957,4.419452536510337,0.9364092586387318,16.89354353864855,3.93352467247617,10.85751448281843,10.84523822980277,4.562450837876096
30,5.598939074796236,6.177206435534459,8.117565042295581,14.34782629510926,2.254605207020655,4.149020965624582,1.163377587465682,12.14403271819677,3.519406839743718,3.455907206128104,10.25069209893463,4.259313779581212
33,5.653860310898728,6.273965653130663,8.319829611020038,14.23025129408365,2.426394337361878,5.05492970936977,0.8097838961791427,0.4986263503749534,3.942423457276507,-7.673826917358103,10.03844493939881,4.089148098406149
36,6.422744396869108,7.034446069090058,8.630331730924315,14.44866104118059,2.71793681060636,5.447439251989975,1.628768984343107,-3.192170083590149,4.993979633637677,-12.59135231940322,9.491570680858556,3.551972980914273
39,6.536456020306041,7.131518250454105,8.202361206452897,14.2664943209947,2.797425942657943,6.090854674303507,2.002928538788094,-4.322575189077287,4.375227597960276,-17.7982212277194,8.698486931661733,2.667935143558846
42,6.490199694154039,7.057692256112186,8.259181281856835,14.27671551596433,2.674419690945089,5.986950664150235,2.575031500255272,4.585035232183686,4.117099221137846,-10.58641865503614,8.64442109380206,2.391135721791703
45,7.312442650127074,7.821528905195346,8.243361118429778,14.43645646869305,2.567360760943661,5.092866361628736,4.471473519683599,17.84850404783329,5.249791157305935,-1.429287494288714,8.410773037905074,2.020388276307852
48,6.626508453003671,7.171395796604821,8.176400304352871,14.47522035389402,2.396929548165366,3.794823044591058,2.755374752165109,14.60311436656804,4.312171018034586,-3.957400749751668,8.148538327387277,1.839056419226411
51,5.461755573341851,5.977775328567366,7.568867047391264,13.89245307953417,2.205930362819605,2.866148564060124,1.462402644204126,22.1787762195835,2.62204313998162,12.2436493226059,7.1919996616758,0.861881611887828
