forecast_hours,rmse_aod_geosfp,rmse_aod_gamfs,rmse_duaod_geosfp,rmse_duaod_gamfs,forecast_days,rmse_bcsmc_geosfp,rmse_bcsmc_gamfs,rmse_ocsmc_geosfp,rmse_ocsmc_gamfs,rmse_susmc_geosfp,rmse_susmc_gamfs
3,0.0827611099564799,0.1006772117498677,0.0283875299732996,0.0281593488606809,1,1.347008523995648,0.4799190274600906,26.40954079786928,6.741201491691769,2.294744812788246,1.325954381347462
6,0.1139385435478386,0.140282289767681,0.0371492099392117,0.0364712739424417,2,2.27468568578293,0.5168564141217104,33.673974642028,6.483983329309917,2.450323082522356,1.162743928999673
9,0.1261901212426091,0.1216342803628961,0.0482867044288094,0.0476570509749485,3,1.868186149948426,0.4886253630915503,25.69211648939641,5.703036399702614,2.503302053987819,1.079263958767319
12,0.0900480637341716,0.0853439940940958,0.0447402296007038,0.0435069785709225,4,1.881651719197573,0.4494438397359138,24.32297951971996,4.756214981623429,2.611605764232654,1.078092218101998
15,0.0987443160531341,0.0899664530577658,0.0371786259384036,0.0360962106754111,5,3.278779977733773,0.4524501183017916,40.24809221582529,4.691049716810371,2.655599005337839,1.037938030186043
18,0.1169335488284309,0.1029618045090913,0.0340171482523198,0.0328120530534622,,,,,,,
21,0.1564637128384559,0.1342710038424968,0.0335041195811925,0.0322894510536385,,,,,,,
24,0.1200825864828604,0.1133112136652391,0.0277556944869177,0.0263858959696222,,,,,,,
27,0.1186618527609797,0.1264325453244179,0.029809606402918,0.0288125448769182,,,,,,,
30,0.1614470926853034,0.1611916155889158,0.0373991585254432,0.0367247610531944,,,,,,,
33,0.1520437807620612,0.1376951471282941,0.0491273398128045,0.0496091848307519,,,,,,,
36,0.1025517646817065,0.0959493815608999,0.0464693627973429,0.0473320505173434,,,,,,,
39,0.1134481580192758,0.1062582293971729,0.0387508991293201,0.0391231466120238,,,,,,,
42,0.1285311837246311,0.1191077573594769,0.0356945557338479,0.0353140588309697,,,,,,,
45,0.1607494903543354,0.1636931629718226,0.0357025625315138,0.0360786618910968,,,,,,,
48,0.1387080585407738,0.1301099557308681,0.0272149124961266,0.0270859042023939,,,,,,,
51,0.1509176990353981,0.1361572131068502,0.0297957853347314,0.0299844890059312,,,,,,,
54,0.1761628341327035,0.1690715708483056,0.0382491037968299,0.0395599546435172,,,,,,,
57,0.1598059349059409,0.143279657280691,0.0501947350732642,0.0509018365340275,,,,,,,
60,0.1158430305798132,0.0998698515317623,0.0485833137012329,0.0467067140617769,,,,,,,
63,0.1285725754548276,0.1134447941707813,0.041624907015496,0.0387260054742138,,,,,,,
66,0.137541148349286,0.1266112071930994,0.0381559728770828,0.036742292129203,,,,,,,
69,0.1880564101009177,0.17003132120138,0.0367818084118607,0.0365887236969368,,,,,,,
72,0.1639037528582617,0.1390294741981577,0.0276397199028752,0.0278619452672897,,,,,,,
75,0.1663162599902558,0.1492870289761448,0.0306758016259976,0.0310728994175432,,,,,,,
78,0.1800442197222173,0.1748923134814594,0.0389502503462908,0.0397088683344183,,,,,,,
81,0.1661287161740061,0.151260679807907,0.0505353294244502,0.0529302557557826,,,,,,,
84,0.1220348595298834,0.1132794427801937,0.0492724670859224,0.0505591538837493,,,,,,,
87,0.1533147389652095,0.1301129058599622,0.0428052523787163,0.0426112049589871,,,,,,,
90,0.1588306946714889,0.1446013440262566,0.0400266424815038,0.0394240813453604,,,,,,,
93,0.2052071472073405,0.1926068501410521,0.039454951860466,0.0396906261000577,,,,,,,
96,0.170807629452912,0.1492846749448759,0.0294483028794824,0.0295790213408861,,,,,,,
99,0.1979819228641236,0.1552355282823692,0.0309573698426058,0.0318894069593332,,,,,,,
102,0.1882737361246436,0.1833611351608707,0.0401690591936534,0.0405156952174057,,,,,,,
105,0.175204424483387,0.163553424327794,0.0526604924720675,0.0581188752790526,,,,,,,
108,0.1277920222143456,0.1240409868754058,0.0515032688461862,0.056717426382628,,,,,,,
111,0.1871487835811895,0.1455810117909109,0.0443450554279025,0.048647701037068,,,,,,,
114,0.1597137324309268,0.1582276668081819,0.0410296396889619,0.0456100378494261,,,,,,,
117,0.2218965861489701,0.2062704228905891,0.0415737535293814,0.0476277509000924,,,,,,,
120,0.2106995359890316,0.1619901666312377,0.0314174007248488,0.0296552647600632,,,,,,,
