lon,lat,rmse_aod,diff_lon,diff_lat,rmse_aod_diff_vs_cams,du_lon,du_lat,rmse_duaod,du_diff_lon,du_diff_lat,rmse_duaod_diff_vs_cams
-89.53725,46.233881,0.3422896538414923,-89.53725,46.233881,0.087504902599433,-15.385113,28.041118,0.1106959610495981,-15.385113,28.041118,0.0304946530210501
94.896889,27.45085,0.2734507754547429,94.896889,27.45085,0.07838271560970839,23.30982,35.86099,0.0688581379538041,23.30982,35.86099,0.02090658554577861
98.972467,18.771125,0.2211837442247221,98.972467,18.771125,0.06751754685753139,33.0577,35.038,0.0671428529585025,33.0577,35.038,0.0206785323782873
-70.387045,-24.640915,0.0882034094917753,-70.387045,-24.640915,0.0448658080224081,32.865475,34.943056,0.0830949050361571,32.865475,34.943056,0.0205771864098858
114.179722,22.303333,0.211853472947806,114.179722,22.303333,0.04164481592521088,12.631667,35.516667,0.086226533240516,12.631667,35.516667,0.0179522300374698
-87.412,46.7208,0.2222266394735219,-87.412,46.7208,0.04081308466357339,23.783088,37.977036,0.050604340572732,23.783088,37.977036,0.0143828139115807
-85.371717,42.407983,0.2522473760822031,-85.371717,42.407983,0.03940040853736609,28.632222,44.075,0.0555464182994331,28.632222,44.075,0.01382603290425029
101.45,13.5,0.1407910635401872,101.45,13.5,0.0388335738872643,13.350636,42.368386,0.0554724648347756,13.350636,42.368386,0.0124506580401641
-5.775914,39.955031,0.1362699014377761,-5.775914,39.955031,0.0386835362519431,14.306567,40.836842,0.0715094285700106,14.306567,40.836842,0.0122289197021398
-84.109618,39.775977,0.2180586318757715,-84.109618,39.775977,0.0372925640954419,33.04275,34.674806,0.0733843658173533,33.04275,34.674806,0.01030865011028731
124.630278,37.966111,0.0934635190398236,124.630278,37.966111,0.03519350523187,11.619999,44.650001,0.0515051801363041,11.619999,44.650001,0.009911061564802495
98.9609,19.454722,0.2151493724531656,98.9609,19.454722,0.03343174593431258,25.132861,35.336111,0.0579954654253066,25.132861,35.336111,0.009575530667573696
90.39819,23.72839,0.4242735451174859,90.39819,23.72839,0.0325947686271324,0.1413,42.937217,0.0455057437839979,0.1413,42.937217,0.009409680488822202
-156.61936,71.28241,0.0900761362646553,-156.61936,71.28241,0.0319126094757995,-94.969409,74.705123,0.0126979800544209,-94.969409,74.705123,0.0092676540780312
-88.371944,40.053333,0.2661538299918151,-88.371944,40.053333,0.02903044007719377,18.111389,40.335111,0.0523932523711978,18.111389,40.335111,0.008435496789990102
-72.90288,41.301111,0.243829367207012,-72.90288,41.301111,0.02870585695025532,-2.232006,53.467374,0.061062003743951,-2.232006,53.467374,0.006644886385711
34.206062,-0.431525,0.1223653113383453,34.206062,-0.431525,0.0244725465692128,33.381353,35.140628,0.0561108300151162,33.381353,35.140628,0.005949860595859099
126.951111,37.458056,0.2321286907661031,126.951111,37.458056,0.02424891829724471,2.6251,39.5533,0.0756724348381653,2.6251,39.5533,0.005663329797164302
-90.2175,51.449444,0.33927026476002,-90.2175,51.449444,0.02378786357186036,15.5016,41.46084,0.0604818612128786,15.5016,41.46084,0.0056168881474222
31.290067,30.080767,0.1835837885408329,31.290067,30.080767,0.02350974127154171,-107.710917,37.907449,0.0198607561123655,-107.710917,37.907449,0.005400641150752899
-8.493762,51.89241,0.0536055568224914,-8.493762,51.89241,0.0208566527715848,15.7237,40.601254,0.0449338061225435,15.7237,40.601254,0.004904966046550205
-119.000008,35.331506,0.063738807360092,-119.000008,35.331506,0.01834793582709651,86.948056,28.365,0.0180943930101423,86.948056,28.365,0.0046669081788108
101.4162,20.9311,0.1643717702807144,101.4162,20.9311,0.01826414180149669,22.96,40.63,0.0421623953751503,22.96,40.63,0.004170367762379001
-3.72395,40.4519,0.0927511462354939,-3.72395,40.4519,0.01762877790181379,12.5083,45.3139,0.0358396594553871,12.5083,45.3139,0.004115159355608501
-68.066467,-16.539,0.1134690542264935,-68.066467,-16.539,0.01756747334026131,-5.775914,39.955031,0.04323855986828,-5.775914,39.955031,0.003781491874986997
