ciclo,replica,eficiencia_pct
10,1,99.942
20,1,99.224
30,1,100.005
40,1,100.304
50,1,99.492
60,1,99.765
70,1,98.623
80,1,98.814
90,1,97.026
100,1,97.13
10,2,100.093
20,2,99.344
30,2,99.314
40,2,100.367
50,2,99.69
60,2,99.241
70,2,98.374
80,2,98.814
90,2,96.771
100,2,94.388
10,3,100.102
20,3,99.272
30,3,99.921
40,3,100.375
50,3,99.697
60,3,99.321
70,3,94.889
80,3,98.39
90,3,96.944
100,3,95.741
