material,categoria,yield_strength_gpa,fracture_toughness_mpa_m12,referencia
CeO2-PSZ,ceramic,1.7,6.5,1
MgO,ceramic,0.8,2.5,3
MgO,ceramic,1.7,2.8,3
Al2O3,ceramic,2.1,4,5
Al2O3,ceramic,3,4,5
Al2O3,ceramic,4,4,5
c-BN,ceramic,7,5,5
AlN,ceramic,4.4,2.8,6
ZrO2,ceramic,3,10,7
SiO2,ceramic,3,2,7
Si3N4,ceramic,2,5.5,5
Si3N4,ceramic,3.5,6,9
Si3N4,ceramic,5.5,7,9
SiC,ceramic,3.7,6,5
SiC,ceramic,4.0,3.8,5
SiC,ceramic,5.9,4.6,5
SiC,ceramic,6.1,4.6,5
B4C,ceramic,2.9,2.9,12
B4C,ceramic,3.6,3.7,13
TiB2,ceramic,4.8,6.9,15
PCD,ceramic,1.9,6,5
PCD,ceramic,6.9,8.8,5
PCD,ceramic,7,3.4,17
Al alloy,crystalline_alloy,0.3,29,19
Ti alloy,crystalline_alloy,0.9,60,19
Steel,crystalline_alloy,1.34,93,21
Superalloy,crystalline_alloy,1.14,85,19
HEA,crystalline_alloy,0.575,225,19
Mg-based,bmg,1.126,6.1,22
Mg-based,bmg,0.87,3.6,22
Mg-based,bmg,0.88,5.1,22
Mg-based,bmg,0.9,6,22
Mg-based,bmg,1.08,5.6,2
Fe-based,bmg,4.2,12.7,2
Fe-based,bmg,3.8,25.6,2
Fe-based,bmg,3.8,52.8,2
Fe-based,bmg,3.4,29,2
Fe-based,bmg,3.9,38,4
Fe-based,bmg,3.1,46.7,4
Fe-based,bmg,3.2,77,4
Fe-based,bmg,3.2,53,4
Fe-based,bmg,3.2,50,4
Fe-based,bmg,3.8,4,4
Fe-based,bmg,3.2,27,8
Zr-based,bmg,1.77,80,8
Zr-based,bmg,1.75,82.3,8
Zr-based,bmg,1.8,84.7,8
Zr-based,bmg,1.86,25.2,8
Zr-based,bmg,1.68,46.2,8
Pt-based,bmg,1.4,84,10
Pt-based,bmg,1.2,125,10
Pd-based,bmg,1.57,51,11
Pd-based,bmg,1.5,200,11
Ni-based,bmg,3.1,26,14
Ni-based,bmg,2.25,35,14
Ni-based,bmg,2.33,43,14
RE-based,bmg,0.8,10,16
RE-based,bmg,0.4,10,16
RE-based,bmg,0.88,5,16
Zr-based,bmg,2.14,77,20
Zr-based,bmg,1.75,89,20
Zr-based,bmg,1.85,101,20
Zr-based,bmg,1.6,96,8
Zr-based,bmg,1.43,85,4
Zr-based,bmg,1.86,45,4
Zr-based,bmg,1.86,54.6,4
Zr-based,bmg,1.77,54,4
Zr-based,bmg,1.82,58,4
Zr-based,bmg,1.8,27,4
Co-based,bmg,5.37,11.2,23
Co-based,bmg,5.96,6.95,24
Re-based (This work),this_work,6.43,30,this_work
