composicion,re_pct,co_pct,ta_pct,b_pct,dc_mm,tg_k,tx_k,delta_tx_k,etiqueta
Re26.8Co44.1Ta7B22.1,26.8,44.1,7.0,22.1,4,1001,1108,107,Re1
Re28Co41Ta8B23,28,41,8,23,4,1043,1130,87,Re2
Re29Co38Ta9B24,29,38,9,24,3,1064,1148,84,Re3
Re30Co35Ta10B25,30,35,10,25,3,1094,1172,78,Re4
Re31Co32Ta11B26,31,32,11,26,3,1113,1189,76,Re5
