change_bin,n,cost_m,npv_dr2_m,n_pct,cost_pct
<-1000,35,3612432051.85,3416363.98,0.04,35.68
-1000 a -500,60,907081996.36,3725151.78,0.07,8.96
-500 a -100,982,3284939950.79,33918089.73,1.18,32.45
-100 a -10,9973,1275505692.55,175771478.61,11.96,12.60
-10 a 10,68437,1007059078.53,1065484258.71,82.10,9.95
10 a 100,3367,34868156.12,24909434.25,4.04,0.34
100 a 500,458,1946120.75,4414081.59,0.55,0.02
500 a 1000,37,275504.36,213281.73,0.04,0.00
>1000,10,23730.32,78755.12,0.01,0.00
