rgc_kpc,ratio_12c13c,ratio_lo_1sigma,ratio_hi_1sigma
0.0,20.76,16.15,25.37
0.5,23.15,18.52,27.77
1.0,25.53,20.85,30.21
1.5,27.92,23.15,32.68
2.0,30.3,25.41,35.19
2.5,32.68,27.65,37.72
3.0,35.07,29.86,40.28
3.5,37.46,32.04,42.87
4.0,39.84,34.21,45.47
4.5,42.22,36.35,48.1
5.0,44.61,38.47,50.75
5.5,47.0,40.58,53.41
6.0,49.38,42.68,56.08
6.5,51.76,44.77,58.76
7.0,54.15,46.84,61.46
7.5,56.54,48.91,64.16
8.0,58.92,50.97,66.87
8.5,61.3,53.02,69.59
9.0,63.69,55.06,72.32
9.5,66.08,57.1,75.05
10.0,68.46,59.14,77.78
10.5,70.84,61.17,80.52
11.0,73.23,63.2,83.26
11.5,75.61,65.22,86.01
12.0,78.0,67.24,88.76
12.5,80.38,69.26,91.51
13.0,82.77,71.28,94.26
13.5,85.16,73.29,97.02
14.0,87.54,75.3,99.78
14.5,89.92,77.31,102.54
15.0,92.31,79.31,105.31
15.5,94.7,81.32,108.07
16.0,97.08,83.32,110.84
