acoustic_pressure_mpa,pulse_duration_ms,replicate,success_rate
1.2,10,1,0.0
1.2,10,2,0.043478261
1.2,10,3,0.111111111
1.2,10,4,0.0
1.2,10,5,0.074074074
1.2,10,6,0.0
1.2,20,1,0.185185185
1.2,20,2,0.0
1.2,20,3,0.172413793
1.2,20,4,0.142857143
1.2,20,5,0.178571429
1.2,20,6,0.142857143
1.2,40,1,0.304347826
1.2,40,2,0.291666667
1.2,40,3,0.125
1.2,40,4,0.173913043
1.2,40,5,0.217391304
1.2,40,6,0.208333333
1.2,60,1,0.428571429
1.2,60,2,0.464285714
1.2,60,3,0.4
1.2,60,4,0.214285714
1.2,60,5,0.392857143
1.2,60,6,0.344827586
1.2,80,1,0.413793103
1.2,80,2,0.305555556
1.2,80,3,0.36
1.2,80,4,0.461538462
1.2,80,5,0.35483871
1.2,80,6,0.448275862
1.4,10,1,0.148148148
1.4,10,2,0.185185185
1.4,10,3,0.192307692
1.4,10,4,0.148148148
1.4,10,5,0.230769231
1.4,10,6,0.192307692
1.4,20,1,0.142857143
1.4,20,2,0.296296296
1.4,20,3,0.25
1.4,20,4,0.214285714
1.4,20,5,0.285714286
1.4,20,6,0.275862069
1.4,40,1,0.32
1.4,40,2,0.346153846
1.4,40,3,0.28
1.4,40,4,0.375
1.4,40,5,0.291666667
1.4,40,6,0.333333333
1.4,60,1,0.433333333
1.4,60,2,0.448275862
1.4,60,3,0.517241379
1.4,60,4,0.344827586
1.4,60,5,0.482758621
1.4,60,6,0.466666667
1.4,80,1,0.727272727
1.4,80,2,0.791666667
1.4,80,3,0.8
1.4,80,4,0.730769231
1.4,80,5,0.727272727
1.4,80,6,0.607142857
1.6,10,1,0.37037037
1.6,10,2,0.333333333
1.6,10,3,0.307692308
1.6,10,4,0.384615385
1.6,10,5,0.32
1.6,10,6,0.285714286
1.6,20,1,0.518518519
1.6,20,2,0.411764706
1.6,20,3,0.375
1.6,20,4,0.481481481
1.6,20,5,0.571428571
1.6,20,6,0.321428571
1.6,40,1,0.84
1.6,40,2,0.4
1.6,40,3,0.68
1.6,40,4,0.76
1.6,40,5,0.625
1.6,40,6,0.541666667
1.6,60,1,0.857142857
1.6,60,2,0.785714286
1.6,60,3,0.892857143
1.6,60,4,0.821428571
1.6,60,5,0.884615385
1.6,60,6,0.869565217
1.6,80,1,0.933333333
1.6,80,2,0.888888889
1.6,80,3,0.913043478
1.6,80,4,0.964285714
1.6,80,5,1.0
1.6,80,6,0.916666667
1.8,10,1,0.555555556
1.8,10,2,0.56
1.8,10,3,0.703703704
1.8,10,4,0.733333333
1.8,10,5,0.576923077
1.8,10,6,0.481481481
1.8,20,1,0.607142857
1.8,20,2,0.72
1.8,20,3,0.606060606
1.8,20,4,0.72
1.8,20,5,0.517241379
1.8,20,6,0.551724138
1.8,40,1,0.571428571
1.8,40,2,0.8
1.8,40,3,0.666666667
1.8,40,4,0.80952381
1.8,40,5,0.818181818
1.8,40,6,0.55
1.8,60,1,0.933333333
1.8,60,2,0.9
1.8,60,3,0.866666667
1.8,60,4,1.0
1.8,60,5,0.866666667
1.8,60,6,0.961538462
1.8,80,1,1.0
1.8,80,2,1.0
1.8,80,3,0.92
1.8,80,4,1.0
1.8,80,5,0.875
1.8,80,6,0.958333333
2.0,10,1,0.875
2.0,10,2,0.777777778
2.0,10,3,0.814814815
2.0,10,4,0.703703704
2.0,10,5,0.814814815
2.0,10,6,0.785714286
2.0,20,1,0.821428571
2.0,20,2,0.892857143
2.0,20,3,0.814814815
2.0,20,4,0.857142857
2.0,20,5,0.923076923
2.0,20,6,0.846153846
2.0,40,1,0.851851852
2.0,40,2,0.846153846
2.0,40,3,0.814814815
2.0,40,4,1.0
2.0,40,5,0.884615385
2.0,40,6,1.0
2.0,60,1,1.0
2.0,60,2,0.964285714
2.0,60,3,1.0
2.0,60,4,0.965517241
2.0,60,5,0.933333333
2.0,60,6,1.0
2.0,80,1,1.0
2.0,80,2,1.0
2.0,80,3,1.0
2.0,80,4,1.0
2.0,80,5,1.0
2.0,80,6,1.0
2.2,10,1,0.962962963
2.2,10,2,1.0
2.2,10,3,0.888888889
2.2,10,4,0.821428571
2.2,10,5,1.0
2.2,10,6,1.0
2.2,20,1,0.9375
2.2,20,2,1.0
2.2,20,3,1.0
2.2,20,4,0.967741935
2.2,20,5,0.961538462
2.2,20,6,1.0
2.2,40,1,1.0
2.2,40,2,1.0
2.2,40,3,1.0
2.2,40,4,0.96
2.2,40,5,0.961538462
2.2,40,6,1.0
2.2,60,1,1.0
2.2,60,2,1.0
2.2,60,3,1.0
2.2,60,4,1.0
2.2,60,5,1.0
2.2,60,6,1.0
2.2,80,1,1.0
2.2,80,2,1.0
2.2,80,3,1.0
2.2,80,4,1.0
2.2,80,5,1.0
2.2,80,6,1.0
