trial,beat_index,off_pre_s,on_during_s,off_post_s
trial_j,1,0.01119,0.02892,0.0125
trial_j,2,0.0141,0.03016,0.0103
trial_j,3,0.01166,0.03114,0.01245
trial_j,4,0.01202,0.03148,0.0121
trial_j,5,0.01218,0.03376,0.01323
trial_j,6,0.01335,0.03025,0.01245
trial_j,7,0.01079,0.03008,0.01181
trial_j,8,0.01232,0.03004,0.01268
trial_j,9,0.01274,0.03262,0.01137
trial_j,10,0.01136,0.03297,0.01413
trial_k,1,0.0181,0.0336,0.0182
trial_k,2,0.0187,0.03248,0.0183
trial_k,3,0.0182,0.02912,0.0184
trial_k,4,0.0191,0.03472,0.0196
trial_k,5,0.0189,0.03696,0.0193
trial_k,6,0.0192,0.03696,0.0188
trial_k,7,0.0186,0.03584,0.0188
trial_k,8,0.0197,0.03192,0.0191
trial_k,9,0.0193,0.03696,0.0185
trial_k,10,0.0193,0.02744,0.0183
trial_k,11,0.0182,0.03416,0.019
trial_l,1,0.02042,-1.156,0.01573
trial_l,2,0.02637,-1.027,0.02142
trial_l,3,0.01746,-1.023,0.00837
trial_l,4,0.02601,-0.9193,0.0261
trial_l,5,-0.01114,-0.9649,0.00469
trial_l,6,0.02229,-1.005,0.000669228
trial_l,7,0.02303,-0.9312,0.0174
trial_l,8,0.02228,-0.9047,0.0271
trial_l,9,0.01412,-0.9873,0.02543
trial_l,10,0.00595,-0.9948,0.02743
trial_l,11,0.01783,-0.8167,0.03446
trial_l,12,0.02452,-0.9802,0.01974
trial_m,1,0.88123,0.6863,0.89244
trial_m,2,0.88056,0.6684,0.88234
trial_m,3,0.87646,0.6609,0.88445
trial_m,4,0.87401,0.6667,0.8779
trial_m,5,0.89011,0.6566,0.88922
trial_m,6,0.86758,0.6625,0.89155
trial_m,7,0.88234,0.6266,0.88067
trial_m,8,0.8698,0.6641,0.87479
trial_m,9,0.88301,0.6698,0.89044
trial_m,10,0.87712,0.6309,0.88178
trial_m,11,0.8789,0.6486,0.87734
trial_m,12,,0.6705,
trial_m,13,,0.6722,
trial_n,1,0.021,0.0255,0.023
trial_n,2,0.023,0.026,0.023
trial_n,3,0.024,0.0255,0.022
trial_n,4,0.0215,0.0255,0.0215
trial_n,5,0.021,0.0255,0.0215
trial_n,6,0.022,0.026,0.023
trial_n,7,0.021,0.0255,0.0235
trial_n,8,0.021,0.025,0.021
trial_n,9,0.0225,0.026,0.022
trial_n,10,0.021,0.026,0.021
trial_n,11,0.0215,0.0265,0.021
trial_n,12,0.0215,0.026,0.022
trial_n,13,0.022,0.0255,0.0225
trial_n,14,0.022,0.026,0.021
trial_o,1,0.00313,0.1062,-0.02812
trial_o,2,-0.0125,0.125,-0.0125
trial_o,3,-0.025,0.175,-0.01562
trial_o,4,-0.025,0.1,0.0
trial_o,5,-0.00313,0.1281,-0.01563
trial_o,6,0.00625,0.1438,-0.01563
trial_o,7,-0.01875,0.1156,0.00625
trial_o,8,-0.01563,0.1219,0.02188
trial_o,9,-0.01875,0.1062,-0.00938
trial_o,10,-0.00625,0.1234,0.00938
trial_o,11,-0.01875,0.1687,-0.025
trial_o,12,-0.00938,0.1062,-0.03125
trial_o,13,-0.01563,0.09688,0.00313
trial_o,14,0.00313,0.1062,-0.01875
trial_o,15,-0.00938,0.1125,-0.01563
trial_o,16,0.01562,0.1,0.0125
trial_o,17,0.00938,0.1344,-0.0125
trial_o,18,-0.0125,0.1391,-0.02187
trial_o,19,0.01563,0.1172,-0.025
trial_p,1,0.4531,0.7375,0.4688
trial_p,2,0.4375,0.7125,0.4781
trial_p,3,0.4875,0.725,0.4313
trial_p,4,0.4656,0.7438,0.4781
trial_p,5,0.4594,0.7344,0.4656
trial_p,6,0.4719,0.7469,0.4437
trial_p,7,0.4781,0.7281,0.4656
trial_p,8,0.4406,0.7219,0.4562
trial_p,9,0.4781,0.7422,0.4375
trial_p,10,0.4906,0.7125,0.4875
trial_p,11,0.45,0.7406,0.475
trial_p,12,0.4812,0.7312,0.4344
trial_p,13,0.475,0.7156,0.4719
trial_p,14,0.4563,0.7656,0.4688
trial_p,15,0.4875,0.7375,0.4344
trial_p,16,0.4688,0.7469,0.4812
trial_p,17,0.4719,0.7703,0.4594
trial_p,18,0.475,0.7391,0.4594
