ancho_corredor_um,pct_53bp1_positivo
2,50
2,28.57
2,20
2,50
2,40
3,53.33
3,66.67
3,60
3,23.08
3,25
3,25
4,14.29
4,25
4,0
4,30
4,7.14
4,42.86
4,25
5,13.33
5,10
5,0
5,16.67
5,4.76
5,0
5,14.29
5,5
5,6
5,7
5,6
