vida_media_53bp1_min
140
60
135
80
90
50
115
130
145
65
45
125
55
105
55
35
130
25
125
30
55
80
130
115
95
105
215
150
65
55
35
70
25
45
30
55
90
180
80
105
35
195
115
50
150
45
140
80
45
130
60
95
470
100
170
60
30
40
55
135
35
25
110
150
85
90
