bin_inicio_m,bin_fin_m,bin_centro_m,frecuencia
0.0544,0.1513,0.1028,1125
0.1513,0.2482,0.1997,9839
0.2482,0.3450,0.2966,13732
0.3450,0.4419,0.3935,15390
0.4419,0.5388,0.4904,16546
0.5388,0.6357,0.5873,17905
0.6357,0.7326,0.6841,15881
0.7326,0.8295,0.7810,17304
0.8295,0.9264,0.8779,20163
0.9264,1.0232,0.9748,14921
1.0232,1.1201,1.0717,14132
1.1201,1.2170,1.1686,15279
1.2170,1.3139,1.2655,13052
1.3139,1.4108,1.3623,11224
1.4108,1.5077,1.4592,10076
1.5077,1.6046,1.5561,8211
1.6046,1.7014,1.6530,5715
1.7014,1.7983,1.7499,4493
1.7983,1.8952,1.8468,3499
1.8952,1.9921,1.9437,2939
1.9921,2.0890,2.0405,2777
2.0890,2.1859,2.1374,2304
2.1859,2.2828,2.2343,1936
2.2828,2.3796,2.3312,1450
2.3796,2.4765,2.4281,1234
2.4765,2.5734,2.5250,1510
2.5734,2.6703,2.6219,854
2.6703,2.7672,2.7187,530
2.7672,2.8641,2.8156,282
2.8641,2.9610,2.9125,379
2.9610,3.0578,3.0094,274
3.0578,3.1547,3.1063,346
3.1547,3.2516,3.2032,228
3.2516,3.3485,3.3001,97
3.3485,3.4454,3.3969,84
3.4454,3.5423,3.4938,70
3.5423,3.6392,3.5907,110
3.6392,3.7361,3.6876,92
3.7361,3.8329,3.7845,83
3.8329,3.9298,3.8814,124
3.9298,4.0267,3.9783,86
4.0267,4.1236,4.0752,50
4.1236,4.2205,4.1720,99
4.2205,4.3174,4.2689,156
4.3174,4.4143,4.3658,66
4.4143,4.5111,4.4627,24
4.5111,4.6080,4.5596,43
4.6080,4.7049,4.6565,31
4.7049,4.8018,4.7534,77
4.8018,4.8987,4.8502,29
