reach_id,continente,amplitud_m2_media_m,amplitud_o1_media_m,ratio_o1_m2,tipo_marea
18193900146,África,0.2046,0.0390,0.191,semidiurna
18193900153,África,0.2708,0.0748,0.276,mixta
18194000015,África,0.1970,0.0605,0.307,mixta
18195000016,África,0.1639,0.0154,0.094,semidiurna
18195000021,África,0.1481,0.0241,0.163,semidiurna
18195000031,África,0.1298,0.0264,0.204,semidiurna
18195000041,África,0.1458,0.0312,0.214,semidiurna
18195000186,África,0.1123,0.0211,0.188,semidiurna
18195000193,África,0.1043,0.0346,0.332,mixta
18195000201,África,0.0777,0.0574,0.739,mixta
18195000776,África,0.1189,0.0281,0.236,semidiurna
18195000783,África,0.1189,0.0282,0.237,semidiurna
18195000836,África,0.1793,0.0184,0.102,semidiurna
18195000843,África,0.1792,0.0195,0.109,semidiurna
18195000851,África,0.1335,0.0296,0.222,semidiurna
18196000015,África,0.1183,0.0377,0.319,mixta
18197100016,África,0.1342,0.0316,0.235,semidiurna
18197100186,África,0.1251,0.0478,0.382,mixta
18197100193,África,0.1320,0.0466,0.353,mixta
18197300186,África,0.6478,0.4244,0.655,mixta
18197700016,África,0.2261,0.1067,0.472,mixta
18199300136,África,0.1188,0.0255,0.215,semidiurna
18199300145,África,0.1188,0.0255,0.215,semidiurna
21101200016,Europa,0.0830,0.0533,0.642,mixta
21101200025,Europa,0.0839,0.0488,0.582,mixta
21101800016,Europa,0.1376,0.0700,0.509,mixta
21101800021,Europa,0.1420,0.0876,0.617,mixta
21307200016,Europa,0.2544,0.1219,0.479,mixta
21307500016,Europa,0.0473,1.0540,22.293,diurna
21307900516,Europa,0.1505,0.0421,0.280,mixta
21307900523,Europa,0.0978,0.0432,0.442,mixta
21309200016,Europa,0.0971,0.0399,0.411,mixta
21309200023,Europa,0.1026,0.0503,0.490,mixta
