MJD,Scaled_flux,Error
60319.55005473,2.3667561045397365,0.3379499111919711
60319.55006041,0.1998747509866059,0.3379499111919711
60319.55006608,1.7218003465942524,0.3379499111919711
60319.55007174,0.6955995486716585,0.3379499111919711
60319.55007743,1.3419276471001074,0.3379499111919711
60319.55008309,1.5209074075073825,0.3379499111919711
60319.55008877,0.9770621548228968,0.3379499111919711
60319.55009444,1.5461850338226322,0.3379499111919711
60319.55010012,1.2556472728646932,0.3379499111919711
60319.55010578,1.1041585911645457,0.3379499111919711
60319.55011145,1.4825261430322136,0.3379499111919711
60319.55011712,0.92646263314456,0.3379499111919711
60319.55012279,0.5701853361478371,0.3379499111919711
60319.55012846,0.6307011245417883,0.3379499111919711
60319.55013413,1.3704811829553367,0.3379499111919711
60319.5501398,0.8045456753999061,0.3379499111919711
60319.55014547,0.5253850597362213,0.3379499111919711
60319.55015113,0.8315055255329832,0.3379499111919711
60319.55015682,0.6438047627017076,0.3379499111919711
60319.55016249,1.0388174765562999,0.3379499111919711
60319.55016816,1.0248727264874669,0.3379499111919711
60319.55017383,1.0505930432810922,0.3379499111919711
60319.5501795,0.832125292202709,0.3379499111919711
60319.55018517,0.7660758728290621,0.3379499111919711
60319.55019083,1.310319546944086,0.3379499111919711
60319.55019652,1.2622433609924903,0.3379499111919711
60319.55020219,0.6053792291787011,0.3379499111919711
60319.55020786,0.37690667328902827,0.3379499111919711
60319.55021354,0.7162289249639638,0.3379499111919711
60319.5502192,0.7821012681462605,0.3379499111919711
60319.55022487,1.1915899606437368,0.3379499111919711
60319.55023054,0.6663377080510282,0.3379499111919711
60319.55023622,1.5249358908606012,0.3379499111919711
60319.55024189,1.2224454869865193,0.3379499111919711
60319.55024756,0.9769736167272216,0.3379499111919711
60319.55025323,0.824688092165998,0.3379499111919711
60319.5502589,0.539861038379105,0.3379499111919711
60319.55026456,1.1344386198854401,0.3379499111919711
60319.55027024,1.4715916882163353,0.3379499111919711
60319.55027591,1.3278500898877617,0.3379499111919711
60319.55028159,0.6566427865746015,0.3379499111919711
60319.55028725,0.16007687698063497,0.3379499111919711
60319.55029293,1.8936970593475173,0.3379499111919711
60319.5502986,2.0137104480351558,0.3379499111919711
60319.55030427,1.257373765730358,0.3379499111919711
60319.55030994,1.1622395819274312,0.3379499111919711
60319.55031561,1.0486009361284019,0.3379499111919711
60319.55032127,1.0837505601114283,0.3379499111919711
60319.55032696,0.6978572701113743,0.3379499111919711
