j_spincoated_mAcm2,eqe_spincoated_pct,j_assembled_mAcm2,eqe_assembled_pct
-3.41e-06,0.0,-2.69e-06,0.0
0.000165,0.0,0.000174,0.0
0.00028,0.0,0.000215,0.0
0.000375,0.0,0.000288,0.0
0.000478,0.0,0.000359,0.0
0.000602,0.0,0.000438,0.0
0.000674,0.0,0.000471,0.0
0.000796,0.0,0.000571,0.0
0.000905,0.0,0.000644,0.0
0.0,0.0,0.000719,0.0
0.01,0.0,0.0,0.0
0.03,0.0,0.03,0.0
0.17,1.15,0.19,2.5
0.56,6.38,0.64,7.98
1.43,13.46,1.63,18.75
3.01,16.88,3.46,22.37
5.55,20.76,6.39,28.71
9.29,22.42,10.77,29.16
14.38,23.1,16.86,30.89
20.93,23.31,24.9,30.84
29.02,23.12,34.99,30.39
38.66,22.23,47.32,29.39
49.99,20.7,61.87,28.69
62.85,20.7,78.64,26.77
77.34,19.55,97.7,23.79
93.31,19.02,118.75,22.38
110.47,17.96,141.73,20.25
130.05,16.45,166.41,18.21
150.32,15.04,192.44,16.47
172.25,13.71,219.53,15.06
195.23,12.54,246.97,13.85
218.41,11.5,269.08,12.98
240.06,10.38,291.95,11.21
258.74,9.68,310.02,10.49
260.55,9.57,318.92,9.93
