resolution_ppi,eqe_pct,series
120.0,2.8,series_1
5080.0,24.2,series_2
254.0,7.1,series_3
120.0,3.4,series_1
3628.0,27.3,series_2
2540.0,20.3,series_3
400.0,6.8,series_1
2167.0,29.8,series_2
395.0,16.4,series_3
250.0,8.54,series_1
1154.0,30.9,series_2
4233.0,15.9,series_3
1270.0,10.5,series_1
635.0,21.4,series_3
2000.0,21.0,series_1
3628.0,18.7,series_3
2550.0,14.8,series_1
1814.0,18.9,series_3
1270.0,21.1,series_3
