lifetime_h,eqe_pct,series
12411.0,30.9,series_1
0.14,7.1,series_2
1.1,8.54,series_3
59.6,16.4,series_2
0.1,6.8,series_3
378.2,16.7,series_2
1.56,3.4,series_3
4460.0,18.7,series_2
0.03,14.8,series_3
8.5,10.5,series_3
0.12,2.8,series_3
0.14,21.0,series_3
