time_min,l_l0_assembled,l_l0_spincoated
0.0,1.00293,1.0026
83.33,0.98949,0.9813
166.67,0.98873,0.9726
250.0,0.97706,0.9576
333.33,0.96179,0.9392
416.67,0.9641,0.9338
500.0,0.95154,0.9181
583.33,0.95015,0.9114
666.67,0.94475,0.9009
750.0,0.92827,0.8843
833.33,0.93138,0.8806
916.67,0.92742,0.8717
1000.0,0.9154,0.8585
1083.33,0.91708,0.8545
1166.67,0.9099,0.8443
1250.0,0.90878,0.8378
1333.33,0.90503,0.8316
1416.67,0.90233,0.8245
1500.0,0.8948,0.8143
1583.33,0.89229,0.8085
1666.67,0.87976,0.7948
1750.0,0.88484,0.7944
1833.33,0.87621,0.7841
1916.67,0.86855,0.7749
2000.0,0.86231,0.7655
2083.33,0.85644,0.7577
2166.67,0.85192,0.75
2250.0,0.85275,0.7478
2333.33,0.85012,0.7423
2416.67,0.84816,0.7372
2500.0,0.83837,0.7258
2583.33,0.83989,0.724
2666.67,0.83061,0.7137
2750.0,0.82636,0.7069
2833.33,0.8251,0.7027
2916.67,0.82301,0.6984
3000.0,0.81391,0.6874
3083.33,0.80964,0.6819
3166.67,0.80413,0.6748
3250.0,0.8021,0.67
3333.33,0.79637,0.6624
3416.67,0.79179,0.6569
3500.0,0.79091,0.6534
3583.33,0.78742,0.6483
3666.67,0.78063,0.6396
3750.0,0.7809,0.6369
3833.33,0.78064,0.635
3916.67,0.76916,0.6233
4000.0,0.76853,0.6204
4083.33,0.76743,0.6175
4166.67,0.76222,0.6106
4250.0,0.76162,0.6075
4333.33,0.74989,0.5963
4416.67,0.7434,0.5888
4500.0,0.74676,0.5891
4583.33,0.74021,0.5816
4666.67,0.74144,0.5812
4750.0,0.73746,0.5751
4833.33,0.73671,0.5734
4916.67,0.732,0.5674
5000.0,0.7198,0.5546
5083.33,0.72056,0.5537
5166.67,0.71771,0.5499
5250.0,0.71598,0.547
5333.33,0.71273,0.5419
5416.67,0.71198,0.5397
5500.0,0.70535,0.5322
5583.33,0.70186,0.5273
5666.67,0.7033,0.5273
5750.0,0.6937,0.5174
5833.33,0.69363,0.5162
5916.67,0.69501,0.5165
6000.0,0.68954,0.5099
6083.33,0.68765,0.5065
6166.67,0.6808,0.4994
6250.0,0.67945,0.4972
6333.33,0.67901,0.4949
6416.67,0.67416,0.4894
6500.0,0.66974,0.4843
6583.33,0.6612,0.4745
6666.67,0.66708,0.4795
6750.0,0.66342,0.4752
6833.33,0.65787,0.4694
6916.67,0.65296,0.4636
7000.0,0.6523,0.4617
7083.33,0.65196,0.4609
7166.67,0.6439,0.4519
7250.0,0.64215,0.4494
7333.33,0.6461,0.453
7416.67,0.64054,0.4457
7500.0,0.63655,0.4413
7583.33,0.63477,0.4392
7666.67,0.62959,0.4329
7750.0,0.63065,0.4342
7833.33,0.62327,0.4263
7916.67,0.62321,0.4254
8000.0,0.61698,0.418
8083.33,0.6161,0.4164
8166.67,0.61658,0.417
8250.0,0.61275,0.4128
8333.33,0.61415,0.4134
8416.67,0.60702,0.4054
8500.0,0.60072,0.3986
8583.33,0.60388,0.402
8666.67,0.59693,0.3933
8750.0,0.597,0.3933
8833.33,0.59239,0.3882
8916.67,0.58889,0.3839
9000.0,0.59298,0.3883
9083.33,0.58969,0.384
9166.67,0.58526,0.3796
9250.0,0.58058,0.3744
9333.33,0.58305,
9416.67,0.57341,
9500.0,0.57855,
9583.33,0.57013,
9666.67,0.57153,
9750.0,0.57088,
9833.33,0.56824,
9916.67,0.56473,
10000.0,0.55966,
10083.33,0.55402,
10166.67,0.55386,
10250.0,0.5533,
10333.33,0.55358,
10416.67,0.55087,
10500.0,0.5494,
10583.33,0.54351,
10666.67,0.5437,
10750.0,0.54108,
10833.33,0.54136,
10916.67,0.54032,
11000.0,0.53598,
11083.33,0.53198,
11166.67,0.52877,
11250.0,0.52655,
11333.33,0.52281,
11416.67,0.5234,
11500.0,0.52381,
11583.33,0.51874,
11666.67,0.51796,
11750.0,0.51689,
11833.33,0.5142,
11916.67,0.51424,
12000.0,0.50978,
12083.33,0.5073,
12166.67,0.50761,
12250.0,0.50466,
12333.33,0.50544,
12416.67,0.49959,
12500.0,0.49897,
12583.33,0.49428,
12666.67,0.4977,
12750.0,0.49203,
12833.33,0.49053,
12916.67,0.48879,
13000.0,0.48339,
13083.33,0.48103,
13166.67,0.4828,
13250.0,0.48037,
13333.33,0.47738,
13416.67,0.47297,
13500.0,0.47457,
13583.33,0.47158,
13666.67,0.47606,
13750.0,0.46519,
13833.33,0.46386,
13916.67,0.46566,
14000.0,0.46144,
14083.33,0.46305,
14166.67,0.46223,
14250.0,0.45766,
14333.33,0.45544,
14416.67,0.45732,
14500.0,0.45525,
14583.33,0.45167,
14666.67,0.44853,
14750.0,0.44699,
14833.33,0.44817,
14916.67,0.44058,
15000.0,0.44253,
15083.33,0.44062,
15166.67,0.43884,
15250.0,0.43813,
15333.33,0.43594,
15416.67,0.43288,
15500.0,0.43759,
15583.33,0.43073,
15666.67,0.4279,
15750.0,0.42725,
15833.33,0.42664,
15916.67,0.42231,
16000.0,0.4236,
16083.33,0.42046,
16166.67,0.42007,
16250.0,0.41825,
16333.33,0.41489,
16416.67,0.41645,
16500.0,0.41313,
16583.33,0.4118,
16666.67,0.41021,
16750.0,0.40646,
16833.33,0.40705,
16916.67,0.40692,
17000.0,0.40195,
17083.33,0.40167,
17166.67,0.39905,
17250.0,0.40174,
17333.33,0.39772,
17416.67,0.39527,
17500.0,0.39639,
17583.33,0.3941,
17666.67,0.39105,
17750.0,0.39136,
17833.33,0.39083,
17916.67,0.38751,
18000.0,0.38453,
18083.33,0.38353,
18166.67,0.38476,
18250.0,0.37962,
18333.33,0.38091,
18416.67,0.3736,
18500.0,0.3753,
18583.33,0.3741,
18666.67,0.37407,
18750.0,0.37342,
18833.33,0.3718,
18916.67,0.37124,
19000.0,0.36647,
19083.33,0.36784,
19166.67,0.36706,
19250.0,0.36125,
19333.33,0.36228,
19416.67,0.35879,
19500.0,0.35913,
