temperature_K,mobility_spincoated_cm2Vs,mobility_assembled_cm2Vs
298.0,0.017391,0.29252
288.0,0.014087,0.32145
278.0,0.012271,0.4164
268.0,0.010581,0.55652
258.0,0.0080417,0.63716
248.0,0.0058504,0.88353
238.0,0.0050713,0.96235
228.0,0.0030678,1.0522
218.0,0.0020104,1.1143
208.0,0.0013635,1.4247
198.0,0.00084174,1.9047
188.0,0.00052654,2.5725
178.0,0.0003312,1.8031
168.0,0.00019541,1.6656
158.0,,1.2355
148.0,,1.0522
138.0,,0.78809
128.0,,0.45078
118.0,,0.35617
108.0,,0.23513
98.0,,0.13913
88.0,,0.068174
78.0,,0.034783
