eqe_spincoated_pct,eqe_assembled_pct
21.8,26.8
21.2,26.4
21.4,30.1
20.7,25.9
23.2,26.3
21.9,27.5
23.3,27.3
23.1,27.6
21.2,28.2
19.9,27.9
19.3,25.6
20.3,25.8
20.4,25.1
22.2,27.8
22.6,27.7
21.3,26.6
22.1,26.9
21.9,25.2
23.6,27.7
19.0,26.3
23.8,26.2
22.1,28.9
19.3,26.3
19.3,28.8
20.9,27.7
21.9,29.2
21.9,27.6
22.4,27.1
22.9,27.6
23.5,25.4
20.7,28.2
20.3,30.9
20.8,27.8
22.4,27.2
22.6,26.5
21.9,28.4
21.7,29.6
20.4,26.5
19.4,27.8
20.9,26.7
