muestra,nb_as_area_ratio,nb_as_atomic_ratio,nb_at_pct,as_at_pct
Bulk,0.5146,1.000,50.0,50.0
Nanowire #1,0.5169,1.005,50.1,49.9
Nanowire #2,0.5328,1.035,50.9,49.1
Nanowire #3,0.5302,1.030,50.7,49.3
Nanowire #4,0.5024,0.9763,49.4,50.6
