material,cristalinidad,conductividad_termica_wmk,este_trabajo
Cu,Polycrystalline,401,0
Cu/TaN (10nm/3.5nm),Polycrystalline,12.8,0
Ru,Polycrystalline,117,0
Co,Polycrystalline,100,0
NbAs,Single crystal,109.68,1
NbAs,Polycrystalline,51.74,1
NbAs,Polycrystalline,12.37,0
NbP,Single crystal,270,0
NbP,Polycrystalline,39,0
MoP,Single crystal,96,0
TaAs,Single crystal,18.5,0
TaAs,Polycrystalline,2.43,0
WTe2,Single crystal,13.5,0
WTe2,Polycrystalline,0.96,0
CoSi,Polycrystalline,12.1,0
Cd3As2,Single crystal,4.17,0
