material,constante_dielectrica,conductividad_termica_wmk
SiCOH,3,0.39
F-doped SiO2,3.55,0.8
Porous SiO2,2.1,0.14
Porous SiCOH,2.2,0.16
MOF-5,2.7,0.1
COF-5,1.62,1.03
TP-COF,1.4,0.89
