dia,sensor_1_pct,sensor_2_pct,sensor_3_pct,sensor_4_pct
1,100,100,100,100
7,99.308,99.25,98.284,98.74
14,98.46,97.78,97.84,98.54
21,97.02,98.16,98.46,96.27
