anios_tras_perturbacion,anomalia_lst_c,huella_termica_anual_grados_ha,huella_termica_acumulada_grados_ha
1,1.99711900791106,3387805.22004651,3387805.22004651
2,1.43906784100075,2441157.24923315,5828962.46927966
3,1.04706153139902,1776178.83948429,7605141.30876395
4,0.825588070101759,1400483.17722657,9005624.48599052
5,0.68520762985202,1162349.3522584,10167973.8382489
6,0.570662889544796,968041.818453705,11136015.6567026
7,0.466454663832634,791268.591800219,11927284.2485029
8,0.426351910948179,723240.439736163,12650524.688239
9,0.457913745394645,776780.237348836,13427304.9255879
10,0.357996446584146,607285.908196554,14034590.8337844
