anio,huella_termica_total_anual_grados_ha
1,3387805.22004651
2,5847926.93779466
3,7656836.61873722
4,9100166.99469884
5,10313423.3630448
6,11339132.5321847
7,12193769.1552192
8,12985113.4640382
9,13834368.4246065
10,14518807.0167018
