sector,total_change_c,forced_response_c,melt_feedback_c
Weddell,0.582,0.101,0.481
Antarctic Peninsula,0.601,0.864,-0.264
Bellingshausen,0.342,0.466,-0.124
Amundsen,0.143,0.634,-0.49
Ross,0.241,0.078,0.162
Adelie,0.81,1.178,-0.368
Wilkes,0.432,0.167,0.265
Amery,0.596,0.473,0.123
Enderby,0.747,1.012,-0.265
Maud,0.951,0.482,0.469
