sector,total_change_gkg,forced_response_gkg,melt_feedback_gkg
Weddell,-0.354,-0.064,-0.291
Antarctic Peninsula,-0.249,-0.055,-0.194
Bellingshausen,-0.207,-0.002,-0.206
Amundsen,-0.228,0.024,-0.252
Ross,-0.263,-0.027,-0.236
Adelie,-0.116,-0.056,-0.06
Wilkes,-0.124,-0.03,-0.094
Amery,-0.155,-0.083,-0.072
Enderby,-0.265,-0.144,-0.121
Maud,-0.215,-0.064,-0.151
