sector,total_change_gt_yr,total_se_gt_yr,forced_response_gt_yr,forced_se_gt_yr,melt_feedback_gt_yr,feedback_se_gt_yr
Weddell,698.504,20.474,168.689,16.973,529.815,17.901
Antarctic Peninsula,-46.141,3.273,41.631,2.566,-87.771,2.298
Bellingshausen,-43.869,1.598,66.713,3.833,-110.581,2.991
Amundsen,51.645,2.762,110.531,6.143,-58.886,5.151
Ross,23.731,5.128,139.822,5.377,-116.092,6.663
Adelie,-65.423,3.436,34.109,4.307,-99.532,3.374
Wilkes,-8.714,3.226,-69.229,10.522,60.515,8.511
Amery,21.054,6.086,-223.765,7.925,244.819,4.706
Enderby,0.538,0.11,10.813,1.373,-10.275,1.287
Maud,173.287,7.398,-5.757,25.851,179.044,22.671
