phylum,n_genomes
Bacillota_A,6107
Bacteroidota,3233
Bacillota_I,696
Pseudomonadota,477
Verrucomicrobiota,439
Spirochaetota,258
Patescibacteria,245
Bacillota_C,202
Actinomycetota,168
Cyanobacteriota,165
Elusimicrobiota,90
Fibrobacterota,86
Synergistota,72
Bacillota,62
Desulfobacterota,51
Planctomycetota,46
Bacillota_B,28
UBP6,24
Campylobacterota,19
UBA3054,16
Chloroflexota,13
Myxococcota,12
Eremiobacterota,8
Riflebacteria,7
Armatimonadota,7
Chlamydiota,2
Fusobacteriota,2
Bdellovibrionota,2
RUG730,1
,1
Deferribacterota,1
