organ,gene_rank,gene
Organismal,1,MXRA8
Organismal,2,NAGK
Organismal,3,MZB1
Organismal,4,STX1B
Organismal,5,MST1
Organismal,6,SORCS2
Organismal,7,SOST
Organismal,8,SOD2
Organismal,9,SNX2
Organismal,10,SPESP1
Organismal,11,SPINK1
Organismal,12,SLITRK6
Organismal,13,SPINK2
Organismal,14,NAGPA
Organismal,15,OGN
Organismal,16,OMD
Organismal,17,ODAM
Organismal,18,OBP2B
Organismal,19,OMG
Organismal,20,NTF3
Organismal,21,SSC4D
Organismal,22,NTproBNP
Organismal,23,NTF4
Organismal,24,SRPX
Organismal,25,PCDH9
Organismal,26,PCDH1
Organismal,27,SUSD5
Organismal,28,SUSD2
Organismal,29,PDCD1
Organismal,30,PAEP
Organismal,31,PADI2
Organismal,32,PAMR1
Organismal,33,NFASC
Organismal,34,NELL2
Organismal,35,NHLRC3
Organismal,36,NCAN
Organismal,37,NEFL
Organismal,38,SPOCK1
Organismal,39,SPINT3
Organismal,40,SPRR3
Organismal,41,SPON2
Organismal,42,NOTCH3
Organismal,43,NME3
Organismal,44,NPTX2
Organismal,45,NPL
Organismal,46,QPCT
Organismal,47,PTPRN2
Organismal,48,PTPRR
Organismal,49,PTPRZ1
Organismal,50,PRTG
Organismal,51,PRL
Organismal,52,PROK1
Organismal,53,PRR4
Organismal,54,PTN
Organismal,55,PTGDS
Organismal,56,PSPN
Organismal,57,SBSN
Organismal,58,SCARF2
Organismal,59,SDK2
Organismal,60,SCLY
Organismal,61,SCG3
Organismal,62,SCG2
Organismal,63,RGMB
Organismal,64,RET
Organismal,65,RLN2
Organismal,66,ROBO1
Organismal,67,RRM2
Organismal,68,SEPTIN3
Organismal,69,SEMA7A
Organismal,70,SFRP4
Organismal,71,SHBG
Organismal,72,POMC
Organismal,73,PODXL2
Organismal,74,PPY
Organismal,75,PRELP
Organismal,76,PIGR
Organismal,77,PER3
Organismal,78,PIK3IP1
Organismal,79,PLG
Organismal,80,PLAT
Organismal,81,PINLYP
Organismal,82,PKD1
Organismal,83,CLEC4A
Organismal,84,CLEC14A
Organismal,85,CHIT1
Organismal,86,CHGB
Organismal,87,CHGA
Organismal,88,CHRDL1
Organismal,89,COL9A1
Organismal,90,COLEC12
Organismal,91,COL6A3
Organismal,92,COL4A1
Organismal,93,CPA1
Organismal,94,COL15A1
Organismal,95,CNTN5
Organismal,96,CDCP1
Organismal,97,CDH2
Organismal,98,CDHR2
Organismal,99,CDH3
Organismal,100,CD93
Organismal,101,CD8A
Organismal,102,CD83
Organismal,103,CGB3_CGB5_CGB8
Organismal,104,CGA
Organismal,105,CDON
Organismal,106,CELSR2
Organismal,107,DLK1
Organismal,108,DKKL1
Organismal,109,DCN
Organismal,110,DUSP13
Organismal,111,CRYBB2
Organismal,112,CSF3
Organismal,113,CST5
Organismal,114,CR2
Organismal,115,CRTAC1
Organismal,116,CRH
Organismal,117,CYTL1
Organismal,118,CYB5R2
Organismal,119,CXCL9
Organismal,120,CXCL17
Organismal,121,DCBLD2
Organismal,122,CXCL14
Organismal,123,CTSF
Organismal,124,CTHRC1
Organismal,125,CXCL12
Organismal,126,CTSV
Organismal,127,ANGPTL1
Organismal,128,ANXA1
Organismal,129,ATRN
Organismal,130,ADAMTS16
Organismal,131,ADAMTS15
Organismal,132,ADGRG1
Organismal,133,ADAMTSL5
Organismal,134,ACRV1
Organismal,135,ACTA2
Organismal,136,ADA
Organismal,137,AGER
Organismal,138,AFP
Organismal,139,AGRP
Organismal,140,CCDC80
Organismal,141,CCL11
Organismal,142,CALB1
Organismal,143,CAPS
Organismal,144,CD248
Organismal,145,CD1C
Organismal,146,CCN5
Organismal,147,BGLAP
Organismal,148,BPIFB2
Organismal,149,BOC
Organismal,150,BCAN
Organismal,151,BAG3
Organismal,152,CA12
Organismal,153,CA4
Organismal,154,CA14
Organismal,155,BSG
Organismal,156,C1QL2
Organismal,157,ITGBL1
Organismal,158,ITGB5
Organismal,159,INSL3
Organismal,160,ITGAV
Organismal,161,KLK7
Organismal,162,KLK8
Organismal,163,KLK4
Organismal,164,KLK3
Organismal,165,KLK14
Organismal,166,KLRF1
Organismal,167,L1CAM
Organismal,168,LAG3
Organismal,169,KRT5
Organismal,170,KLK1
Organismal,171,KIT
Organismal,172,IL17D
Organismal,173,IGDCC4
Organismal,174,IL5RA
Organismal,175,IL7R
Organismal,176,IL18RAP
Organismal,177,MEPE
Organismal,178,MEP1B
Organismal,179,MEGF10
Organismal,180,MATN3
Organismal,181,MOG
Organismal,182,MFGE8
Organismal,183,MLN
Organismal,184,MMP12
Organismal,185,LEPR
Organismal,186,LILRB4
Organismal,187,LEP
Organismal,188,LAMP2
Organismal,189,LAMA4
Organismal,190,LEG1
Organismal,191,LEFTY2
Organismal,192,LECT2
Organismal,193,LTBP2
Organismal,194,LYPD3
Organismal,195,LPO
Organismal,196,LMOD1
Organismal,197,FCRL2
Organismal,198,FGF5
Organismal,199,FGFBP3
Organismal,200,FAP
Organismal,201,FASLG
Organismal,202,FBLN2
Organismal,203,FSHB
Organismal,204,FLT3LG
Organismal,205,ENAH
Organismal,206,ELN
Organismal,207,ENG
Organismal,208,ENPP5
Organismal,209,ENPP2
Organismal,210,EDA2R
Organismal,211,EFEMP1
Organismal,212,EGFR
Organismal,213,FABP4
Organismal,214,EPHA4
Organismal,215,ERBB4
Organismal,216,HAVCR1
Organismal,217,HSPG2
Organismal,218,HSD11B1
Organismal,219,GFRA1
Organismal,220,GFAP
Organismal,221,GFRAL
Organismal,222,GDF15
Organismal,223,GAS6
Organismal,224,GP2
Organismal,225,GIPC2
Organismal,226,GIP
Organismal,227,TSPAN1
Organismal,228,XCL1
Organismal,229,WNT9A
Organismal,230,WIF1
Organismal,231,WFDC2
Organismal,232,ZNRD2
Organismal,233,TFF1
Organismal,234,TCOF1
Organismal,235,THBS2
Organismal,236,TNFSF13
Organismal,237,TNXB
Organismal,238,TAFA5
Organismal,239,TNFRSF13B
Organismal,240,TNFRSF11B
Artery,1,ACAN
Artery,2,BGN
Artery,3,COMP
Artery,4,CRLF1
Artery,5,CYTL1
Artery,6,EFEMP1
Artery,7,ELN
Artery,8,FN1
Artery,9,FRZB
Artery,10,HTR1B
Artery,11,ITGBL1
Artery,12,LTBP2
Artery,13,MCAM
Artery,14,MFGE8
Artery,15,OGN
Artery,16,PRKG1
Artery,17,SOST
Artery,18,SUSD5
Artery,19,TNFRSF11B
Brain,1,ABCA2
Brain,2,ADAM22
Brain,3,ANGPTL7
Brain,4,APLP1
Brain,5,APOD
Brain,6,BCAN
Brain,7,BRSK2
Brain,8,C1QL2
Brain,9,CA11
Brain,10,CA14
Brain,11,CDH15
Brain,12,CEND1
Brain,13,CHL1
Brain,14,CNDP1
Brain,15,CNTN1
Brain,16,CNTN2
Brain,17,CNTNAP2
Brain,18,CNTNAP4
Brain,19,COL28A1
Brain,20,CRH
Brain,21,CRTAM
Brain,22,CRYM
Brain,23,CSPG5
Brain,24,DNM1
Brain,25,DNM3
Brain,26,EXTL1
Brain,27,FGFBP2
Brain,28,FLT3
Brain,29,GFAP
Brain,30,GFRA3
Brain,31,GPR158
Brain,32,GPR37
Brain,33,GRIK2
Brain,34,IGSF21
Brain,35,KCNIP4
Brain,36,KLK6
Brain,37,LCN15
Brain,38,LRTM2
Brain,39,MAPK9
Brain,40,MAPT
Brain,41,MDGA1
Brain,42,MEGF10
Brain,43,MEGF11
Brain,44,MEPE
Brain,45,MOG
Brain,46,NCAN
Brain,47,NEFL
Brain,48,NPTX1
Brain,49,OMG
Brain,50,OXT
Brain,51,PMCH
Brain,52,PPP3R1
Brain,53,PTPRR
Brain,54,QDPR
Brain,55,RAB33A
Brain,56,RAB37
Brain,57,RBFOX3
Brain,58,SCRN1
Brain,59,SEZ6L
Brain,60,SNAP25
Brain,61,SPOCK1
Brain,62,STX1B
Brain,63,SV2A
Brain,64,SYT1
Brain,65,THY1
Brain,66,TMEM132A
Brain,67,TMPRSS5
Brain,68,TNR
Brain,69,VSNL1
Brain,70,VWC2L
Heart,1,BMP10
Heart,2,MYL3
Heart,3,NMRK2
Heart,4,NPPB
Heart,5,PXDNL
Immune,1,ADGRE1
Immune,2,ADGRE2
Immune,3,AHSP
Immune,4,APBB1IP
Immune,5,APOBR
Immune,6,CD177
Immune,7,CD1C
Immune,8,CD244
Immune,9,CD48
Immune,10,CD5L
Immune,11,CD72
Immune,12,CD79B
Immune,13,CD8A
Immune,14,CEACAM8
Immune,15,CFP
Immune,16,CLC
Immune,17,CLEC4D
Immune,18,CR1
Immune,19,CR2
Immune,20,CSF1R
Immune,21,CSF3R
Immune,22,CST7
Immune,23,CXCL13
Immune,24,CXCL6
Immune,25,EVI2B
Immune,26,FCAR
Immune,27,FCER2
Immune,28,FCGR2A
Immune,29,FCGR3B
Immune,30,FCN1
Immune,31,FCRL1
Immune,32,FCRL2
Immune,33,FCRL3
Immune,34,FCRL5
Immune,35,FGR
Immune,36,FOLR3
Immune,37,GNLY
Immune,38,GZMA
Immune,39,GZMB
Immune,40,GZMH
Immune,41,HBQ1
Immune,42,HCLS1
Immune,43,HMOX1
Immune,44,ICAM3
Immune,45,IL18RAP
Immune,46,IL1R2
Immune,47,IL24
Immune,48,IL2RB
Immune,49,ITGAM
Immune,50,ITGB2
Immune,51,KIR2DL3
Immune,52,KLRF1
Immune,53,LAT2
Immune,54,LCP1
Immune,55,LILRA2
Immune,56,LILRA5
Immune,57,LRTM1
Immune,58,LTB
Immune,59,MMP9
Immune,60,NCR1
Immune,61,OSM
Immune,62,PADI4
Immune,63,PF4
Immune,64,PGLYRP1
Immune,65,PRG3
Immune,66,PRTN3
Immune,67,PSTPIP2
Immune,68,SELL
Immune,69,SELPLG
Immune,70,SIGLEC7
Immune,71,STAB2
Immune,72,TARM1
Immune,73,TNFRSF10C
Immune,74,TNFRSF13C
Immune,75,TNFRSF1B
Immune,76,VSIR
Intestine,1,ALPI
Intestine,2,CCL11
Intestine,3,CCL25
Intestine,4,CDH17
Intestine,5,CEACAM18
Intestine,6,FABP2
Intestine,7,FABP6
Intestine,8,GPA33
Intestine,9,GUCA2A
Intestine,10,GUCY2C
Intestine,11,LGALS4
Intestine,12,MEP1A
Intestine,13,MEP1B
Intestine,14,MUC13
Intestine,15,MUC2
Intestine,16,NXPE4
Intestine,17,OLFM4
Intestine,18,PPP1R14D
Intestine,19,PYY
Intestine,20,RBP2
Intestine,21,REG4
Intestine,22,SPINK4
Kidney,1,CALCA
