masa_final_source_Msun,espin_final,masa_1_source_Msun,masa_2_source_Msun
62.458,0.6632,33.301,32.199
63.059,0.6930,34.338,31.964
63.562,0.6813,33.458,33.312
62.157,0.6777,33.521,31.743
61.209,0.6677,33.002,31.195
62.525,0.6738,33.820,31.805
62.174,0.6774,33.905,31.371
62.897,0.6667,34.639,31.334
62.804,0.6751,35.221,30.688
61.943,0.6681,32.921,32.064
62.235,0.6765,33.171,32.170
63.803,0.6868,34.305,32.746
64.426,0.6912,34.030,33.704
62.803,0.6772,34.384,31.554
63.450,0.6776,35.069,31.548
62.415,0.6828,33.079,32.496
62.382,0.6842,34.309,31.226
62.854,0.6679,33.807,32.128
62.201,0.6702,33.042,32.218
63.281,0.6872,34.806,31.713
63.086,0.6698,34.036,32.158
62.525,0.6684,33.373,32.225
61.148,0.6685,32.344,31.804
62.164,0.6760,32.996,32.269
62.227,0.6804,33.167,32.189
62.651,0.6641,33.185,32.519
61.400,0.6685,33.219,31.197
62.838,0.6685,33.650,32.265
62.185,0.6790,32.954,32.349
64.278,0.6829,34.050,33.475
63.630,0.6760,34.636,32.162
62.490,0.6684,32.913,32.650
63.242,0.6850,33.781,32.669
63.111,0.6708,33.673,32.562
62.390,0.6736,33.538,31.967
63.568,0.6854,35.371,31.412
63.708,0.6829,33.615,33.313
63.901,0.6926,34.158,33.033
63.339,0.6799,34.395,32.123
62.328,0.6748,34.066,31.348
62.851,0.6822,33.776,32.236
62.245,0.6816,33.806,31.559
61.984,0.6769,33.244,31.829
63.625,0.6929,34.557,32.339
62.590,0.6778,33.758,31.967
62.124,0.6809,33.216,32.033
63.310,0.6823,34.272,32.226
63.037,0.6680,33.609,32.527
62.595,0.6843,33.985,31.782
63.036,0.6742,33.090,33.081
63.654,0.6898,33.459,33.456
62.672,0.6868,33.986,31.871
61.796,0.6752,32.506,32.368
61.798,0.6698,33.842,31.001
62.148,0.6717,34.119,31.072
62.337,0.6780,33.837,31.616
60.796,0.6574,32.831,30.896
62.100,0.6769,34.399,30.786
63.038,0.6879,34.919,31.328
62.571,0.6753,33.039,32.646
62.657,0.6737,33.704,32.065
61.400,0.6715,32.995,31.441
61.815,0.6738,33.024,31.855
62.486,0.6746,33.247,32.358
62.055,0.6676,34.092,31.000
62.152,0.6747,34.146,31.074
63.056,0.6798,33.710,32.513
62.044,0.6714,33.356,31.756
61.272,0.6836,32.285,32.033
63.695,0.6822,34.548,32.356
63.055,0.6811,33.828,32.400
63.625,0.6845,33.498,33.352
62.195,0.6758,32.778,32.518
63.320,0.6705,34.031,32.397
60.632,0.6636,32.538,31.008
62.892,0.6804,33.944,32.109
61.004,0.6566,33.852,30.089
62.294,0.6686,33.285,32.071
61.910,0.6814,33.545,31.479
61.932,0.6696,33.284,31.697
62.348,0.6697,34.202,31.216
62.956,0.6766,33.836,32.267
61.776,0.6807,32.663,32.220
63.053,0.6839,34.830,31.403
62.461,0.6724,33.429,32.120
60.649,0.6829,33.814,29.768
63.425,0.6836,34.334,32.297
63.487,0.6794,35.043,31.618
62.188,0.6750,32.743,32.551
63.694,0.6834,33.530,33.387
63.150,0.6713,34.250,32.019
62.291,0.6732,35.068,30.284
63.095,0.6845,34.043,32.246
62.836,0.6802,34.193,31.796
62.628,0.6813,33.243,32.538
62.096,0.6627,32.609,32.512
61.745,0.6627,35.023,29.720
62.897,0.6732,33.443,32.563
62.580,0.6762,33.039,32.663
63.289,0.6634,33.447,32.924
63.239,0.6704,34.197,32.151
63.082,0.6850,34.289,31.990
63.379,0.6833,33.799,32.785
61.603,0.6654,32.630,31.984
63.004,0.6631,33.534,32.551
62.399,0.6876,34.331,31.243
63.138,0.6750,33.183,33.095
62.319,0.6896,33.600,31.901
62.806,0.6789,34.099,31.849
62.315,0.6674,35.703,29.642
61.368,0.6652,32.946,31.419
62.562,0.6814,33.714,31.995
62.766,0.6802,34.257,31.658
62.136,0.6684,32.836,32.353
63.164,0.6690,35.273,30.993
63.736,0.6854,33.865,33.107
63.765,0.6789,34.289,32.672
63.550,0.6869,34.246,32.537
63.362,0.6859,33.588,33.005
61.814,0.6693,34.477,30.361
62.719,0.6872,33.166,32.749
62.702,0.6729,33.069,32.744
62.016,0.6701,33.756,31.314
62.905,0.6769,33.735,32.314
62.197,0.6868,33.199,32.154
62.353,0.6715,34.969,30.456
61.360,0.6798,32.274,32.133
62.683,0.6854,33.958,31.917
62.181,0.6731,33.768,31.493
63.128,0.6799,34.903,31.386
61.749,0.6727,34.381,30.412
62.537,0.6874,33.026,32.698
61.830,0.6642,33.411,31.423
62.863,0.6724,33.650,32.324
62.550,0.6868,33.508,32.226
63.257,0.6813,34.543,31.897
62.224,0.6701,33.863,31.424
63.400,0.6719,34.659,31.877
62.407,0.6807,33.625,31.920
63.405,0.6728,33.772,32.773
61.783,0.6778,33.807,31.061
62.436,0.6832,33.093,32.500
63.051,0.6779,34.883,31.314
62.630,0.6870,33.061,32.762
62.835,0.6836,33.850,32.165
62.320,0.6668,33.418,31.961
62.297,0.6758,35.472,29.907
61.486,0.6693,33.930,30.572
62.393,0.6731,34.480,30.994
61.594,0.6698,34.075,30.564
64.003,0.6744,35.495,31.692
62.256,0.6737,34.416,30.916
62.991,0.6653,33.380,32.674
61.274,0.6747,34.336,29.954
62.061,0.6894,33.636,31.596
62.015,0.6593,32.638,32.377
63.384,0.6821,34.758,31.816
62.513,0.6767,34.193,31.429
62.854,0.6816,34.521,31.496
62.836,0.6784,33.225,32.759
63.296,0.6885,34.355,32.173
62.515,0.6780,32.953,32.688
64.136,0.6820,34.653,32.715
61.733,0.6693,33.714,31.076
62.996,0.6713,33.349,32.760
60.944,0.6705,33.556,30.384
62.138,0.6699,32.929,32.274
62.497,0.6731,33.876,31.718
