tiempo_Mf,re_omega_sobre_2omegaH,menos_im_omega_sobre_kappa
-40.0000,0.84456,0.05288
-39.9792,0.84463,0.05293
-39.9584,0.84471,0.05298
-39.9356,0.84479,0.05303
-39.9148,0.84487,0.05308
-39.8920,0.84495,0.05313
-39.8712,0.84503,0.05317
-39.8484,0.84511,0.05323
-39.8276,0.84519,0.05327
-39.8047,0.84527,0.05333
-39.7840,0.84535,0.05337
-39.7611,0.84543,0.05343
-39.7403,0.84551,0.05347
-39.7175,0.84559,0.05353
-39.6967,0.84567,0.05357
-39.6738,0.84575,0.05363
-39.6530,0.84583,0.05367
-39.6301,0.84592,0.05373
-39.6093,0.84599,0.05377
-39.5865,0.84608,0.05383
-39.5657,0.84615,0.05388
-39.5428,0.84624,0.05393
-39.5220,0.84632,0.05398
-39.5012,0.84639,0.05403
-39.4783,0.84648,0.05408
-39.4575,0.84656,0.05413
-39.4346,0.84664,0.05418
-39.4137,0.84672,0.05423
-39.3908,0.84681,0.05428
-39.3700,0.84688,0.05433
-39.3471,0.84697,0.05439
-39.3263,0.84705,0.05443
-39.3034,0.84713,0.05449
-39.2825,0.84721,0.05454
-39.2596,0.84730,0.05459
-39.2388,0.84738,0.05464
-39.2159,0.84746,0.05469
-39.1950,0.84754,0.05474
-39.1721,0.84763,0.05480
-39.1512,0.84770,0.05485
-39.1283,0.84779,0.05490
-39.1075,0.84787,0.05495
-39.0845,0.84796,0.05501
-39.0637,0.84804,0.05506
-39.0407,0.84812,0.05511
-39.0198,0.84820,0.05516
-38.9990,0.84828,0.05521
-38.9760,0.84837,0.05526
-38.9552,0.84845,0.05531
-38.9322,0.84853,0.05537
-38.9113,0.84861,0.05542
-38.8884,0.84870,0.05548
-38.8675,0.84878,0.05553
-38.8445,0.84887,0.05558
-38.8236,0.84895,0.05563
-38.8007,0.84904,0.05569
-38.7798,0.84912,0.05574
-38.7568,0.84920,0.05579
-38.7359,0.84928,0.05584
-38.7129,0.84937,0.05590
-38.6920,0.84945,0.05595
-38.6690,0.84954,0.05601
-38.6481,0.84962,0.05606
-38.6251,0.84971,0.05611
-38.6042,0.84979,0.05616
-38.5812,0.84988,0.05622
-38.5603,0.84996,0.05627
-38.5373,0.85005,0.05633
-38.5164,0.85013,0.05638
-38.4954,0.85021,0.05643
-38.4724,0.85030,0.05649
-38.4515,0.85038,0.05654
-38.4285,0.85047,0.05660
-38.4075,0.85055,0.05665
-38.3845,0.85064,0.05671
-38.3636,0.85072,0.05676
-38.3406,0.85081,0.05682
-38.3196,0.85089,0.05687
-38.2966,0.85098,0.05693
-38.2756,0.85107,0.05698
-38.2526,0.85116,0.05704
-38.2316,0.85124,0.05709
-38.2086,0.85133,0.05715
-38.1876,0.85141,0.05720
-38.1646,0.85150,0.05726
-38.1436,0.85158,0.05731
-38.1205,0.85167,0.05737
-38.0996,0.85176,0.05742
-38.0765,0.85185,0.05748
-38.0555,0.85193,0.05753
-38.0346,0.85201,0.05758
-38.0115,0.85210,0.05764
-37.9905,0.85219,0.05770
-37.9674,0.85228,0.05776
-37.9464,0.85236,0.05781
-37.9233,0.85245,0.05787
-37.9024,0.85254,0.05792
-37.8793,0.85263,0.05798
-37.8583,0.85271,0.05803
-37.8352,0.85280,0.05809
-37.8142,0.85289,0.05815
-37.7911,0.85298,0.05821
-37.7701,0.85306,0.05826
-37.7469,0.85316,0.05832
-37.7259,0.85324,0.05837
-37.7028,0.85333,0.05843
-37.6818,0.85342,0.05849
-37.6587,0.85351,0.05855
-37.6377,0.85359,0.05860
-37.6145,0.85369,0.05866
-37.5935,0.85377,0.05872
-37.5704,0.85386,0.05878
-37.5493,0.85395,0.05883
-37.5283,0.85403,0.05889
-37.5052,0.85413,0.05895
-37.4841,0.85421,0.05900
-37.4610,0.85431,0.05906
-37.4399,0.85439,0.05912
-37.4168,0.85448,0.05918
-37.3957,0.85457,0.05924
-37.3725,0.85466,0.05930
-37.3515,0.85475,0.05935
-37.3283,0.85484,0.05941
-37.3073,0.85493,0.05947
-37.2841,0.85502,0.05953
-37.2630,0.85511,0.05959
-37.2398,0.85520,0.05965
-37.2188,0.85529,0.05970
-37.1956,0.85538,0.05977
-37.1745,0.85547,0.05982
-37.1513,0.85556,0.05988
-37.1302,0.85565,0.05994
-37.1070,0.85575,0.06000
-37.0859,0.85583,0.06006
-37.0627,0.85593,0.06012
-37.0416,0.85602,0.06018
-37.0205,0.85610,0.06024
-36.9973,0.85620,0.06030
-36.9762,0.85628,0.06035
-36.9530,0.85638,0.06042
-36.9319,0.85647,0.06047
-36.9087,0.85656,0.06054
-36.8876,0.85665,0.06060
-36.8643,0.85675,0.06066
-36.8432,0.85684,0.06072
-36.8200,0.85693,0.06078
-36.7988,0.85702,0.06084
-36.7756,0.85712,0.06090
-36.7545,0.85720,0.06096
-36.7312,0.85730,0.06102
-36.7101,0.85739,0.06108
-36.6868,0.85749,0.06114
-36.6657,0.85757,0.06120
-36.6424,0.85767,0.06127
-36.6213,0.85776,0.06133
-36.5980,0.85786,0.06139
-36.5768,0.85795,0.06145
-36.5557,0.85804,0.06151
-36.5324,0.85813,0.06157
-36.5112,0.85822,0.06163
-36.4880,0.85832,0.06169
-36.4668,0.85841,0.06175
-36.4435,0.85851,0.06182
-36.4223,0.85860,0.06188
-36.3990,0.85870,0.06194
-36.3779,0.85879,0.06200
-36.3545,0.85888,0.06207
-36.3334,0.85897,0.06213
-36.3101,0.85907,0.06219
-36.2889,0.85916,0.06225
-36.2655,0.85926,0.06232
-36.2443,0.85935,0.06238
-36.2210,0.85945,0.06244
-36.1998,0.85954,0.06250
-36.1765,0.85964,0.06257
-36.1553,0.85973,0.06263
-36.1319,0.85983,0.06270
-36.1107,0.85992,0.06276
-36.0874,0.86002,0.06282
-36.0662,0.86011,0.06289
-36.0449,0.86021,0.06295
-36.0216,0.86031,0.06301
-36.0004,0.86040,0.06307
-35.9770,0.86050,0.06314
-35.9558,0.86059,0.06320
-35.9324,0.86069,0.06327
-35.9112,0.86078,0.06333
-35.8878,0.86088,0.06340
-35.8665,0.86097,0.06346
-35.8432,0.86107,0.06353
-35.8219,0.86117,0.06359
-35.7985,0.86127,0.06366
-35.7773,0.86136,0.06372
-35.7539,0.86146,0.06379
-35.7326,0.86155,0.06385
-35.7092,0.86166,0.06392
-35.6879,0.86175,0.06398
-35.6645,0.86185,0.06405
-35.6432,0.86194,0.06411
-35.6198,0.86205,0.06418
-35.5986,0.86214,0.06424
-35.5751,0.86224,0.06431
-35.5538,0.86233,0.06437
-35.5325,0.86243,0.06444
-35.5091,0.86253,0.06451
-35.4878,0.86262,0.06457
-35.4644,0.86273,0.06464
-35.4431,0.86282,0.06470
-35.4196,0.86292,0.06477
-35.3983,0.86302,0.06483
-35.3749,0.86312,0.06490
-35.3536,0.86322,0.06497
-35.3301,0.86332,0.06504
-35.3088,0.86341,0.06510
-35.2853,0.86352,0.06517
-35.2640,0.86361,0.06524
-35.2405,0.86372,0.06531
-35.2192,0.86381,0.06537
-35.1957,0.86392,0.06544
-35.1744,0.86401,0.06551
-35.1509,0.86412,0.06558
-35.1295,0.86421,0.06564
-35.1060,0.86432,0.06571
-35.0847,0.86441,0.06578
-35.0633,0.86451,0.06584
-35.0398,0.86461,0.06592
-35.0185,0.86471,0.06598
-34.9950,0.86481,0.06605
-34.9736,0.86491,0.06612
-34.9501,0.86502,0.06619
-34.9287,0.86511,0.06626
-34.9052,0.86522,0.06633
-34.8838,0.86531,0.06639
-34.8603,0.86542,0.06647
-34.8389,0.86552,0.06653
-34.8153,0.86562,0.06661
-34.7939,0.86572,0.06667
-34.7704,0.86583,0.06674
-34.7490,0.86592,0.06681
-34.7254,0.86603,0.06688
-34.7040,0.86613,0.06695
-34.6805,0.86624,0.06702
-34.6590,0.86633,0.06709
-34.6355,0.86644,0.06716
-34.6141,0.86654,0.06723
-34.5905,0.86664,0.06731
-34.5691,0.86674,0.06737
-34.5476,0.86684,0.06744
-34.5240,0.86695,0.06751
-34.5026,0.86705,0.06758
-34.4790,0.86716,0.06766
-34.4576,0.86725,0.06772
-34.4340,0.86736,0.06780
-34.4125,0.86746,0.06787
-34.3889,0.86757,0.06794
-34.3675,0.86767,0.06801
-34.3438,0.86778,0.06809
-34.3224,0.86788,0.06815
-34.2988,0.86799,0.06823
-34.2773,0.86808,0.06830
-34.2537,0.86819,0.06837
-34.2322,0.86829,0.06844
-34.2085,0.86840,0.06852
-34.1871,0.86850,0.06859
-34.1634,0.86861,0.06866
-34.1419,0.86871,0.06873
-34.1183,0.86882,0.06881
-34.0968,0.86892,0.06888
-34.0731,0.86903,0.06896
-34.0516,0.86914,0.06903
-34.0301,0.86924,0.06910
-34.0064,0.86935,0.06917
-33.9849,0.86945,0.06924
-33.9612,0.86956,0.06932
-33.9397,0.86966,0.06939
-33.9160,0.86977,0.06947
-33.8945,0.86987,0.06954
-33.8708,0.86998,0.06962
-33.8493,0.87009,0.06969
-33.8256,0.87020,0.06977
-33.8040,0.87030,0.06984
-33.7803,0.87041,0.06991
-33.7588,0.87051,0.06999
-33.7351,0.87063,0.07006
-33.7135,0.87073,0.07014
-33.6898,0.87084,0.07021
-33.6682,0.87094,0.07029
-33.6445,0.87106,0.07037
-33.6229,0.87116,0.07044
-33.5992,0.87127,0.07052
-33.5776,0.87137,0.07059
-33.5560,0.87148,0.07066
-33.5323,0.87159,0.07074
-33.5107,0.87169,0.07081
-33.4869,0.87181,0.07089
-33.4653,0.87191,0.07097
-33.4416,0.87202,0.07105
-33.4200,0.87213,0.07112
-33.3962,0.87224,0.07120
-33.3746,0.87235,0.07127
-33.3508,0.87246,0.07135
-33.3292,0.87257,0.07143
-33.3054,0.87268,0.07151
-33.2838,0.87278,0.07158
-33.2600,0.87290,0.07166
-33.2384,0.87300,0.07174
-33.2146,0.87312,0.07182
-33.1929,0.87322,0.07189
-33.1691,0.87334,0.07197
-33.1475,0.87344,0.07205
-33.1237,0.87356,0.07213
-33.1020,0.87367,0.07221
-33.0782,0.87378,0.07229
-33.0565,0.87389,0.07236
-33.0348,0.87399,0.07244
-33.0110,0.87411,0.07252
-32.9893,0.87422,0.07260
-32.9655,0.87433,0.07268
-32.9438,0.87444,0.07275
-32.9200,0.87456,0.07284
-32.8983,0.87466,0.07291
-32.8744,0.87478,0.07300
-32.8527,0.87489,0.07307
-32.8288,0.87500,0.07316
-32.8071,0.87511,0.07323
-32.7833,0.87523,0.07332
-32.7616,0.87534,0.07339
-32.7377,0.87546,0.07348
-32.7159,0.87556,0.07356
-32.6921,0.87568,0.07364
-32.6703,0.87579,0.07372
-32.6464,0.87591,0.07380
-32.6247,0.87602,0.07388
-32.6008,0.87613,0.07396
-32.5790,0.87624,0.07404
-32.5551,0.87636,0.07413
-32.5334,0.87647,0.07421
-32.5116,0.87658,0.07428
-32.4877,0.87670,0.07437
-32.4659,0.87681,0.07445
-32.4420,0.87693,0.07453
-32.4202,0.87704,0.07461
-32.3963,0.87716,0.07470
-32.3745,0.87727,0.07478
-32.3506,0.87739,0.07487
-32.3288,0.87750,0.07494
-32.3048,0.87762,0.07503
-32.2830,0.87773,0.07511
-32.2590,0.87785,0.07520
-32.2372,0.87796,0.07528
-32.2133,0.87808,0.07537
-32.1915,0.87819,0.07545
-32.1675,0.87831,0.07553
-32.1457,0.87842,0.07561
-32.1217,0.87855,0.07570
-32.0998,0.87866,0.07578
-32.0758,0.87878,0.07587
-32.0540,0.87889,0.07595
-32.0322,0.87900,0.07603
-32.0081,0.87912,0.07612
-31.9863,0.87924,0.07620
-31.9623,0.87936,0.07629
-31.9404,0.87947,0.07637
-31.9164,0.87959,0.07646
-31.8945,0.87971,0.07654
-31.8705,0.87983,0.07663
-31.8486,0.87994,0.07672
-31.8246,0.88006,0.07681
-31.8027,0.88018,0.07689
-31.7786,0.88030,0.07698
-31.7567,0.88041,0.07706
-31.7327,0.88054,0.07715
-31.7108,0.88065,0.07724
-31.6867,0.88078,0.07733
-31.6648,0.88089,0.07741
-31.6407,0.88102,0.07750
-31.6188,0.88113,0.07758
-31.5947,0.88125,0.07768
-31.5728,0.88137,0.07776
-31.5487,0.88149,0.07785
-31.5268,0.88161,0.07794
-31.5048,0.88172,0.07802
-31.4807,0.88185,0.07811
-31.4588,0.88196,0.07820
-31.4347,0.88209,0.07829
-31.4127,0.88221,0.07838
-31.3886,0.88233,0.07847
-31.3666,0.88245,0.07855
-31.3425,0.88258,0.07865
-31.3205,0.88269,0.07873
-31.2964,0.88282,0.07883
-31.2744,0.88293,0.07891
-31.2502,0.88306,0.07901
-31.2283,0.88318,0.07909
-31.2041,0.88331,0.07919
-31.1821,0.88342,0.07927
-31.1579,0.88355,0.07937
-31.1359,0.88367,0.07945
-31.1117,0.88380,0.07955
-31.0897,0.88391,0.07964
-31.0655,0.88404,0.07973
-31.0435,0.88416,0.07982
-31.0193,0.88429,0.07992
-30.9973,0.88441,0.08000
-30.9753,0.88452,0.08009
-30.9510,0.88465,0.08019
-30.9290,0.88477,0.08027
-30.9048,0.88490,0.08037
-30.8827,0.88502,0.08046
-30.8585,0.88515,0.08056
-30.8364,0.88527,0.08064
-30.8122,0.88540,0.08074
-30.7901,0.88552,0.08083
-30.7659,0.88565,0.08093
-30.7438,0.88577,0.08102
-30.7195,0.88590,0.08112
-30.6974,0.88602,0.08120
-30.6732,0.88615,0.08130
-30.6511,0.88627,0.08139
-30.6268,0.88640,0.08149
-30.6047,0.88652,0.08158
-30.5804,0.88665,0.08168
-30.5583,0.88677,0.08177
-30.5340,0.88691,0.08187
-30.5119,0.88703,0.08196
-30.4875,0.88716,0.08206
-30.4654,0.88728,0.08215
-30.4433,0.88740,0.08224
-30.4190,0.88753,0.08234
-30.3968,0.88765,0.08243
-30.3725,0.88779,0.08254
-30.3504,0.88791,0.08263
-30.3260,0.88804,0.08273
-30.3038,0.88817,0.08282
-30.2795,0.88830,0.08292
-30.2573,0.88842,0.08301
-30.2329,0.88856,0.08312
-30.2108,0.88868,0.08321
-30.1864,0.88882,0.08331
-30.1642,0.88894,0.08340
-30.1398,0.88907,0.08351
-30.1176,0.88920,0.08360
-30.0932,0.88933,0.08370
-30.0710,0.88946,0.08380
-30.0466,0.88959,0.08390
-30.0244,0.88972,0.08400
-30.0000,0.88985,0.08410
-29.9778,0.88998,0.08419
-29.9556,0.89010,0.08429
-29.9311,0.89024,0.08439
-29.9089,0.89036,0.08449
-29.8844,0.89050,0.08459
-29.8622,0.89062,0.08469
-29.8377,0.89076,0.08479
-29.8155,0.89089,0.08489
-29.7910,0.89102,0.08499
-29.7688,0.89115,0.08509
-29.7443,0.89129,0.08520
-29.7220,0.89141,0.08529
-29.6975,0.89155,0.08540
-29.6753,0.89168,0.08549
-29.6508,0.89182,0.08560
-29.6285,0.89194,0.08570
-29.6040,0.89208,0.08581
