h1_optimo,h1_filtro_adaptado,l1_optimo,l1_filtro_adaptado
14.7816,15.9275,17.0764,17.0425
15.7861,15.7336,18.4736,17.1605
14.7816,15.9275,17.0764,17.0425
15.7861,15.7336,18.4736,17.1605
14.7816,15.9275,17.0764,17.0425
15.7861,15.7336,18.4736,17.1605
14.7816,15.9275,17.0764,17.0425
15.7861,15.7336,18.4736,17.1605
14.7816,15.9275,17.0764,17.0425
15.7861,15.7336,18.4736,17.1605
14.7635,15.9264,17.0591,17.0445
15.7861,15.7336,18.4736,17.1605
14.7635,15.9264,17.0591,17.0445
15.0380,15.7564,17.5523,17.1883
14.7658,15.9266,17.0607,17.0441
15.0380,15.7564,17.5523,17.1883
14.7658,15.9266,17.0607,17.0441
15.0380,15.7564,17.5523,17.1883
14.7658,15.9266,17.0607,17.0441
15.0380,15.7564,17.5523,17.1883
14.5140,15.9127,16.7716,17.0456
15.0380,15.7564,17.5523,17.1883
14.5140,15.9127,16.7716,17.0456
15.0380,15.7564,17.5523,17.1883
14.2220,15.8805,16.4197,17.0704
15.0380,15.7564,17.5523,17.1883
14.4908,15.8675,16.7231,17.0720
15.0380,15.7564,17.5523,17.1883
14.4908,15.8675,16.7231,17.0720
15.0380,15.7564,17.5523,17.1883
14.4908,15.8675,16.7231,17.0720
15.0380,15.7564,17.5523,17.1883
14.4908,15.8675,16.7231,17.0720
15.0380,15.7564,17.5523,17.1883
15.5514,15.9372,18.0223,17.0247
15.0380,15.7564,17.5523,17.1883
15.5514,15.9372,18.0223,17.0247
15.0380,15.7564,17.5523,17.1883
15.5514,15.9372,18.0223,17.0247
15.0380,15.7564,17.5523,17.1883
15.5514,15.9372,18.0223,17.0247
15.0380,15.7564,17.5523,17.1883
15.5514,15.9372,18.0223,17.0247
15.0380,15.7564,17.5523,17.1883
15.5514,15.9372,18.0223,17.0247
15.2032,15.7701,17.7768,17.1594
15.5514,15.9372,18.0223,17.0247
15.2032,15.7701,17.7768,17.1594
15.5514,15.9372,18.0223,17.0247
15.2032,15.7701,17.7768,17.1594
15.3672,15.9359,17.7642,17.0351
15.2032,15.7701,17.7768,17.1594
15.3672,15.9359,17.7642,17.0351
15.2032,15.7701,17.7768,17.1594
15.3672,15.9359,17.7642,17.0351
15.2032,15.7701,17.7768,17.1594
15.2422,15.9378,17.6180,17.0303
15.2032,15.7701,17.7768,17.1594
15.2422,15.9378,17.6180,17.0303
15.2032,15.7701,17.7768,17.1594
15.1203,15.9365,17.5024,17.0341
15.2032,15.7701,17.7768,17.1594
15.1203,15.9365,17.5024,17.0341
15.1265,15.7435,17.6531,17.1978
15.1203,15.9365,17.5024,17.0341
15.1265,15.7435,17.6531,17.1978
15.1203,15.9365,17.5024,17.0341
15.1265,15.7435,17.6531,17.1978
15.1203,15.9365,17.5024,17.0341
15.1265,15.7435,17.6531,17.1978
15.1203,15.9365,17.5024,17.0341
15.1265,15.7435,17.6531,17.1978
16.4398,15.9253,19.0420,17.0542
15.1265,15.7435,17.6531,17.1978
16.4398,15.9253,19.0420,17.0542
15.1265,15.7435,17.6531,17.1978
16.4398,15.9253,19.0420,17.0542
15.1265,15.7435,17.6531,17.1978
15.8263,15.8946,18.3189,17.0857
15.1265,15.7435,17.6531,17.1978
15.8263,15.8946,18.3189,17.0857
15.1265,15.7435,17.6531,17.1978
14.7000,15.7986,16.9386,17.0542
15.1265,15.7435,17.6531,17.1978
14.7000,15.7986,16.9386,17.0542
15.1265,15.7435,17.6531,17.1978
14.7000,15.7986,16.9386,17.0542
15.1265,15.7435,17.6531,17.1978
14.7000,15.7986,16.9386,17.0542
15.1265,15.7435,17.6531,17.1978
14.7000,15.7986,16.9386,17.0542
15.1265,15.7435,17.6531,17.1978
14.7000,15.7986,16.9386,17.0542
15.1265,15.7435,17.6531,17.1978
14.9247,15.7892,17.2066,17.0579
15.1265,15.7435,17.6531,17.1978
14.9247,15.7892,17.2066,17.0579
15.1265,15.7435,17.6531,17.1978
14.9247,15.7892,17.2066,17.0579
15.1265,15.7435,17.6531,17.1978
14.9247,15.7892,17.2066,17.0579
15.1265,15.7435,17.6531,17.1978
15.1145,15.8193,17.4496,17.0824
15.1265,15.7435,17.6531,17.1978
15.1145,15.8193,17.4496,17.0824
15.1265,15.7435,17.6531,17.1978
15.2700,15.8017,17.6282,17.0965
15.1265,15.7435,17.6531,17.1978
15.2700,15.8017,17.6282,17.0965
15.1265,15.7435,17.6531,17.1978
15.2700,15.8017,17.6282,17.0965
15.1265,15.7435,17.6531,17.1978
16.7292,15.8653,19.3884,17.1140
15.1265,15.7435,17.6531,17.1978
16.7292,15.8653,19.3884,17.1140
15.1265,15.7435,17.6531,17.1978
17.6397,15.8992,20.4568,17.0891
15.1265,15.7435,17.6531,17.1978
17.6397,15.8992,20.4568,17.0891
15.1265,15.7435,17.6531,17.1978
17.6397,15.8992,20.4568,17.0891
15.1265,15.7435,17.6531,17.1978
17.6397,15.8992,20.4568,17.0891
15.1265,15.7435,17.6531,17.1978
16.9988,15.8484,19.6755,17.1253
15.1265,15.7435,17.6531,17.1978
16.9988,15.8484,19.6755,17.1253
15.1265,15.7435,17.6531,17.1978
16.9988,15.8484,19.6755,17.1253
15.9491,15.7960,18.5825,17.1755
16.9988,15.8484,19.6755,17.1253
15.9491,15.7960,18.5825,17.1755
16.9988,15.8484,19.6755,17.1253
15.9491,15.7960,18.5825,17.1755
16.9988,15.8484,19.6755,17.1253
14.7562,15.7490,17.1934,17.1997
17.2095,15.8723,19.9457,17.1184
14.7562,15.7490,17.1934,17.1997
16.7197,15.8694,19.3787,17.1122
14.7562,15.7490,17.1934,17.1997
16.4995,15.8360,19.0977,17.1195
14.7562,15.7490,17.1934,17.1997
16.3064,15.8103,18.8508,17.1172
14.7562,15.7490,17.1934,17.1997
16.3064,15.8103,18.8508,17.1172
14.7562,15.7490,17.1934,17.1997
16.3064,15.8103,18.8508,17.1172
13.8668,15.6441,16.1720,17.2258
16.3064,15.8103,18.8508,17.1172
13.8668,15.6441,16.1720,17.2258
16.3064,15.8103,18.8508,17.1172
13.8668,15.6441,16.1720,17.2258
15.8704,15.6593,18.3179,17.0784
13.8668,15.6441,16.1720,17.2258
15.8704,15.6593,18.3179,17.0784
13.8668,15.6441,16.1720,17.2258
15.8704,15.6593,18.3179,17.0784
13.8668,15.6441,16.1720,17.2258
16.2782,15.6801,18.7814,17.0948
13.8668,15.6441,16.1720,17.2258
16.2782,15.6801,18.7814,17.0948
13.8668,15.6441,16.1720,17.2258
16.2782,15.6801,18.7814,17.0948
13.8668,15.6441,16.1720,17.2258
17.8927,15.8409,20.7210,17.1368
13.8668,15.6441,16.1720,17.2258
17.8927,15.8409,20.7210,17.1368
14.3946,15.6787,16.8200,17.2201
17.8927,15.8409,20.7210,17.1368
14.3946,15.6787,16.8200,17.2201
17.4118,15.8061,20.1636,17.1376
14.3946,15.6787,16.8200,17.2201
17.2385,15.7999,19.9513,17.1356
14.3946,15.6787,16.8200,17.2201
17.2385,15.7999,19.9513,17.1356
14.3946,15.6787,16.8200,17.2201
17.2385,15.7999,19.9513,17.1356
14.3946,15.6787,16.8200,17.2201
17.2385,15.7999,19.9513,17.1356
14.3946,15.6787,16.8200,17.2201
17.2385,15.7999,19.9513,17.1356
14.3946,15.6787,16.8200,17.2201
17.2385,15.7999,19.9513,17.1356
14.3946,15.6787,16.8200,17.2201
16.1720,15.8097,18.7063,17.1205
14.3946,15.6787,16.8200,17.2201
16.1720,15.8097,18.7063,17.1205
14.3946,15.6787,16.8200,17.2201
16.0712,15.8283,18.6018,17.1210
14.3946,15.6787,16.8200,17.2201
15.9086,15.8131,18.3970,17.1188
14.6706,15.7047,17.1235,17.2139
15.9086,15.8131,18.3970,17.1188
14.6706,15.7047,17.1235,17.2139
15.9086,15.8131,18.3970,17.1188
14.6706,15.7047,17.1235,17.2139
15.9086,15.8131,18.3970,17.1188
14.6706,15.7047,17.1235,17.2139
15.6395,15.8183,18.0691,17.1124
14.6706,15.7047,17.1235,17.2139
15.6395,15.8183,18.0691,17.1124
14.6706,15.7047,17.1235,17.2139
15.6395,15.8183,18.0691,17.1124
14.6706,15.7047,17.1235,17.2139
15.6395,15.8183,18.0691,17.1124
15.7197,15.7389,18.3194,17.2016
15.6395,15.8183,18.0691,17.1124
15.7197,15.7389,18.3194,17.2016
15.6395,15.8183,18.0691,17.1124
15.7197,15.7389,18.3194,17.2016
15.6395,15.8183,18.0691,17.1124
15.7197,15.7389,18.3194,17.2016
15.0672,15.8208,17.4502,17.1244
15.7197,15.7389,18.3194,17.2016
15.0801,15.8505,17.4570,17.1162
15.7197,15.7389,18.3194,17.2016
15.0801,15.8505,17.4570,17.1162
15.7197,15.7389,18.3194,17.2016
15.2119,15.8556,17.6049,17.1136
15.3693,15.6914,17.8963,17.2121
15.2119,15.8556,17.6049,17.1136
15.3693,15.6914,17.8963,17.2121
15.2183,15.8499,17.6113,17.1151
15.3693,15.6914,17.8963,17.2121
15.2183,15.8499,17.6113,17.1151
15.3693,15.6914,17.8963,17.2121
15.2183,15.8499,17.6113,17.1151
14.5234,15.7050,16.8711,17.1972
15.1507,15.8518,17.5274,17.1131
14.5234,15.7050,16.8711,17.1972
15.1507,15.8518,17.5274,17.1131
15.2543,15.7739,17.8535,16.9390
15.1507,15.8518,17.5274,17.1131
13.7390,15.8183,15.9617,17.1645
15.3362,15.9035,17.7775,17.0872
13.7390,15.8183,15.9617,17.1645
15.5466,15.8999,18.0414,17.0916
13.7390,15.8183,15.9617,17.1645
15.1559,15.8632,17.5588,17.1141
13.7390,15.8183,15.9617,17.1645
15.1559,15.8632,17.5588,17.1141
13.7390,15.8183,15.9617,17.1645
15.1559,15.8632,17.5588,17.1141
13.7390,15.8183,15.9617,17.1645
15.2580,15.8067,17.6542,17.1332
14.0757,15.8499,16.3931,17.1283
15.2580,15.8067,17.6542,17.1332
14.0757,15.8499,16.3931,17.1283
15.2580,15.8067,17.6542,17.1332
14.0757,15.8499,16.3931,17.1283
15.2580,15.8067,17.6542,17.1332
14.0757,15.8499,16.3931,17.1283
15.2580,15.8067,17.6542,17.1332
14.0757,15.8499,16.3931,17.1283
15.2580,15.8067,17.6542,17.1332
14.0757,15.8499,16.3931,17.1283
15.2580,15.8067,17.6542,17.1332
14.0757,15.8499,16.3931,17.1283
15.6838,15.8338,18.1911,17.1368
14.0899,15.8579,16.4117,17.1167
15.6838,15.8338,18.1911,17.1368
14.0899,15.8579,16.4117,17.1167
15.6838,15.8338,18.1911,17.1368
14.0899,15.8579,16.4117,17.1167
15.0765,15.8198,17.4372,17.1287
14.0899,15.8579,16.4117,17.1167
15.0765,15.8198,17.4372,17.1287
14.0899,15.8579,16.4117,17.1167
15.0765,15.8198,17.4372,17.1287
14.0899,15.8579,16.4117,17.1167
15.0765,15.8198,17.4372,17.1287
14.0899,15.8579,16.4117,17.1167
15.0765,15.8198,17.4372,17.1287
13.9491,15.8586,16.2341,17.1235
15.0765,15.8198,17.4372,17.1287
13.9491,15.8586,16.2341,17.1235
15.0765,15.8198,17.4372,17.1287
13.9491,15.8586,16.2341,17.1235
15.0765,15.8198,17.4372,17.1287
14.1898,15.8608,16.5145,17.0858
15.0765,15.8198,17.4372,17.1287
14.1898,15.8608,16.5145,17.0858
15.0765,15.8198,17.4372,17.1287
14.1898,15.8608,16.5145,17.0858
15.0765,15.8198,17.4372,17.1287
14.1898,15.8608,16.5145,17.0858
15.0765,15.8198,17.4372,17.1287
14.1898,15.8608,16.5145,17.0858
15.0765,15.8198,17.4372,17.1287
14.2236,15.8600,16.5616,17.0750
15.0765,15.8198,17.4372,17.1287
14.2236,15.8600,16.5616,17.0750
15.0765,15.8198,17.4372,17.1287
14.2236,15.8600,16.5616,17.0750
15.0765,15.8198,17.4372,17.1287
14.2236,15.8600,16.5616,17.0750
15.0765,15.8198,17.4372,17.1287
14.2236,15.8600,16.5616,17.0750
15.0765,15.8198,17.4372,17.1287
14.2236,15.8600,16.5616,17.0750
15.0765,15.8198,17.4372,17.1287
14.2236,15.8600,16.5616,17.0750
15.1303,15.8102,17.5003,17.1306
14.2236,15.8600,16.5616,17.0750
15.1303,15.8102,17.5003,17.1306
14.2236,15.8600,16.5616,17.0750
15.1303,15.8102,17.5003,17.1306
14.2236,15.8600,16.5616,17.0750
15.0641,15.7795,17.4238,17.1334
14.2236,15.8600,16.5616,17.0750
15.5923,15.7953,18.0447,17.1448
14.2236,15.8600,16.5616,17.0750
14.8950,15.8129,17.2307,17.1206
14.4658,15.8192,16.8851,16.9712
14.8950,15.8129,17.2307,17.1206
14.4658,15.8192,16.8851,16.9712
14.8950,15.8129,17.2307,17.1206
14.4668,15.8190,16.8865,16.9708
14.8950,15.8129,17.2307,17.1206
14.4668,15.8190,16.8865,16.9708
14.8950,15.8129,17.2307,17.1206
14.4668,15.8190,16.8865,16.9708
15.1901,15.8390,17.5927,17.1226
14.4668,15.8190,16.8865,16.9708
15.1901,15.8390,17.5927,17.1226
14.4668,15.8190,16.8865,16.9708
15.1901,15.8390,17.5927,17.1226
14.4668,15.8190,16.8865,16.9708
15.1901,15.8390,17.5927,17.1226
14.4668,15.8190,16.8865,16.9708
15.1901,15.8390,17.5927,17.1226
14.4668,15.8190,16.8865,16.9708
15.1901,15.8390,17.5927,17.1226
16.2393,15.8329,18.9509,16.9590
15.1901,15.8390,17.5927,17.1226
16.2393,15.8329,18.9509,16.9590
15.1901,15.8390,17.5927,17.1226
16.2393,15.8329,18.9509,16.9590
15.1901,15.8390,17.5927,17.1226
16.2393,15.8329,18.9509,16.9590
15.1901,15.8390,17.5927,17.1226
16.2393,15.8329,18.9509,16.9590
15.3991,15.8291,17.8285,17.1323
16.2393,15.8329,18.9509,16.9590
15.3991,15.8291,17.8285,17.1323
16.2393,15.8329,18.9509,16.9590
15.3991,15.8291,17.8285,17.1323
15.7794,15.8672,18.3930,17.0411
15.2845,15.8214,17.7012,17.1242
15.7794,15.8672,18.3930,17.0411
15.2845,15.8214,17.7012,17.1242
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
16.0169,15.8198,18.5741,17.1399
15.7794,15.8672,18.3930,17.0411
15.6856,15.7908,18.1624,17.1386
15.7794,15.8672,18.3930,17.0411
15.6856,15.7908,18.1624,17.1386
15.4705,15.8627,18.0119,17.0537
15.6856,15.7908,18.1624,17.1386
14.5464,15.8916,16.9025,17.0947
15.6856,15.7908,18.1624,17.1386
14.5464,15.8916,16.9025,17.0947
15.6856,15.7908,18.1624,17.1386
14.5464,15.8916,16.9025,17.0947
15.6856,15.7908,18.1624,17.1386
14.5464,15.8916,16.9025,17.0947
15.6856,15.7908,18.1624,17.1386
14.5464,15.8916,16.9025,17.0947
15.4256,15.8541,17.8557,17.1233
14.5464,15.8916,16.9025,17.0947
15.4256,15.8541,17.8557,17.1233
14.5464,15.8916,16.9025,17.0947
15.4256,15.8541,17.8557,17.1233
16.5667,15.8980,19.2375,17.0918
15.4256,15.8541,17.8557,17.1233
16.1665,15.8795,18.7335,17.1131
15.8432,15.8291,18.3458,17.1406
16.1665,15.8795,18.7335,17.1131
15.8432,15.8291,18.3458,17.1406
16.1665,15.8795,18.7335,17.1131
16.5271,15.8073,19.1616,17.1517
16.1665,15.8795,18.7335,17.1131
15.6971,15.7760,18.1678,17.1372
16.1665,15.8795,18.7335,17.1131
15.6971,15.7760,18.1678,17.1372
16.0358,15.8810,18.5777,17.1114
15.6971,15.7760,18.1678,17.1372
16.0358,15.8810,18.5777,17.1114
15.6971,15.7760,18.1678,17.1372
16.0358,15.8810,18.5777,17.1114
16.3958,15.8309,19.0051,17.1446
16.0358,15.8810,18.5777,17.1114
16.3958,15.8309,19.0051,17.1446
16.0358,15.8810,18.5777,17.1114
16.3958,15.8309,19.0051,17.1446
16.0358,15.8810,18.5777,17.1114
17.2776,15.8698,20.0755,17.1232
15.9689,15.8721,18.4870,17.1149
17.2776,15.8698,20.0755,17.1232
15.9689,15.8721,18.4870,17.1149
14.1102,15.8398,16.4178,17.1440
16.2093,15.8727,18.7773,17.1169
14.1102,15.8398,16.4178,17.1440
16.2093,15.8727,18.7773,17.1169
14.1102,15.8398,16.4178,17.1440
16.2093,15.8727,18.7773,17.1169
14.2344,15.8135,16.5646,17.1679
16.2093,15.8727,18.7773,17.1169
14.2344,15.8135,16.5646,17.1679
14.7121,15.8314,17.0566,17.1495
14.2344,15.8135,16.5646,17.1679
14.7121,15.8314,17.0566,17.1495
14.2344,15.8135,16.5646,17.1679
15.5219,15.8634,18.0890,17.0925
14.2344,15.8135,16.5646,17.1679
15.5219,15.8634,18.0890,17.0925
14.2344,15.8135,16.5646,17.1679
15.5219,15.8634,18.0890,17.0925
14.2344,15.8135,16.5646,17.1679
15.5219,15.8634,18.0890,17.0925
15.1060,15.8034,17.6664,17.0507
15.2526,15.8540,17.7661,17.1003
15.1060,15.8034,17.6664,17.0507
15.2526,15.8540,17.7661,17.1003
15.1060,15.8034,17.6664,17.0507
15.5597,15.8371,18.1419,17.0275
15.1060,15.8034,17.6664,17.0507
15.2573,15.8356,17.7999,17.0546
14.6912,15.7710,17.1238,17.1897
15.2573,15.8356,17.7999,17.0546
15.1575,15.7944,17.7070,17.1499
15.2573,15.8356,17.7999,17.0546
15.1575,15.7944,17.7070,17.1499
15.2573,15.8356,17.7999,17.0546
15.1575,15.7944,17.7070,17.1499
14.7405,15.8556,17.1398,17.1330
15.1575,15.7944,17.7070,17.1499
14.7405,15.8556,17.1398,17.1330
15.1575,15.7944,17.7070,17.1499
14.7405,15.8556,17.1398,17.1330
15.1575,15.7944,17.7070,17.1499
14.7405,15.8556,17.1398,17.1330
15.1575,15.7944,17.7070,17.1499
13.7407,15.7653,15.9875,17.1893
15.1575,15.7944,17.7070,17.1499
13.7407,15.7653,15.9875,17.1893
15.1575,15.7944,17.7070,17.1499
13.7407,15.7653,15.9875,17.1893
15.1575,15.7944,17.7070,17.1499
13.7407,15.7653,15.9875,17.1893
15.1575,15.7944,17.7070,17.1499
14.0786,15.7533,16.3935,17.1970
15.1575,15.7944,17.7070,17.1499
14.0786,15.7533,16.3935,17.1970
15.1575,15.7944,17.7070,17.1499
14.0786,15.7533,16.3935,17.1970
15.1575,15.7944,17.7070,17.1499
14.0786,15.7533,16.3935,17.1970
15.1575,15.7944,17.7070,17.1499
14.0786,15.7533,16.3935,17.1970
15.1575,15.7944,17.7070,17.1499
14.0786,15.7533,16.3935,17.1970
15.1575,15.7944,17.7070,17.1499
14.0786,15.7533,16.3935,17.1970
15.1575,15.7944,17.7070,17.1499
14.1727,15.8186,16.5090,17.1614
15.1575,15.7944,17.7070,17.1499
14.1727,15.8186,16.5090,17.1614
15.2147,15.7913,17.7656,17.1328
14.1727,15.8186,16.5090,17.1614
15.2147,15.7913,17.7656,17.1328
13.9326,15.8123,16.1979,17.1688
15.2147,15.7913,17.7656,17.1328
13.9326,15.8123,16.1979,17.1688
15.2147,15.7913,17.7656,17.1328
13.9326,15.8123,16.1979,17.1688
15.2147,15.7913,17.7656,17.1328
13.9313,15.8123,16.1964,17.1688
15.2147,15.7913,17.7656,17.1328
14.5139,15.8061,16.9370,17.1576
15.2147,15.7913,17.7656,17.1328
14.5139,15.8061,16.9370,17.1576
15.2147,15.7913,17.7656,17.1328
14.5139,15.8061,16.9370,17.1576
15.2147,15.7913,17.7656,17.1328
14.5139,15.8061,16.9370,17.1576
15.2147,15.7913,17.7656,17.1328
14.5139,15.8061,16.9370,17.1576
15.2147,15.7913,17.7656,17.1328
14.5139,15.8061,16.9370,17.1576
15.2147,15.7913,17.7656,17.1328
14.5139,15.8061,16.9370,17.1576
15.4905,15.8973,17.6999,16.7198
15.7046,15.5849,18.4439,17.2072
15.4905,15.8973,17.6999,16.7198
15.7046,15.5849,18.4439,17.2072
15.4905,15.8973,17.6999,16.7198
15.7046,15.5849,18.4439,17.2072
16.2259,15.9512,18.5744,16.6858
15.7046,15.5849,18.4439,17.2072
16.2259,15.9512,18.5744,16.6858
15.7046,15.5849,18.4439,17.2072
16.2259,15.9512,18.5744,16.6858
15.7046,15.5849,18.4439,17.2072
16.2259,15.9512,18.5744,16.6858
15.7046,15.5849,18.4439,17.2072
16.2259,15.9512,18.5744,16.6858
15.7046,15.5849,18.4439,17.2072
16.2259,15.9512,18.5744,16.6858
15.7046,15.5849,18.4439,17.2072
16.2259,15.9512,18.5744,16.6858
15.7046,15.5849,18.4439,17.2072
15.5870,15.9497,17.8346,16.7379
15.7046,15.5849,18.4439,17.2072
15.5870,15.9497,17.8346,16.7379
15.7046,15.5849,18.4439,17.2072
15.5870,15.9497,17.8346,16.7379
15.7046,15.5849,18.4439,17.2072
15.5870,15.9497,17.8346,16.7379
15.7046,15.5849,18.4439,17.2072
