tiempo_s,observado,modelo_nrsur,sin_onda_directa
-0.099975,-0.24768,-0.20078,-0.26854
-0.099853,-2.13715,-0.20853,-0.26854
-0.099731,-2.16690,-0.20511,-0.26854
-0.099609,-1.14568,-0.20356,-0.26854
-0.099487,-0.88332,-0.21519,-0.26854
-0.099365,-1.40343,-0.22592,-0.26854
-0.099243,-1.61148,-0.22129,-0.26854
-0.099121,-1.55987,-0.21536,-0.26854
-0.098999,-2.05431,-0.22700,-0.26854
-0.098876,-2.72464,-0.24440,-0.26854
-0.098754,-2.43050,-0.24368,-0.26854
-0.098632,-1.29381,-0.22895,-0.26854
-0.098510,-0.63006,-0.22079,-0.26854
-0.098388,-0.92263,-0.21731,-0.26854
-0.098266,-1.32863,-0.20248,-0.26854
-0.098144,-1.23635,-0.18151,-0.26854
-0.098022,-0.98944,-0.16650,-0.26854
-0.097900,-0.91167,-0.13771,-0.26854
-0.097778,-0.80334,-0.06944,-0.26854
-0.097656,-0.65265,0.01107,-0.26854
-0.097534,-0.78660,0.05121,-0.26854
-0.097412,-1.02277,0.06534,-0.26854
-0.097290,-0.66944,0.13049,-0.26854
-0.097167,0.24693,0.26272,-0.55433
-0.097045,0.68883,0.36084,-2.25948
-0.096923,0.06220,0.32043,-2.56505
-0.096801,-0.82172,0.16476,-2.13869
-0.096679,-0.84831,0.01993,-2.04591
-0.096557,-0.06823,-0.01277,-2.04741
-0.096435,0.54950,0.07002,-1.46282
-0.096313,0.41775,0.19383,-0.77504
-0.096191,-0.16526,0.26377,-0.98408
-0.096069,-0.55747,0.23024,-1.86439
-0.095947,-0.41079,0.13491,-2.19248
-0.095825,0.07291,0.07504,-1.54282
-0.095703,0.32032,0.09817,-0.72576
-0.095581,0.01065,0.15433,-0.45778
-0.095459,-0.45068,0.17187,-0.59351
-0.095336,-0.42237,0.14597,-0.76719
-0.095214,0.01990,0.11970,-0.90782
-0.095092,0.12249,0.11022,-0.93119
-0.094970,-0.45514,0.09831,-0.68496
-0.094848,-1.13012,0.07273,-0.42179
-0.094726,-1.20739,0.04273,-0.63704
-0.094604,-0.73293,0.01637,-1.18777
-0.094482,-0.25319,0.00010,-1.24816
-0.094360,-0.09185,0.00814,-0.48786
-0.094238,-0.13896,0.03870,0.32408
-0.094116,-0.10145,0.05445,0.35047
-0.093994,0.19447,0.02423,-0.17536
-0.093872,0.54096,-0.02570,-0.36722
-0.093750,0.44400,-0.04072,0.09562
-0.093627,-0.17275,-0.01101,0.68421
-0.093505,-0.55568,0.02482,0.77245
-0.093383,-0.01847,0.04465,0.26462
-0.093261,0.89960,0.06572,-0.42631
-0.093139,0.98687,0.09776,-0.76653
-0.093017,0.07136,0.11933,-0.58882
-0.092895,-0.73683,0.11714,-0.32489
-0.092773,-0.67028,0.11077,-0.52756
-0.092651,-0.19795,0.11765,-1.07903
-0.092529,0.02091,0.12543,-1.24151
-0.092407,0.06999,0.12015,-0.66208
-0.092285,0.15853,0.11248,0.09194
-0.092163,0.04507,0.11191,0.28999
-0.092041,-0.25622,0.10135,-0.03050
-0.091918,-0.10789,0.06504,-0.24925
-0.091796,0.64455,0.02109,-0.02302
-0.091674,1.10434,-0.00148,0.40196
-0.091552,0.74174,-0.00132,0.60154
-0.091430,0.43223,0.00625,0.43830
-0.091308,0.99942,0.02186,0.19913
-0.091186,1.67484,0.05263,0.34433
-0.091064,1.35904,0.08252,0.92395
-0.090942,0.57379,0.08761,1.29161
-0.090820,0.56339,0.07732,0.82789
