especie,familia
Abaeis nicippe,Pieridae
Abisara bifasciata,Riodinidae
Abisara echerius,Riodinidae
Abrota ganga,Nymphalidae
Achalarus lyciades,Hesperiidae
Acleros mackenii,Hesperiidae
Acraea acara,Nymphalidae
Acraea aurivillii,Nymphalidae
Acraea epiprotea,Nymphalidae
Acraea formosa,Nymphalidae
Acraea issoria,Nymphalidae
Acraea leucopyga,Nymphalidae
Acraea lumiri,Nymphalidae
Acraea pelopeia,Nymphalidae
Acraea rahira,Nymphalidae
Acraea rangatana,Nymphalidae
Acraea rupicola,Nymphalidae
Acraea terpsicore,Nymphalidae
Acraea wigginsi,Nymphalidae
Acraea zetes,Nymphalidae
Actinote alalia,Nymphalidae
Actinote carycina,Nymphalidae
Actinote dalmeidai,Nymphalidae
Actinote genitrix,Nymphalidae
Actinote guatemalena,Nymphalidae
Actinote pellenea,Nymphalidae
Actinote quadra,Nymphalidae
Actinote surima,Nymphalidae
Actizera stellata,Lycaenidae
Acytolepis puspa,Lycaenidae
Adelpha abia,Nymphalidae
Adelpha atlantica,Nymphalidae
Adelpha basiloides,Nymphalidae
Adelpha calliphane,Nymphalidae
Adelpha cytherea,Nymphalidae
Adelpha donysa,Nymphalidae
Adelpha falcipennis,Nymphalidae
Adelpha malea,Nymphalidae
Adelpha mythra,Nymphalidae
Adelpha paroeca,Nymphalidae
Adelpha plesaure,Nymphalidae
Adelpha poltius,Nymphalidae
Adelpha rothschildi,Nymphalidae
Adelpha salmoneus,Nymphalidae
Adelpha serpa,Nymphalidae
Adelpha thesprotia,Nymphalidae
Adelpha zea,Nymphalidae
Aeria olena,Nymphalidae
Aeromachus dubius,Hesperiidae
Aeromachus jhora,Hesperiidae
Aeromachus kali,Hesperiidae
Aeromachus pygmaeus,Hesperiidae
Aethilla echina,Hesperiidae
Afarsia morgiana,Lycaenidae
Afarsia neoiris,Lycaenidae
Afarsia sieversii,Lycaenidae
Aglais io,Nymphalidae
Aglais ladakensis,Nymphalidae
Aglais milberti,Nymphalidae
Aglais urticae,Nymphalidae
Agraulis vanillae,Nymphalidae
Agriades dis,Lycaenidae
Agriades farazi,Lycaenidae
Agriades glandon,Lycaenidae
