anio,n_estudios
1948,1
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,1
1979,1
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,1
1989,0
1990,0
1991,1
1992,2
1993,2
1994,1
1995,4
1996,3
1997,2
1998,2
1999,4
2000,2
2001,15
2002,9
2003,14
2004,8
2005,10
2006,10
2007,10
2008,15
2009,12
2010,10
2011,27
2012,29
2013,22
2014,37
2015,27
2016,25
2017,24
2018,19
2019,19
2020,29
2021,34
2022,21
2023,7
2024,1
