metrica,n_especies,pct_de_1758,fuente
un_solo_registro_un_estudio_un_pais,~1143,65.0,pct del paper; n derivado
mas_de_diez_registros_independientes,94,5.0,paper
un_solo_tipo_de_desplazamiento,1349,76.7,paper (77%)
multiples_tipos_de_desplazamiento,409,23.3,paper (23%)
